,"('4hr', '7hr', '24hr')_STAT","('4hr', '7hr', '24hr')_LOG2FC","('4hr', '7hr', '24hr')_PVAL","('4hr', '7hr', '24hr')_ADJPVAL"
Q92922,2.843489096036668,-0.9421214762576977,0.017251313562058043,0.033497182468658716
Q6ZRS2,0.6482780886803304,-0.1588677361815818,0.5261415168396263,0.5905098938997934
Q8WU79,-3.9421505523421527,1.068963982151967,0.0009035308477449059,0.0030347742661907123
Q13137,-1.5833549148579913,0.3293444541578847,0.13348926443869732,0.18329436960888373
Q9Y2X7,1.8467617238134209,-0.5711861339327584,0.09806361366768002,0.13917997186466693
Q92619,-4.696302283622499,0.8175303201118245,0.00026915182893350476,0.0011749869497579897
Q01105,-5.359656349177238,0.9192269226292005,5.4770618889773826e-05,0.0003123405563714129
Q86UE4,0.9580883210879021,-0.23291170112984627,0.35717042215664985,0.424979092528495
Q13136,-0.5835670474322221,0.2828419139839009,0.5685386793261411,0.6302714255927273
I3L0A0,-2.766037910537528,0.9399027544471605,0.020329230477841614,0.03708473456044306
Q86YP4,-2.210979345485677,0.5582497210434414,0.043237878761542316,0.06894100064497806
F2Z2W7,-4.98429645288263,1.21760915404402,6.222857373773973e-05,0.0003455323436490285
P23634,2.5788419661318875,-0.6318451476196034,0.02822185497862622,0.04897405438076976
A6NFI3,0.5523457330412357,-0.11733481052339001,0.5890664196372755,0.6506242431824935
P04792,2.459784829088218,-3.5766348570332793,0.038915852624001004,0.06364961904977288
Q9HD20,4.079818019519168,-1.0494544854842214,0.0023284772939075387,0.006550782786859876
Q9Y6M5,2.9399362192244607,-0.23230600197475804,0.012544809864944925,0.026103406824846336
Q7Z3K3,-4.965396208248053,0.9475682461758943,0.0006479539908316643,0.002317259187550528
A0A1B0GTU4,-8.110897749414756,2.0792069726088735,2.2514532670434078e-07,5.481422761686451e-06
F8W930,-8.520089335876982,1.201474263850463,4.560937049280971e-08,1.92471543479657e-06
P09874,-4.318500360662096,1.4567367653086964,0.0003048950030913346,0.00126972721682115
P49756,-2.774386736964952,0.7903359100182168,0.01450734230865038,0.02915284978214505
Q92610,-3.958572242007286,0.5570296525350673,0.0015603628867850814,0.004703379558737888
Q68E01,-11.050160838083052,3.1726953611689153,1.2286397083609394e-08,8.641432615471941e-07
Q9Y5K6,-3.504997956230945,0.5461788671133292,0.0029937823145683843,0.007962454643368854
Q6P4E1,-0.8859717677871871,0.36854006511368453,0.3873073778928625,0.45654668567259216
P86790,-5.067564972732998,1.0044656464693513,5.617850819294827e-05,0.000317508890054788
Q9NTZ6,-2.7939725736572774,0.6427037728494194,0.01408252974886354,0.02838930360200835
Q9UK61,2.643566691734584,-0.9071091434860665,0.020256769362522905,0.03708473456044306
Q6PCB8,-4.534100646322622,0.6697050612515014,0.00018247441075035567,0.0008556022370738899
Q15648,-3.4314151162896755,0.6350139184209966,0.002751618341033894,0.0075401489604954765
P05114,-1.470561061159813,0.564605032812699,0.15985863069875492,0.21303265943644603
P85037,0.5574207142446584,-0.1575304467187446,0.5899815412112973,0.6506242431824935
Q9UIG0,4.302553888588926,-1.757959695557297,0.002200402458860972,0.006302510210221698
Q99567,-4.96150295764894,1.1486176864716566,7.071363635183123e-05,0.0003793367102602472
O95466,-2.8631837068829213,0.6337755747308842,0.013152608730281115,0.02703117313723359
