,Master Regulator,Expr Log Ratio,Molecule Type,Participating regulators,Depth,Predicted Activation,Activation z-score,p-value of overlap,Network bias-corrected p-value,Target Molecules in Dataset,Causal network,Target-connected regulators,sample,sig,overlap_upstreamreg
235,GALR1, ,G-protein coupled receptor,"Akt,CASP8,CCND1,CCNE1,CEBPA,CEBPB,CHEK1,CTNNB1,DUSP1,ERK,ERK1/2,FOSL1,GALR1,GSK3B,MED1,MMP2,MTOR,NFkB (complex),NOS2,Notch,PPARG,RPS6KB1,RUNX2,RXRA,SP1,STAT1",3,Inhibited,-2.54,6.45e-10,0.0147,"A2M,ACLY,AHNAK,AKR1B1,AKT2,ALB,APOB,ARRB1,AURKA,C11orf58,C3,C4A/C4B,CA2,CASP1,CBS/CBSL,CD14,CD36,CD47,CD82,CDK6,CLEC11A,CLTC,COL1A1,COL1A2,COL3A1,CSE1L,CTSL,DDX60,DHCR24,DIAPH1,DR1,DTYMK,EDF1,EEF1A2,EEF1B2,EHD1,EIF5,ENO1,ERBIN,ERMP1,EZH2,EZR,FABP4,FABP5,FADS2,FKBP5,FN1,FOSL1,G3BP1,GBP1,GBP2,GDF15,GGH,GSR,GSS,H1-10,HINT1,HLA-A,HLA-B,HLA-E,HLA-F,HSD17B12,HSPB1,HSPH1,IFI35,IFIT3,IGLL1/IGLL5,IL1RN,IRF2,IRF8,ITGB2,ITGB5,ITIH2,JUND,KIF2A,KRT10,KYNU,LASP1,LBR,LEMD3,LTF,LUM,MAP2K2,MARCKS,MKNK1,MMP9,MTA1,MYH11,NDRG1,NIBAN2,NRP1,OAS2,PCNA,PCYT1A,PEA15,PKM,PLAU,POSTN,PPP2R1A,PPP3CA,PPP3CB,PSMB10,PSMB9,PTPRE,RAB4B,RAD23A,RBP4,RMDN3,RPL13,S100A11,S100A8,S100A9,SDHB,SEC61B,SEPTIN6,SERPINB1,SERPINF1,SH3GLB1,SHBG,SIRT6,SLAMF8,SLC9A3R1,SREBF2,SRFBP1,SRSF1,STAT1,TALDO1,TANK,TAP2,TAPBP,TDO2,THBS1,TLN1,TMED10,TOP1,TPI1,TPM1,TRIM21,TUBA1C,TUBB,TUBB2A,TUFM,TYMP,UBE2I,UGDH,UQCRC2,VCL,VDAC1,WARS1",149 (26),25,47hr_PROT_causal_unique,True,
256,IL13RA2, ,transmembrane receptor,"Akt,Ap1,CEBPA,CTNNB1,ELK1,ERK1/2,Focal adhesion kinase,FOSL1,GSK3B,IL13RA2,Mapk,MED1,MMP2,MTOR,RELA,RHOA,RPS6KB1,SP1,STAT1,STAT3,STAT6,TP63",3,Inhibited,-2.102,1.98e-09,0.0434,"A2M,ABCB1,ACLY,AKR1B1,AKT1,ALB,APOC3,ARHGDIB,ARRB1,ATG7,ATG9A,ATP6AP2,AURKA,C3,C4A/C4B,CA2,CASP1,CASP4,CAST,CBS/CBSL,CCL4,CD14,CD47,CD82,CDC42,CDK6,CHI3L1,CLEC11A,CLTC,COL1A1,COL3A1,CPT2,CSTA,CTCF,DAP3,DDX60,DHCR24,DIAPH1,DNMT1,DTYMK,EDF1,EEF1A2,EGLN1,EHD1,ENG,ERAP1,ERMP1,EZH2,EZR,FABP4,FADS2,FKBP5,FN1,FOSL1,FSCN1,FUBP1,GAPDH,GBP1,GBP2,GGH,GSR,GSS,H1-10,HDAC1,HDAC2,HINT1,HLA-A,HLA-B,HLA-E,HMOX1,HSD17B12,HSPH1,IFI16,IFI35,IFIT3,IGFBP2,IGFBP7,IGLL1/IGLL5,IL1B,IL1RAP,IL1RN,IRF2,IRF2BP2,IRF8,ITGB2,ITGB5,JUNB,JUND,KHSRP,KIF2A,KRT10,LBR,LDHA,LTF,MAP2K2,MAT2A,MKNK1,MMP2,MMP9,NAMPT,NDRG1,NPM1,NRP1,NT5E,OAS2,PDHA1,PEA15,PGK1,PHB,PKM,PLAU,PLD1,PLG,PNPT1,POSTN,PPP2R1A,PPP3CA,PPP3CB,PRPF4,PSMB10,PSMB9,PTPN12,PTPRE,PXN,QKI,RAB4B,RAD23A,RPA1,S100A8,S100A9,SDHB,SEPTIN6,SERPINB1,SERPINF1,SH3GLB1,SH3KBP1,SLAMF8,SLC2A1,SLC7A11,SLC9A3R1,SMAP2,SOD1,SREBF2,SRSF1,STAT1,STAT3,STK4,TANK,TAP2,TAPBP,TMED10,TMSB10/TMSB4X,TPM1,TRIM21,TUBB2A,UBE2I,UGDH,UQCRC2,VCL,VDAC1,VIM,WARS1,WAS,WIPF1,ZFP91",165 (22),22,47hr_PROT_causal_unique,True,
265,CPNE3,0.637,kinase,"ADRB2,Akt,AKT1,ATF2,CASP8,CDH1,CHUK,CLTC,CPNE3,DYRK1B,EGFR,ERK,ERK1/2,Focal adhesion kinase,FOS,IKBKB,IQGAP1,Jnk,KIT,Mapk,MAPK1,MAPK8,MAPK9,NFAT5,NFkB (complex),P38 MAPK,PLSCR1,PRKAA,RAC1,RAPGEF1,RB1,RELA,RHOA,RHOC,ROCK,SRC,SRC (family),STAT3,STAT5a/b,YAP/TAZ,YAP1",3,Inhibited,-2.055,2.59e-09,0.0306,"ABCB1,ACLY,ACO1,ACTB,APOC3,ARHGDIB,ARRB1,ASNS,ATG7,ATP1A1,ATP2A2,ATP6AP2,AURKA,C3,CASP4,CASP8,CCL4,CD36,CD55,CD74,CD82,CDC42,CDK6,CDKN2C,CELF2,CHI3L1,CLEC11A,COL1A1,CP,CSE1L,DIAPH1,DNMT1,DTYMK,EGLN1,EGR2,EIF4E,EZH2,EZR,FABP4,FABP5,FDXR,FKBP5,FOSL1,FSCN1,GAPDH,GBP1,GCLC,GCLM,GDF15,GLS,GLUL,GOT1,GSPT1,GSR,GSS,HDAC1,HDAC2,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HMGN2,HNRNPA1,HNRNPA2B1,HSP90B1,HYOU1,IDI1,IFI35,IFIT3,IL1B,IRF2BP2,ITGB2,ITPR1,KIF2A,KRT10,KYNU,LAP3,LCP2,LDHA,LPL,LSM3,MAP2K2,MAT2A,MECP2,METAP2,MIF,MKNK1,MMP2,MTA1,MX2,MYH11,NAMPT,NDRG1,NMI,NPM1,NQO1,NT5E,NUDT1,NUP188,OAS2,OASL,PCNA,PDHA1,PEA15,PFKP,PGK1,PHB,PKM,PLAU,PLD1,POSTN,PPIA,PRKAR1A,PSAT1,PSMB1,PSMB10,PSMB7,PSME2,PTPRE,PXN,QKI,RAB4B,RBL2,RPS7,SCD,SDHB,SH3KBP1,SLC2A1,SLC7A11,SMAP2,SMARCC1,SNRNP200,SOD1,SPRY2,SRSF1,SRSF2,STAT3,STIP1,STK4,SUN2,SYNE3,TAP2,TAPBP,TBC1D2,TDO2,TGFB1,THBS1,TK1,TMED10,TMSB10/TMSB4X,TRIM21,UBE2I,UBE2L6,UGP2,UQCRC2,WAS,WDR3,YBX1,ZFP91",160 (41),40,47hr_PROT_causal_unique,True,
272,IL6R, ,transmembrane receptor,"Akt,Ap1,CEBPA,CTNNB1,ELK1,ERK1/2,Focal adhesion kinase,FOSL1,GSK3B,IL6R,Mapk,MED1,MMP2,MTOR,RELA,RHOA,RPS6KB1,SP1,STAT1,STAT3,TP63",3,Inhibited,-2.102,3.1e-09,0.0467,"A2M,ABCB1,ABCC1,ACLY,AKR1B1,AKT1,ALB,APOC3,ARHGDIB,ARRB1,ATG7,ATG9A,ATP6AP2,AURKA,C3,C4A/C4B,CA2,CASP1,CASP4,CAST,CBS/CBSL,CCL4,CD14,CD47,CD82,CDC42,CDK6,CHI3L1,CLEC11A,CLTC,COL1A1,COL3A1,CPT2,CSTA,CTCF,DAP3,DDX60,DHCR24,DIAPH1,DNMT1,DTYMK,EDF1,EEF1A2,EGLN1,EHD1,ENG,ERAP1,ERMP1,EZH2,EZR,FADS2,FKBP5,FN1,FOSL1,FSCN1,FUBP1,GAPDH,GBP1,GBP2,GGH,GSR,GSS,H1-10,HDAC1,HDAC2,HINT1,HLA-A,HLA-B,HLA-E,HMOX1,HSD17B12,HSPH1,IFI16,IFI35,IFIT3,IGFBP2,IGFBP7,IGLL1/IGLL5,IL1B,IL1RAP,IL1RN,IRF2,IRF2BP2,IRF8,ITGB2,ITGB5,JUNB,JUND,KHSRP,KIF2A,KRT10,LBR,LDHA,LTF,MAP2K2,MAT2A,MKNK1,MMP2,NAMPT,NDRG1,NPM1,NRP1,NT5E,OAS2,PDHA1,PEA15,PGK1,PHB,PKM,PLAU,PLD1,PLG,PNPT1,POSTN,PPP2R1A,PPP3CA,PPP3CB,PRPF4,PSMB10,PSMB9,PTPN12,PTPRE,PXN,QKI,RAB4B,RAD23A,RPA1,S100A8,S100A9,SDHB,SEPTIN6,SERPINB1,SERPINF1,SH3GLB1,SH3KBP1,SLAMF8,SLC2A1,SLC7A11,SLC9A3R1,SMAP2,SOD1,SREBF2,SRSF1,STAT1,STAT3,STK4,TANK,TAP2,TAPBP,TGFB1,TMED10,TMSB10/TMSB4X,TPM1,TRIM21,TUBB2A,UBE2I,UGDH,UQCRC2,VCL,VDAC1,VIM,WARS1,WAS,WIPF1,ZFP91",165 (21),21,47hr_PROT_causal_unique,True,
301,TLR4, ,transmembrane receptor,"AKT1,AR,ERK,ERK1/2,GSK3B,HIF1A,IKBKB,Jnk,JUN,Mapk,MTORC1,NFkB (complex),NFKB1,P38 MAPK,PRKCD,PRKCZ,RELA,STAT1,TLR4",2,Inhibited,-2.008,8.34e-09,0.0479,"ABCB1,ACTR3,ADAM10,AKT1,ALDOA,APOC3,APOE,ARHGDIB,ARRB1,ATG7,ATP6AP2,AURKA,BAX,BUB1B,C3,C4A/C4B,CARS1,CASP4,CAST,CCL4,CD14,CD36,CD55,CELF2,CHI3L1,CKAP4,CLEC11A,COL1A1,COL1A2,DDX60,DEGS1,DHCR24,DHCR7,DIAPH1,DNM1L,DNMT1,DR1,EGLN1,EGR2,EIF4E,EIF4G1,ERAP1,ERO1A,EZR,FABP4,FABP5,FDXR,FEN1,FHL1,FKBP4,FOSL1,FSCN1,GAPDH,GBP1,GBP2,GCLC,GCLM,GDF15,GDI1,GOT1,GSR,GSS,H2BC12,HLA-A,HLA-E,HLA-F,HSPB1,IDH2,IFI16,IFI35,IFIT3,IL1B,IL1RN,IRAK4,IRF2,IRF2BP2,IRF5,ITGB2,ITGB5,JMJD6,JUND,KHSRP,KIF2A,KYNU,LDHA,LIMS1,LMAN1,LTC4S,MAP2K2,MAT2A,MCM2,MIF,MKNK1,MMP2,MMP9,MRPS11,MSMO1,MTA1,MYH11,NAE1,NAMPT,NAP1L1,NDRG1,NPM1,NQO1,NT5E,NUCKS1,NUDCD2,P4HA1,PDCD4,PDIA5,PDLIM7,PELP1,PHGDH,PKM,PLAU,PLAUR,PLD1,PLG,POSTN,PPP1R3D,PSAT1,PSMB10,PTPRE,PXN,QKI,RAB4B,RASA1,SEC61B,SH3GLB1,SH3KBP1,SIRT6,SLAMF8,SLC2A1,SLC7A11,SMAP2,SOD1,SRSF2,STAT3,STK4,SUZ12,SYK,TAP2,TAPBP,TDO2,TFAM,TFRC,TGFB1,THBS1,TIMP2,TMSB10/TMSB4X,TRIM21,WARS1,WIPF1,ZFP91",155 (19),19,47hr_PROT_causal_unique,True,
318,PRKCA,0.419,kinase,"ADRB2,Akt,CREB1,DDX58,EGFR,ELAVL1,ERK1/2,HDAC6,NFkB (complex),P38 MAPK,PGR,PRKCA,RB1,RELA,RHOA,SRC",2,Inhibited,-2.5780000000000003,5.54e-08,0.0391,"ABCB1,ACTB,AKT1,ARHGDIB,ARRB1,ATP1A1,ATP6AP2,AURKA,C3,CAPN2,CCL4,CD36,CD55,CD82,CDK1,CHI3L1,CKAP4,CLEC11A,COL1A1,CPT2,DDX60,DNMT1,DPYSL2,DYNLL1,EGLN1,EGR2,EIF1AX,ERAP1,EZH2,EZR,FABP4,FABP5,FDXR,FOSL1,GDF15,GLUL,GOT1,GSR,GSS,GSTM3,HLA-A,HLA-F,HNRNPA1,HNRNPA2B1,HSP90B1,IFI16,IFI35,IFIT3,IL1B,IRF2BP2,JUND,KIF2A,KRT10,KYNU,MAP2K2,MAT2A,MATK,MIF,MKNK1,MMP2,MMP9,MTA1,MX2,MYD88,MYH11,NAMPT,NCL,NDRG1,OAS2,OASL,PCNA,PDHA1,PDLIM1,PEA15,PFKP,PKM,PLAU,PLD1,PLG,POSTN,PPIA,PPP1R12A,PRKAR1A,PSEN1,PSMB1,PSMB10,PSMB7,PTPRE,PXN,QKI,RAB4B,RBL2,RSAD2,S100A8,SDHB,SERPINB8,SH3KBP1,SLC2A1,SLC7A11,SMAP2,SQSTM1,SRSF1,SRSF2,STAT1,STK4,TAP2,TAPBP,TDO2,TGFBI,TMED10,TMSB10/TMSB4X,TOP2A,UQCRC2,USP8,VASP,VCL,VIM,ZFP91",118 (16),16,47hr_PROT_causal_unique,True,
322,AMFR, ,transmembrane receptor,"AMFR,HMGCR,LATS1,MYC,YAP1",3,Activated,2.54,6.3e-08,0.0005,"ABCC1,AKT1,ALCAM,ALDH18A1,BAG1,BAX,BCAT1,CASP8,CD14,CD151,CD82,CDK6,COL1A1,DTYMK,EHD1,EIF4E,EIF4G1,EZH2,GIGYF2,GLS,HSP90AA1,HSPB1,HSPH1,IFI35,IFIT3,IL1B,LDHA,LTF,MAT2A,MX2,MYD88,NOLC1,NPM1,OASL,PDCD4,PLAU,PLAUR,POLDIP3,POLR2D,PREP,PYCR1,RPL11,RPL5,RSAD2,SAE1,SLC2A1,SRSF1,STAT1,STAT3,SUMO1,SUMO2,SUMO3,SYNE3,TBC1D2,THBS1,TK1,UBA2,UBE2I,UGP2,UQCRQ,WRN,XPO1",62 (5),4,47hr_PROT_causal_unique,True,
328,NOXA1, ,other,"AKT1,AMPK,Ap1,ATF2,CASP8,CHUK,EGFR,ERK1/2,FOXO1,Gsk3,IKBKB,IRF3,MAP3K7,MAPK14,MAPK9,NFAT (complex),NFkB (complex),NFKB1,NOX3,NOXA1,PTEN,RAC1,RELA,RHOA,SREBF1,TAB1",3,Inhibited,-2.753,1.2e-07,0.0426,"ABCB1,ACO2,AIF1,AKT1,ALDOA,APOBEC3F,ARHGDIB,ARRB1,ASNS,ATP6AP2,C3,CASP4,CD14,CDK1,CFI,CHI3L1,CLEC11A,CSE1L,CSRP1,CYP51A1,DAB2,DIAPH1,DNMT1,EFEMP1,EGLN1,EIF4E,ELAVL1,ERAP1,EZR,FABP5,FDPS,FKBP5,FSCN1,GAPDH,GBP1,GBP2,GCLC,GCLM,GSPT1,HDAC1,HDAC2,HLA-A,HLA-F,HMGN2,HNRNPA1,HNRNPA2B1,HSP90B1,HYOU1,IDH1,IDH3A,IFIT3,IRF2BP2,IRF5,ITGB5,KHSRP,KIF2A,KYNU,LEMD3,LPL,LSM3,MAP2K2,MAT2A,METAP2,MKNK1,MTA1,NAMPT,NCF1,NDUFS2,NQO1,OAS2,OASL,PCNA,PDHA1,PKM,PLAU,PLD1,POSTN,PPCS,PPIA,PPM1F,PREX1,PRKAR1A,PSMB1,PSMB10,PSMB7,PTPRE,PXN,QKI,RAB4B,RAD50,RSAD2,S100A4,SDHA,SDHB,SH3KBP1,SIRT6,SLC7A11,SMAP2,SPC25,SPRY2,SREBF2,SRSF1,STK4,TAP2,TAPBP,TDO2,THBS1,TK1,TMSB10/TMSB4X,UQCRC2,ZFP91",111 (26),24,47hr_PROT_causal_unique,True,
336,SPP1, ,cytokine,SPP1,1,Activated,2.1319999999999997,3.44e-07,0.0002,"AURKA,BAX,CCL4,DHCR7,FN1,FOXRED1,MMP2,MMP9,NDUFA9,NDUFB9,NDUFS7,NDUFV1,PGD,PLAU,PLOD1,POR,SAMM50,SSB,TGFB1,UQCRC2,VAT1,VIM",22 (1),1,47hr_PROT_causal_unique,True,True
343,CLDN7, ,other,"AKT1,CLDN7,RELA",2,Inhibited,-2.213,8.559999999999999e-07,0.0033,"ANXA3,APOE,ARHGDIB,ASAP1,ATP6AP2,C3,CKAP4,CTCF,DIAPH1,DNMT1,EGLN1,ERAP1,F5,FOSL1,GCLC,GCLM,GLS,GSR,GSS,HLA-B,HMOX1,IGFBP7,IL1B,IRF2BP2,JUND,LGALS3,LIMA1,LTA4H,MAT2A,MLEC,MMP2,MMP9,MRPL36,MRPL40,NAMPT,NCOA7,NQO1,NUDT21,PHGDH,PKM,PLD1,PLG,PSMG2,PXN,QKI,RPL29,RPS7,SERPINB1,SH3KBP1,SIRT6,SLC25A22,SMAP2,STK4,TGFB1,TIMP2,TMCO1,TMSB10/TMSB4X,UBE2L6,ZFP91",59 (3),3,47hr_PROT_causal_unique,True,
363,ITGA6,0.290,transmembrane receptor,"Akt,BRCA1,ERK1/2,ITGA6,NFAT5,RELA,SRC",2,Inhibited,-2.5660000000000003,5.13e-06,0.0192,"ARHGDIB,ARRB1,ATP2A2,ATP6AP2,BAX,C3,CCL4,CLEC11A,CTCF,DNMT1,DUSP3,EGLN1,ELAVL1,ERAP1,EZH2,EZR,FKBP5,FN1,FOSL1,GBP1,GDF15,GSR,GSS,HLA-A,HNRNPD,IL1B,IRF2BP2,JUNB,JUND,KIF2A,MAP2K2,MAT2A,MKNK1,MMP2,MMP9,NAMPT,NQO1,NUDT1,PCBP2,PCNA,PEA15,PFKP,PIN1,PKM,PLAU,PLD1,PLG,PSMB10,PSMB9,PTPRE,PXN,QKI,RAB4B,RPS7,SDHB,SH3KBP1,SLC2A1,SMAP2,STK4,TAP2,TAPBP,TGFB1,TMED10,TMSB10/TMSB4X,UQCRC2,XRCC6,ZFP91",67 (7),6,47hr_PROT_causal_unique,True,
370,S1PR2, ,G-protein coupled receptor,"Akt,EGFR,ERK1/2,RELA,S1PR2",2,Inhibited,-2.605,8.41e-06,0.0248,"AKT1,ARHGDIB,ARRB1,ATP6AP2,C3,CCL4,CHI3L1,CLEC11A,CTCF,DNMT1,EGLN1,ERAP1,EZH2,EZR,FKBP5,FN1,FOSL1,GBP1,GSR,GSS,HLA-A,HNRNPA1,HNRNPA2B1,HSP90B1,IL1B,IRF2BP2,JUNB,JUND,KIF2A,MAP2K2,MAT2A,MKNK1,MMP2,MMP9,NAMPT,PEA15,PKM,PLAU,PLD1,PLG,POSTN,PPIA,PRKAR1A,PSMB1,PSMB10,PSMB7,PSMB9,PTPRE,PXN,QKI,RAB4B,SDHB,SH3KBP1,SLC7A11,SMAP2,SRSF1,STK4,TAP2,TAPBP,TGFB1,TMED10,TMSB10/TMSB4X,UQCRC2,VIM,ZFP91",65 (5),4,47hr_PROT_causal_unique,True,
373,ZNF366, ,transcription regulator,"PGR,RELA,ZNF366",2,Activated,3.159,1.01e-05,0.0102,"ARHGDIB,ATP6AP2,CAPN2,CDK1,CKAP4,CPT2,CTCF,DDX60,DNMT1,DPYSL2,DYNLL1,EGLN1,EIF1AX,ERAP1,EZR,FKBP5,FN1,GBP1,GLUL,GOT1,GSTM3,IFI16,IFI35,IFIT3,IL1B,IRF2BP2,MAT2A,MATK,MMP9,MX2,NAMPT,NDRG1,OAS2,OASL,PCNA,PDLIM1,PFKP,PKM,PLAU,PLD1,PXN,QKI,RSAD2,S100A8,SERPINB8,SH3KBP1,SMAP2,STK4,TGFB1,TMSB10/TMSB4X,VASP,VCL,ZFP91",53 (3),2,47hr_PROT_causal_unique,True,
401,F7, ,peptidase,"AKT1,ERK1/2,F2R,F7,GSK3B,MAPK14,MAPK8,RPS6KB1",2,Inhibited,-2.064,4.6399999999999996e-05,0.0186,"ARRB1,ATG7,BAX,C3,CCL4,CD82,CLEC11A,COL3A1,DAB2,DHCR24,DIAPH1,EFEMP1,ELAVL1,EZR,FKBP5,FN1,FOSL1,GCLC,GCLM,GSR,GSS,HLA-A,HMOX1,IL1B,JUNB,JUND,KIF2A,MAP2K2,MKNK1,MMP2,MMP9,NQO1,PAPOLA,PKM,PLAUR,PLG,PSMB10,PSMB9,PTPRE,RAB4B,S100A4,SH3GLB1,SIRT6,SREBF2,TAP2,TAPBP",46 (8),8,47hr_PROT_causal_unique,True,
445,PGF, ,growth factor,"AKT1,ERK1/2,OCLN,PGF",2,Inhibited,-2.0580000000000003,0.00031,0.0371,"ARRB1,C3,CASP1,CCL4,CDK1,CLEC11A,COL3A1,DIAPH1,EZR,FKBP5,FN1,GCLC,GCLM,GSR,GSS,HLA-A,HMOX1,IL1B,JUNB,JUND,KIF2A,MAP2K2,MKNK1,MMP9,NQO1,PKM,PLG,PSMB10,PSMB9,PTPRE,RAB4B,SIRT6,TAP2,TAPBP",34 (4),4,47hr_PROT_causal_unique,True,
471,DSG2, ,other,"DSG2,ERK1/2,MAPK14,SMAD1/5",2,Inhibited,-2.556,0.000789,0.0487,"ARPC3,ARRB1,BAX,C3,CCL4,CLEC11A,COL3A1,DAB2,DIAPH1,EFEMP1,ELAVL1,EZR,FKBP5,FN1,HLA-A,IL1B,JUNB,JUND,KIF2A,MAP2K2,MKNK1,MMP2,PKM,PLAUR,PSMB10,PSMB9,PTPRE,RAB4B,TAP2,TAPBP",30 (4),4,47hr_PROT_causal_unique,True,
496,IRF2,-0.911,transcription regulator,IRF2,1,Inhibited,-2.673,0.00305,0.0351,"ARCN1,CD14,CES1,CLIC1,FGA,IDH1,NAMPT,PTGR1,RRBP1,SRGN,SUPT16H,TPM1,TXNRD1,UBE2L6",14 (1),1,47hr_PROT_causal_unique,True,True
