,Master Regulator,Expr Log Ratio,Molecule Type,Participating regulators,Depth,Predicted Activation,Activation z-score,p-value of overlap,Network bias-corrected p-value,Target Molecules in Dataset,Causal network,Target-connected regulators,sample,sig,overlap_upstreamreg
12,DYRK1A,0.224,kinase,"AMPK,DYRK1A,FOXO3,HDAC2,MYC,SIRT1,SREBF1,STAT1,STAT5a/b,TP53",3,Inhibited,-2.5869999999999997,7.21e-18,0.0001,"ABCB1,ACLY,ACO1,ACO2,ACSL3,ACTB,AK1,AKT1,ALCAM,ALDH18A1,ALDOA,APOBEC3F,ARPC1B,ATG7,BAG1,BAX,BCAT1,BID,BUB1B,C4A/C4B,CASP1,CASP4,CASP8,CD14,CD151,CD36,CD63,CD81,CDK1,CDKN2C,CES2,CFI,CHD3,COL1A1,COMP,CPOX,CSRP1,CYP51A1,DDX60,DNM1,DNMT1,DUT,EGR2,EIF4E,EIF4G1,ENG,EZH2,FABP4,FAM3C,FBXO22,FDPS,FEN1,FKBP3,FN1,FOSL1,FUBP1,GART,GBP1,GBP2,GDF15,GIGYF2,GLS,GNL3,GSK3A,GSK3B,GSR,HDAC2,HLA-E,HMGB1,HMGN2,HMOX1,HSP90AA1,HSPA1A/HSPA1B,HSPA4,HSPA4L,HSPA8,HSPB1,HSPH1,IDH1,IDH2,IDH3A,IDI1,IGFBP7,IL1B,IL1RN,IREB2,IRF2,JUNB,LBR,LCP2,LEMD3,LGALS3,MAP2K2,MAPK1,MAT2A,MCM2,ME1,ME2,MGST2,MMP2,MMP9,MST1,MTA1,MX2,MYD88,MYO6,NCF1,NDRG1,NDUFS2,NME1,NOLC1,NPM1,NT5E,OASL,PCNA,PDCD4,PDHX,PFKP,PHGDH,PLAU,PLAUR,POLDIP3,POLR2D,PPCS,PPM1A,PPP1CA,PPP2CA,PPP3CA,PPP4C,PPP4R2,PRAG1,PREP,PREX1,PTPN11,PTPN12,PTPN6,PYCR1,RAD23A,RFC3,RPL11,RPL5,RRAD,RSAD2,S100A4,SAE1,SCD,SDHA,SEL1L,SIRT6,SLAMF8,SOD1,SRSF1,SRSF2,SRSF3,STAT1,STAT3,STIP1,STMN1,STOM,SUMO1,SUMO2,SUMO3,TAGLN2,TANK,TAP2,TFAM,TFRC,TGFB1,THBS1,TMSB10/TMSB4X,TOP2A,TRIM21,TUBB,UBA2,UBE2I,UGP2,UQCRQ,VIM,WARS1,WDR3,WRN,YBX1,YWHAH",183 (10),10,47hr_PROT_causal_unique,True,
15,OCLN, ,other,"AMPK,FOXO3,HDAC2,MYC,OCLN,SIRT1,SREBF1,STAT1,STAT5a/b,TP53",3,Activated,2.292,1.15e-17,0.0001,"ABCB1,ACLY,ACO1,ACO2,ACSL3,ACTB,AK1,AKT1,ALCAM,ALDH18A1,ALDOA,APOBEC3F,ARPC1B,ATG7,BAG1,BAX,BCAT1,BID,BUB1B,C4A/C4B,CASP1,CASP4,CASP8,CCL4,CD14,CD151,CD36,CD63,CD81,CDK1,CDKN2C,CES2,CFI,CHD3,COL1A1,COMP,CPOX,CSRP1,CYP51A1,DDX60,DNM1,DNMT1,DUT,EGR2,EIF4E,EIF4G1,ENG,EZH2,FABP4,FAM3C,FBXO22,FDPS,FEN1,FKBP3,FN1,FOSL1,FUBP1,GART,GBP1,GBP2,GDF15,GIGYF2,GLS,GNL3,GSK3A,GSK3B,GSR,HDAC2,HLA-E,HMGB1,HMGN2,HMOX1,HSP90AA1,HSPA1A/HSPA1B,HSPA4,HSPA4L,HSPA8,HSPB1,HSPH1,IDH1,IDH2,IDH3A,IDI1,IGFBP7,IL1B,IL1RN,IREB2,IRF2,JUNB,LBR,LCP2,LEMD3,LGALS3,MAP2K2,MAPK1,MAT2A,MCM2,ME1,ME2,MGST2,MMP2,MMP9,MST1,MTA1,MX2,MYD88,MYO6,NCF1,NDRG1,NDUFS2,NME1,NOLC1,NPM1,NT5E,OASL,PCNA,PDCD4,PDHX,PFKP,PHGDH,PLAU,PLAUR,POLDIP3,POLR2D,PPCS,PPM1A,PPP1CA,PPP2CA,PPP3CA,PPP4C,PPP4R2,PRAG1,PREP,PREX1,PTPN11,PTPN12,PTPN6,PYCR1,RAD23A,RFC3,RPL11,RPL5,RRAD,RSAD2,S100A4,SAE1,SCD,SDHA,SEL1L,SIRT6,SLAMF8,SOD1,SRSF1,SRSF3,STAT1,STAT3,STIP1,STMN1,STOM,SUMO1,SUMO2,SUMO3,TAGLN2,TANK,TAP2,TFAM,TFRC,TGFB1,THBS1,TMSB10/TMSB4X,TOP2A,TRIM21,TUBB,UBA2,UBE2I,UGP2,UQCRQ,VIM,WARS1,WDR3,WRN,YBX1,YWHAH",183 (10),10,47hr_PROT_causal_unique,True,
61,ENO1,-1.912,enzyme,"ADRB2,Akt,CASP8,CCAR2,CDH1,CHUK,CLTC,Creb,CTNNB1,EGFR,ELAVL1,ENO1,ERK1/2,EZH2,FOS,FOXO1,FOXO3,GSK3B,HMGA1,IKBKB,IQGAP1,IRF3,Jnk,JUN,KIT,LRP6,Mapk,MAPK1,MAPK9,MET,MMP12,MMP2,MTOR,MYC,NCL,NFkB (complex),Notch,NR4A1,PARP1,PDGFRA,PHB2,PI3K (family),PLSCR1,RAC1,RAPGEF1,RB1,RELA,RHOC,ROR1,RPS6KB1,SP1,SRC,SREBF1,SREBF2,STAT1,STAT3,STAT5a/b,SYK,TOPBP1,TP53,YAP/TAZ,YAP1,YBX1",3,Inhibited,-2.215,1.27e-14,0.0184,"ABCB1,ABCC1,ACLY,ACSL3,ACTB,AK1,AKT1,ALCAM,ALDH18A1,ALDOA,APOBEC3F,APOC3,ARHGDIB,ARPC1B,ARRB1,ATG7,ATP1A1,ATP6AP2,ATXN10,AURKA,BABAM2,BAG1,BCAT1,BID,BUB1B,C4A/C4B,CA2,CASP1,CASP8,CBS/CBSL,CD14,CD151,CD47,CD74,CDC42,CDKN2C,CELF2,CES2,CFI,CHD3,CHI3L1,CLEC11A,CNDP2,CNN3,COL3A1,COQ8A,CPOX,CSE1L,CSRP1,CYP51A1,DAB2,DDX60,DHCR24,DHCR7,DNM1,DNMT1,DTYMK,DUT,EFEMP1,EGLN1,EIF4E,EIF4G1,ENG,ENO3,EZH2,EZR,FABP5,FAM3C,FBP1,FBXO22,FDPS,FEN1,FKBP3,FKBP5,FN1,FOSL1,FSCN1,FUBP1,GAPDH,GART,GBP1,GBP2,GCLC,GCLM,GIGYF2,GLS,GLUL,GNL3,GOT1,GSK3A,GSK3B,GSPT1,GSR,GSS,HINT1,HLA-A,HLA-B,HLA-C,HLA-F,HMGB1,HMOX1,HNRNPA1,HNRNPA2B1,HSP90AA1,HSP90B1,HSPA1A/HSPA1B,HSPA4L,HSPA8,HSPB1,HSPH1,IDH1,IDI1,IGFBP7,IL1B,IL1RN,IREB2,IRF2,IRF2BP2,IRF5,ITPR1,KIF2A,KRT10,KYNU,LAP3,LBR,LCP2,LDHA,LEMD3,LGALS3,LPL,LSM3,MAP2K2,MAPK1,MAT2A,MCM2,ME1,ME2,MECP2,MED15,METAP2,MGST2,MKNK1,MMP2,MMP9,MST1,MTA1,MVD,MX2,MYD88,MYO6,NAMPT,NAT1,NCL,NCOA7,NDUFS2,NIBAN1,NME1,NMI,NPM1,NQO1,NT5E,NUP188,NVL,OASL,PDCD4,PDHX,PEA15,PFDN1,PFKP,PGK1,PHB,PHGDH,PKM,PLAU,PLCG2,PLD1,PLG,POLDIP3,POLR2D,PPCS,PPIA,PPM1A,PPP1CA,PPP2CA,PPP2R1A,PPP3CA,PPP4C,PPP4R2,PRAG1,PREP,PREX1,PRKAR1A,PSAT1,PSMB1,PSMB10,PSME2,PSME3,PTGS1,PTPN11,PTPN12,PTPN6,PXN,PYCR1,QKI,RAB4B,RAD50,RASA1,RBL2,RCSD1,RFC3,ROCK1,ROCK2,RPL11,RPL5,RRAD,S100A11,S100A4,SAE1,SCD,SDHB,SEC24D,SEL1L,SEPTIN2,SH3GLB1,SH3KBP1,SLAMF8,SLC2A1,SLC7A11,SLC9A3R1,SMAP2,SMARCC1,SNRNP200,SPC25,SQSTM1,SRFBP1,SRSF1,SRSF2,SRSF3,STIP1,STK4,STMN1,STOM,SUMO1,SUMO2,SUMO3,SUN2,SYK,SYNE3,SYPL1,TAGLN2,TANK,TAPBP,TBC1D2,TDO2,TFAM,TFRC,THBS1,TK1,TMED10,TMOD3,TUBB,TXN,UBA2,UBE2I,UBE2L6,UGDH,UGP2,UQCRC2,UQCRQ,VDAC1,VIM,VPS29,WARS1,WAS,WDR3,WRN,XPO1,YWHAH,ZFP91",279 (63),63,47hr_PROT_causal_unique,True,
80,RPA1,-1.240,other,"ATM,CHEK1,E2F3,ERK1/2,FANCD2,HSF1,ING1,JINK1/2,PLK1,RELA,RPA1,SRC,TP53",3,Inhibited,-2.287,5.55e-14,0.0003,"ABCB1,ABCC1,ACO1,ACSL3,ACTB,ADH5,AK1,AKT1,ARHGDIB,ARPC1B,ARRB1,ATG7,ATP6AP2,AURKA,BAG3,BAX,BID,BUB1B,C3,CASP1,CASP4,CASP8,CBX3,CCL4,CDK1,CES2,CHD3,CLEC11A,COL3A1,CPOX,CTCF,CTNND1,DNM1,DNMT1,DUT,EFEMP1,EGLN1,EIF4A2,ELAVL1,ENG,EPS15,ERAP1,EZR,FAM3C,FBLN1,FBXO22,FDXR,FEN1,FKBP3,FKBP4,FKBP5,FOSL1,FUBP1,GART,GBP1,GDF15,GNL3,GSK3A,GSK3B,GSR,H1-2,H2BC11,HDAC2,HLA-A,HMGB1,HMGB2,HMGN2,HMOX1,HNRNPA3,HSP90AA1,HSP90AB1,HSPA4,HSPA4L,HSPA8,HSPB1,HSPH1,IGF2,IGFBP7,IL1RN,IREB2,IRF2BP2,ITGB5,JMJD6,JUNB,JUND,KIF2A,LBR,LDHA,LGALS3,LPL,LSM2,MAPK1,MAT2A,MBOAT7,MCM2,ME1,ME2,MGST2,MKNK1,MRPL18,MST1,MTA1,MYO6,NAMPT,NASP,NDRG1,NME1,NOLC1,NUCKS1,PCNA,PDHX,PDS5A,PFKP,PGK1,PHGDH,PIN1,PKM,PLAU,PLAUR,PLD1,PLG,PPM1A,PPP1CA,PPP2CA,PPP3CA,PPP4C,PPP4R2,PRAG1,PSMB10,PSMB9,PTPN11,PTPN12,PTPN6,PTPRE,PXN,QKI,RAB4B,RAD23A,RANBP1,RANGAP1,RFC3,RRAD,S100A4,S100A8,SEL1L,SERPINH1,SH3KBP1,SHC1,SIRT6,SMAP2,SOD1,SPR,SRSF3,ST13,STIP1,STK4,STMN1,STOM,TAGLN2,TANK,TAP2,TAPBP,TFAM,TFRC,TGFB1,TM9SF2,TMSB10/TMSB4X,TOP2A,TUBB,XPO1,YWHAH,ZFP91",172 (13),12,47hr_PROT_causal_unique,True,
98,RAP1A,0.532,enzyme,"ATF1,ATF2,ATF6,CASP8,CCND1,CCNE1,CEBPA,CEBPB,Creb,CREB1,CTNNB1,DUSP1,DYRK1B,EGFR,ELK1,ERK,ERK1/2,GSK3B,HNRNPA1,Jnk,KAT5,LRP6,MAPK8,MED1,MET,MMP12,MMP2,MTOR,NFAT5,NFkB (complex),Notch,NR3C1,P38 MAPK,PGR,PPARG,PPARGC1A,RAC1,RAP1A,RELA,RPS6KB1,RUNX2,RXRA,SP1,STAT3,TP63,YAP1",3,Inhibited,-2.005,1.3e-13,0.0126,"A2M,ABCB1,ACADM,ACLY,AHNAK,AKR1B1,AKT1,AKT2,APEX1,APOB,ARHGDIB,ARRB1,ASNS,ATG7,ATG9A,ATP2A2,ATP6AP2,AURKA,C11orf58,C3,CA2,CAPN2,CASP1,CASP4,CAST,CBR1,CBS/CBSL,CCL4,CD36,CD47,CD55,CD82,CDC42,CDK1,CELF2,CHI3L1,CKAP4,CLEC11A,CLTC,COL1A1,COL1A2,CP,CPT2,CSE1L,CSTA,CTSL,DAP3,DHCR24,DIAPH1,DNAJB11,DNMT1,DPYSL2,DR1,DYNLL1,EDF1,EEF1A2,EEF1B2,EGLN1,EGR2,EIF1AX,EIF5,ENG,ENO1,ERAP1,ERBIN,ERCC2,ERMP1,EZR,FABP4,FABP5,FADS2,FDPS,FDXR,FKBP5,FOSL1,FSCN1,FUBP1,G3BP1,GABPA,GAPDH,GBP1,GDF15,GGH,GLUL,GOT1,GSK3B,GSPT1,GSTM3,H1-10,HDAC1,HDAC2,HINT1,HLA-A,HLA-B,HLA-F,HMOX1,HNRNPA1,HNRNPA2B1,HSD17B12,HSP90B1,HSPB1,HSPH1,IGFBP2,IGFBP7,IGLL1/IGLL5,IL1B,IL1RAP,IL1RN,ILK,IRF2BP2,IRF8,ITGB2,ITGB5,ITIH2,JUNB,JUND,KHSRP,KIF2A,KYNU,LASP1,LBR,LDHA,LEMD3,LTF,LUM,MAP2K2,MARCKS,MAT2A,MATK,MIF,MKNK1,MMP2,MMP9,MPG,MRPL20,MTA1,MX2,MYH11,NAMPT,NDRG1,NIBAN2,NPM1,NT5E,NUDT1,OAS2,OASL,PCYT1A,PDIA4,PDLIM1,PFKP,PGK1,PHB,PKM,PLAU,PLD1,PNPT1,POSTN,PPIA,PPP2R1A,PPP3CA,PPP3CB,PRDX2,PRKAR1A,PRPF4,PSEN1,PSMB1,PSMB10,PSMB7,PSMB9,PSME3,PTPN12,PTPRE,PXN,QKI,RAB4B,RAD23A,RAN,RBP4,RMDN3,ROCK2,RPA1,RPL13,RPS7,RSAD2,S100A11,S100A9,SEC61B,SEPTIN6,SERPINB1,SERPINB8,SERPINB9,SERPINF1,SH3GLB1,SH3KBP1,SHBG,SIRT6,SLC7A11,SLC9A3R1,SMAP2,SOD1,SREBF2,SRFBP1,SRSF1,SRSF2,STAT1,STAT3,STK4,STOM,SYNE3,TALDO1,TANK,TAP2,TAPBP,TBC1D2,TDO2,TFAM,TGFB1,THBS1,TK1,TLN1,TMSB10/TMSB4X,TOP1,TPI1,TPM1,TUBA1C,TUBB,TUBB2A,TUFM,TYMP,UBE2I,UGDH,UGP2,VASP,VCL,VDAC1,WAS,WIPF1,YWHAZ,ZFP91",239 (46),45,47hr_PROT_causal_unique,True,
100,TSLP, ,cytokine,"AR,ATF1,ATF6,BCL2,CEBPA,CEBPB,CREB1,CTNNB1,EGFR,ELK1,ERK1/2,Focal adhesion kinase,FOSL1,FOXO1,GSK3B,HNRNPA1,Hsp27,Jnk,JUN,KAT5,LRP6,Mapk,MED1,MET,MMP12,MMP2,MTOR,MTORC1,NFkB (complex),NR3C1,P38 MAPK,PGR,PPARGC1A,RELA,RHOA,RICTOR,RPS6KB1,SHC1,SP1,STAT1,STAT3,STAT5a/b,TP53,TP63,TSLP",3,Inhibited,-2.136,1.3300000000000001e-13,0.0468,"A2M,ABCC1,ACADM,ACLY,ACO1,ACSL3,ACTB,ACTR3,AK1,AKR1B1,AKT1,APEX1,APOB,APOC3,ARHGDIB,ARPC1B,ARRB1,ATG7,ATG9A,ATP2A2,ATP6AP2,BID,BUB1B,C3,C4A/C4B,CA2,CAPN2,CASP4,CBR1,CBS/CBSL,CCL4,CD14,CD36,CD47,CD55,CD82,CDC42,CDKN2C,CELF2,CES2,CHD3,CHI3L1,CKAP4,CLEC11A,CLTC,COL1A1,COL1A2,CPOX,CPT2,CSTA,DAP3,DEGS1,DHCR24,DHCR7,DIAPH1,DNAJB11,DNM1,DNM1L,DNMT1,DPYSL2,DR1,DUT,DYNLL1,EDF1,EEF1A2,EGLN1,EGR2,EIF1AX,ENG,ERAP1,ERCC2,ERMP1,ERO1A,EZR,FABP4,FABP5,FADS2,FAM3C,FBXO22,FDPS,FDXR,FKBP3,FKBP4,FKBP5,FLI1,FSCN1,GABPA,GAPDH,GART,GBP1,GBP2,GDF15,GDI1,GGH,GLUL,GNL3,GOT1,GSK3A,GSK3B,GSTM3,GSTP1,H1-10,HDAC1,HDAC2,HINT1,HLA-A,HLA-B,HLA-E,HLA-F,HMGB1,HMGB2,HMGN2,HMOX1,HNRNPA1,HNRNPA2B1,HSD17B12,HSP90B1,HSPA1A/HSPA1B,HSPA4L,HSPA8,HSPB1,HSPH1,HYOU1,IDI1,IFI16,IGFBP2,IGLL1/IGLL5,IL1B,IL1RAP,ILK,IREB2,IRF2,IRF2BP2,IRF8,ITGB2,ITGB5,JUNB,JUND,KHSRP,KIF2A,KRT10,KYNU,LCP2,LDHA,LEMD3,LGALS3,LMAN1,LTF,MAP2K2,MAPK1,MAT2A,MATK,MCM2,ME1,ME2,MGST2,MIF,MKNK1,MMP2,MMP9,MPG,MRPL20,MSMO1,MST1,MX2,MYH11,MYO6,NAMPT,NAP1L1,NDRG1,NME1,NOLC1,NPM1,NRP1,NT5E,OAS2,OASL,P4HA1,PDHA1,PDHX,PDIA4,PDIA5,PDLIM1,PGK1,PHB,PHGDH,PKM,PLAU,PLD1,PLG,PNPT1,PPIA,PPM1A,PPP1CA,PPP2CA,PPP2R1A,PPP3CB,PPP4C,PPP4R2,PRAG1,PRDX2,PRKAR1A,PRPF4,PSEN1,PSMB1,PSMB10,PSMB7,PSMB9,PSME3,PTPN11,PTPN12,PTPN6,PTPRE,PXN,QKI,RAB4B,RAD23A,RAN,RASA1,RFC3,ROCK2,RPA1,RRAD,RSAD2,S100A9,SEC61B,SEL1L,SEPTIN6,SERPINB1,SERPINB8,SERPINB9,SERPINF1,SH3GLB1,SH3KBP1,SIRT6,SLAMF8,SLC2A1,SLC7A11,SLC9A3R1,SMAP2,SOD1,SPC25,SPRY2,SQSTM1,SREBF2,SRSF1,SRSF2,SRSF3,STAT3,STIP1,STK4,STMN1,STOM,SYK,TAGLN2,TAP2,TAPBP,TDO2,TFRC,TGFB1,TIMP2,TMSB10/TMSB4X,TOP1,TOP2A,TPM1,TRIM21,TUBB,TUBB2A,TXN,UBE2I,UGDH,UGP2,VASP,VCL,VDAC1,VIM,WARS1,WAS,WDR3,WIPF1,XPO1,YWHAH,YWHAZ,ZFP91",284 (45),44,47hr_PROT_causal_unique,True,
155,PEBP1,-2.131,other,"ADCY,Akt,CASP8,CCND1,CCNE1,CEBPA,CEBPB,CHEK1,CTNNB1,DUSP1,ERK,ERK1/2,FOSL1,GSK3B,KCNN4,MED1,MMP2,MTOR,NOS2,Notch,PEBP1,PPARG,RELA,RPS6KB1,RUNX2,RXRA,SP1,STAT1",3,Inhibited,-2.9160000000000004,9.369999999999999e-12,0.0029,"A2M,ACLY,AHNAK,AKR1B1,AKT2,ALB,APOB,ARHGDIB,ARRB1,ATP6AP2,AURKA,C11orf58,C3,C4A/C4B,CA2,CASP1,CBS/CBSL,CD14,CD36,CD47,CD82,CDK6,CLEC11A,CLTC,COL1A1,COL1A2,COL3A1,CSE1L,CTCF,CTSL,DDX60,DHCR24,DIAPH1,DNMT1,DR1,DTYMK,EDF1,EEF1A2,EEF1B2,EGLN1,EHD1,EIF5,ENO1,ERAP1,ERBIN,ERMP1,EZH2,EZR,FABP4,FADS2,FKBP5,FN1,FOSL1,G3BP1,GBP1,GBP2,GDF15,GGH,GSR,GSS,H1-10,HINT1,HLA-A,HLA-B,HLA-E,HSD17B12,HSPB1,HSPH1,IFI35,IFIT3,IGLL1/IGLL5,IL1RN,IRF2,IRF2BP2,IRF8,ITGB2,ITGB5,ITIH2,JUND,KIF2A,KRT10,LASP1,LBR,LEMD3,LTF,LUM,MAP2K2,MARCKS,MAT2A,MKNK1,MYH11,NAMPT,NDRG1,NIBAN2,NRP1,OAS2,PCNA,PCYT1A,PEA15,PKM,PLD1,POSTN,PPP2R1A,PPP3CA,PPP3CB,PPP5C,PSMB10,PSMB9,PTPRE,PXN,QKI,RAB4B,RAD23A,RBP4,RMDN3,RPL13,S100A11,S100A8,S100A9,SDHB,SEC61B,SEPTIN6,SERPINB1,SERPINF1,SH3GLB1,SH3KBP1,SHBG,SIRT6,SLAMF8,SLC9A3R1,SMAP2,SREBF2,SRFBP1,SRSF1,STAT1,STK4,TALDO1,TANK,TAP2,TAPBP,TGFB1,THBS1,TLN1,TMED10,TMSB10/TMSB4X,TOP1,TPI1,TPM1,TRIM21,TUBA1C,TUBB,TUBB2A,TUFM,TYMP,UBE2I,UGDH,UQCRC2,VCL,VDAC1,WARS1,ZFP91",161 (28),27,47hr_PROT_causal_unique,True,
206,NABP1, ,other,"CHEK1,CHEK2,E2F3,ERK1/2,FANCD2,ING1,MDM4,NABP1,NBN,PLK1,RELA,SRC,TP53,TRIM28",3,Inhibited,-2.227,1.43e-10,0.0086,"ABCB1,ABCC1,ACO1,ACSL3,ACTB,ADH5,AK1,AKT1,ARHGDIB,ARPC1B,ARRB1,ATG7,ATP6AP2,AURKA,BAX,BID,BUB1B,C3,CA2,CASP1,CASP4,CASP8,CCL4,CDK1,CES2,CHD3,CLEC11A,COL3A1,CPOX,CTCF,CTNND1,DNM1,DUT,EGLN1,ENG,EPS15,ERAP1,EZR,FAM3C,FBXO22,FDXR,FEN1,FKBP3,FKBP5,FOSL1,FUBP1,GART,GBP1,GDF15,GNL3,GSK3A,GSK3B,GSR,H1-2,H2BC11,HDAC2,HLA-A,HMGB1,HMGB2,HMGN2,HMOX1,HSPA4L,HSPA8,IGF2,IGFBP7,IL1RN,IREB2,IRF2BP2,JUNB,JUND,KIF2A,LBR,LDHA,LPL,MAPK1,MAT2A,MCM2,ME1,ME2,MGST2,MKNK1,MST1,MTA1,MYO6,NAMPT,NDRG1,NIBAN1,NME1,NOLC1,NUCKS1,PCNA,PDHX,PDS5A,PFKP,PHGDH,PIN1,PKM,PLAU,PLAUR,PLD1,PPM1A,PPP1CA,PPP2CA,PPP3CA,PPP4C,PPP4R2,PRAG1,PSMB10,PSMB9,PTPN11,PTPN12,PTPN6,PTPRE,PXN,QKI,RAB4B,RAD23A,RFC3,RRAD,S100A4,S100A8,SDHA,SEL1L,SERPINH1,SH3KBP1,SIRT6,SMAP2,SOD1,SRSF3,STK4,STMN1,STOM,TAGLN2,TANK,TAP2,TAPBP,TFAM,TFRC,TGFB1,TM9SF2,TMSB10/TMSB4X,TOP2A,TUBB,VIM,XPO1,YWHAH,ZFP91",147 (14),12,47hr_PROT_causal_unique,True,
213,CD2, ,transmembrane receptor,"Akt,AMPK,Ap1,CASP8,CCND1,CD2,CEBPA,CHEK1,Creb,CREB1,CTNNB1,EGFR,ERK,ERK1/2,FOSL1,LAT,Mapk,MAPK1,MAPK3,MED1,MMP2,MTOR,NCL,Nfat (family),NFkB (complex),PLCG1,PRKCZ,RB1,RELA,RPS6KB1,RXRA,SP1,STAT3,STAT5a/b,TERT",3,Activated,2.224,2.62e-10,0.0354,"A2M,ACLY,ACO1,ACO2,ACTB,AHNAK,AKR1B1,AKT1,ALB,APOC3,ARHGDIB,ARRB1,ATP6AP2,BAX,C11orf58,C3,CA2,CASP1,CASP4,CBS/CBSL,CCL4,CD47,CDK6,CDKN2C,CLEC11A,CLTC,COL3A1,CSE1L,CTCF,DHCR24,DIAPH1,DR1,DTYMK,EDF1,EEF1A2,EEF1B2,EGLN1,EGR2,EHD1,EIF5,ENO1,ERBIN,ERMP1,EZH2,EZR,FABP5,FADS2,FKBP5,FN1,FSCN1,G3BP1,GDF15,GGH,GLS,GSR,GSS,H1-10,HDAC1,HDAC2,HINT1,HLA-A,HLA-C,HLA-E,HLA-F,HMOX1,HNRNPA1,HNRNPA2B1,HSD17B12,HSP90B1,HSPB1,HSPH1,IDH3A,IDI1,IFI16,IFI35,IFIT3,IGLL1/IGLL5,IL1RN,IRF2BP2,IRF8,ITGB5,ITIH2,JUNB,JUND,KIF2A,KRT10,KYNU,LAP3,LASP1,LBR,LCP2,LDHA,LTF,MAP2K2,MARCKS,MAT2A,MECP2,MKNK1,MMP2,MTA1,MX2,NCF1,NIBAN2,NMI,NPM1,NRP1,NT5E,NUP188,OASL,PCNA,PCYT1A,PDCD4,PEA15,PGK1,PHB,PHGDH,PKM,PLAU,PLG,POSTN,PPIA,PPP2R1A,PPP3CA,PPP3CB,PRKAR1A,PSAT1,PSEN1,PSMB1,PSMB10,PSMB7,PSMB9,PSME2,PTPRE,RAB4B,RAD23A,RBL2,RMDN3,RPL13,S100A4,S100A9,SDHA,SDHB,SEC61B,SEPTIN6,SERPINB1,SERPINF1,SH3KBP1,SIRT6,SLC9A3R1,SMAP2,SMARCC1,SOD1,SPRY2,SREBF2,STAT3,STIP1,STK4,SUN2,TALDO1,TANK,TAP2,TAPBP,TDO2,TMED10,TMSB10/TMSB4X,TPI1,TRIM21,TUBA1C,TUBB,TUBB2A,TUFM,TYMP,UBE2L6,UGDH,UGP2,UQCRC2,VCL,VDAC1,WAS,WDR3,WIPF1,ZFP91",182 (35),32,47hr_PROT_causal_unique,True,
231,GPR183, ,G-protein coupled receptor,"Akt,CASP8,CCND1,CCNE1,CEBPA,CEBPB,CHEK1,CTNNB1,DUSP1,ERK,ERK1/2,FOSL1,GPR183,GSK3B,MED1,MMP2,MTOR,NFkB (complex),NOS2,Notch,PPARG,RPS6KB1,RUNX2,RXRA,SP1,STAT1",3,Activated,2.54,5.93e-10,0.0147,"A2M,ACLY,AHNAK,AKR1B1,AKT2,ALB,APOB,ARRB1,AURKA,C11orf58,C3,C4A/C4B,CA2,CASP1,CBS/CBSL,CD14,CD36,CD47,CD82,CDK6,CLEC11A,CLTC,COL1A1,COL1A2,COL3A1,CSE1L,CTSL,DDX60,DHCR24,DIAPH1,DR1,DTYMK,EDF1,EEF1A2,EEF1B2,EHD1,EIF5,ENO1,ERBIN,ERMP1,EZH2,EZR,FABP4,FABP5,FADS2,FKBP5,FN1,FOSL1,G3BP1,GBP1,GBP2,GDF15,GGH,GSR,GSS,H1-10,HINT1,HLA-A,HLA-B,HLA-E,HLA-F,HSD17B12,HSPB1,HSPH1,IFI35,IFIT3,IGLL1/IGLL5,IL1RN,IRF2,IRF8,ITGB2,ITGB5,ITIH2,JUND,KIF2A,KRT10,KYNU,LASP1,LBR,LEMD3,LTF,LUM,MAP2K2,MARCKS,MKNK1,MMP9,MTA1,MYH11,NDRG1,NIBAN2,NRP1,OAS2,PCNA,PCYT1A,PEA15,PKM,PLAU,POSTN,PPP2R1A,PPP3CA,PPP3CB,PSMB10,PSMB9,PTPRE,RAB4B,RAD23A,RBP4,RMDN3,RPL13,S100A11,S100A8,S100A9,SDHB,SEC61B,SEPTIN6,SERPINB1,SERPINF1,SH3GLB1,SHBG,SIRT6,SLAMF8,SLC9A3R1,SREBF2,SRFBP1,SRSF1,STAT1,TALDO1,TANK,TAP2,TAPBP,TDO2,THBS1,TLN1,TMED10,TOP1,TPI1,TPM1,TRIM21,TUBA1C,TUBB,TUBB2A,TUFM,TYMP,UBE2I,UGDH,UQCRC2,VCL,VDAC1,WARS1",149 (26),25,47hr_PROT_causal_unique,True,
