,Master Regulator,Expr Log Ratio,Molecule Type,Participating regulators,Depth,Predicted Activation,Activation z-score,p-value of overlap,Network bias-corrected p-value,Target Molecules in Dataset,Causal network,Target-connected regulators,sample,sig,overlap_upstreamreg
2,IRGM, ,enzyme,IRGM,1,Inhibited,-4.6419999999999995,1.67e-20,0.0001,"APOBEC3F,APOBEC3G,B2M,CGAS,DDX58,DDX60,DDX60L,DHX58,GBP1,GBP4,HERC5,HLA-B,HLA-F,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,MX1,MX2,OAS1,OAS2,OASL,RSAD2,UBA7,UBE2L6",29 (1),1,24hr_PROT_causal_unique,True,True
4,CD19, ,transmembrane receptor,"CCAR2,CCND1,CD19,CEBPB,DUSP1,ELAVL1,ERK,ERK1/2,FOXO1,GSK3B,HMGA1,IRF3,LIN28A,MAP2K1,MAPK1,MAPK14,MMP12,MMP2,MMP9,MYC,NCL,NFkB (complex),NOS2,Notch,P38 MAPK,PDGFRB,PI3K (family),PPARG,RARA,RELA,RHOA,RPS6KB1,RUNX2,RXRA,SP1,SREBF1,STAT3,SYK,TP53",3,Inhibited,-2.427,3.02e-19,0.0088,"ABCB1,ABCC1,ACTB,AHNAK,AK1,ALB,ALCAM,ANO10,APOB,APOBEC3F,APOBEC3G,ARF4,ARHGDIB,ARPC5L,ARRB1,ATP6AP2,AURKA,B2M,BAG1,BCLAF1,BCOR,BID,BUB1B,BZW2,C11orf58,C3,CAP2,CASP1,CBS/CBSL,CCL4,CD36,CD55,CD82,CEBPA,CES2,CLEC11A,CNDP2,COL1A1,COL1A2,COX5A,CP,CTSD,CTSL,CYCS,CYP51A1,DDX58,DHCR24,DHCR7,DNAJC21,DNMT1,DOCK8,DR1,DUT,ECM1,EEF1B2,EFEMP1,EHD1,EIF2AK2,EIF4E,ENG,ENY2,ERAP1,ERP29,EZR,FABP5,FAM3C,FCER1G,FDPS,FKBP3,FN1,FOSL1,FUBP1,G3BP1,GBP1,GDF15,GOLGA2,GPNMB,GTF2B,HERC5,HINT1,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HMGB1,HMGN2,HMOX1,HNRNPD,HYOU1,IDI1,IFI16,IFI35,IFIH1,IFIT2,IFIT3,IGFBP7,IL1RN,INIP,IPO7,IRF2BP2,IRF5,ISCU,ITIH2,JUN,JUND,KAT2B,KRT10,KYNU,LAP3,LASP1,LGALS1,LGALS3,LUM,MAD1L1,MAP4K4,MARCKS,MEF2D,MGST2,MIF,MKI67,MMP2,MMP9,MTA1,MVP,MX1,MX2,NAMPT,NCL,NDRG1,NFATC2,NFKB2,NPM1,NRP1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PDCD4,PFKP,PGLS,PHGDH,PLIN2,PML,POLDIP3,POLR2D,POSTN,PPM1A,PPP3CA,PPP4R2,PRAG1,PREX1,PRMT1,PSIP1,PSME2,PSME3,PTPN2,PTPN6,PXN,RAB4B,RAD23A,RALY,RCC1,RCSD1,RGS1,RHOC,RMDN3,RNASET2,ROCK1,RPL11,RPL13,RPL27A,RPS27L,RRAD,RUNX1,S100A11,S100A8,SAMD9,SAR1A,SEC61B,SERPINE2,SFPQ,SHBG,SLC2A1,SPRY2,SRFBP1,ST14,STAT2,STMN1,SUMO1,SUMO2,SUMO3,SYPL1,TAGLN2,TALDO1,TANK,TAP1,TAPBP,TARDBP,TDO2,TFRC,TGM2,THBD,TPI1,TPM1,TPX2,TRADD,TREM2,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM,WTAP,YWHAH,ZFP91",220 (39),38,24hr_PROT_causal_unique,True,
6,UCN, ,other,"Akt,CCND1,CREB1,DUSP1,EGFR,ELK1,ERK,LIN28A,Mapk,MAPK1,MAPK14,MAPK3,NFkB (complex),RARA,RB1,RXRA,STAT5a/b,UCN",3,Inhibited,-2.668,4.3100000000000006e-19,0.0004,"ABCB1,ACTB,AHNAK,ANO10,APOBEC3G,APOC3,ARPC5L,AURKA,BAX,BCLAF1,C11orf58,C3,CCL4,CD44,CDK1,CDK6,CDKN2C,CEBPB,CHI3L1,COL1A1,CP,CTSS,DAB2,DDX58,DNAJC21,DNMT1,DR1,EEF1B2,EFEMP1,EHD1,EIF2AK2,ENY2,ERAP1,ERP29,FABP5,FN1,FOSL1,G3BP1,GBP1,HERC5,HK2,HLA-B,HLA-C,HLA-E,HLA-F,HMOX1,HNRNPD,HSPB1,IDI1,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP3,INIP,ISG15,ITIH2,JUN,KRT10,KYNU,LAP3,LASP1,LGALS1,LUM,MAP4K4,MAPK3,MARCKS,MKI67,MMP2,MMP9,MTA1,MVP,MX2,NAMPT,NDRG1,NDUFB8,NFKB1,NFKB2,NRP1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PEA15,PGLS,PLAU,PLG,PML,POSTN,PPIA,PSEN1,PSMB3,PSMB7,PSME2,PXN,RBL2,RELA,RFTN1,RMDN3,RPL13,RPL27A,RSAD2,SAMD9,SAR1A,SEC61B,SFPQ,SOD1,SPRY2,SRSF1,STAT1,STAT2,STIP1,TALDO1,TAP1,TAPBP,TARDBP,TDO2,TGFB1,TGM2,THBD,THBS1,TPI1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM,WTAP",135 (18),17,24hr_PROT_causal_unique,True,
14,ITGA3, ,other,"Ap1,CCND1,CDH1,CEBPA,CEBPB,CHEK1,CHUK,CTNNB1,DUSP1,EGFR,EIF2A,ELK1,ERK,ERK1/2,FOS,ITGA3,KIT,Mapk,MAPK1,MAPK9,MED1,MMP2,MTOR,NFkB (complex),NOS2,Notch,P38 MAPK,PPARG,PRKAA,RAPGEF1,RB1,RELA,RHOA,RPS6KB1,RUNX2,RUNX3,RXRA,SP1,SRC,STAT1,STAT3,STAT5a/b,YAP/TAZ,YAP1",3,Inhibited,-2.1319999999999997,1.96e-18,0.0042,"A2M,ABCB1,ACSL1,ACTB,AHNAK,APOA4,APOB,APOBEC3G,APOC3,ARHGDIB,ARRB1,ATP6AP2,AURKA,B2M,BCLAF1,C11orf58,C3,C4A/C4B,CASP1,CBS/CBSL,CCL4,CD14,CD44,CD47,CD55,CDK6,CDKN2C,CEBPA,CEBPB,CHI3L1,CLEC11A,CLTC,COL1A1,COX4I1,CTSL,CTSS,DDX58,DDX60,DHCR24,DNMT1,DOCK8,DR1,EDF1,EEF1B2,EIF2AK2,EIF4E,ERMP1,ERP29,EZR,FABP5,FN1,FOSL1,G3BP1,GBP1,GBP2,GBP4,GOLGA2,GOT1,H1-10,H2AX,HINT1,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HMGN2,HSPB1,HYOU1,IDI1,IFI35,IFIH1,IFIT1,IFIT3,IGFBP3,IGLL1/IGLL5,IL1RN,IRF2BP2,IRF8,ISG15,ITGB5,ITIH2,JUN,JUND,KAT2B,KRT10,KYNU,LAP3,LASP1,LMNA,LPL,LSM3,LTF,LUM,MAD1L1,MAP4K4,MARCKS,METAP2,MIF,MKI67,MMP2,MMP9,MTA1,MVP,MX2,NAMPT,NDRG1,NFATC2,NFKB1,NFKB2,NPM1,NT5E,NUP188,OAS2,OAS3,OASL,PARP12,PARP14,PCK2,PDIA3,PLAU,PML,POSTN,PPIA,PPP3CA,PPP3CB,PRMT1,PSAT1,PSIP1,PSMB3,PSMB7,PSME2,PTPN2,PXN,RAB4B,RABGAP1L,RAD23A,RBL2,RFTN1,RGS1,RHOC,RMDN3,RPL13,RPL27A,RUNX1,S100A11,S100A4,S100A8,S100A9,SAR1A,SCPEP1,SEC61B,SERPINF1,SHBG,SLC2A1,SLC7A11,SLC9A3R1,SOD1,SPRY2,SRFBP1,SRSF1,SRSF2,STAT1,STAT2,STIP1,TALDO1,TANK,TAP1,TAP2,TAPBP,TDO2,TGM2,THBS1,TK1,TMSB10/TMSB4X,TPI1,TPM1,TRADD,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,ZFP91",185 (44),43,24hr_PROT_causal_unique,True,
16,BMP2, ,growth factor,"Akt,AR,ATF2,BMP2,CASP7,CEBPA,CHUK,CTNNB1,DUSP1,EGFR,ERK,ERN1,ESR1,estrogen receptor,EZH2,FOXO1,HIF1A,HSF1,IRF3,LEF1,MAPK1,MAPK14,MAPK9,Mek,MMP12,MTOR,MYC,NFkB (complex),NR4A1,NRF1,P38 MAPK,PHB2,Pkc(s),PPARA,PRKAA,PRKD1,RB1,RHOC,RUNX3,SMAD1,SMAD3,SRC,SREBF2,STAT1,STAT3,STAT5a/b,TFEB,TP53,TP63,YAP/TAZ,YAP1,YBX1",3,Inhibited,-2.8289999999999997,3.9800000000000004e-18,0.0366,"A2M,ABCB1,ACSL1,ACTB,AHNAK,AK1,ALB,ALCAM,ANO10,APOE,ARPC5L,ASNS,ASS1,ATG9A,ATP6AP2,AURKA,BABAM2,BAG1,BAG3,BCAS3,BCOR,BID,BUB1B,BZW2,C3,C4A/C4B,CAPG,CARS1,CASP1,CAST,CBX3,CCL4,CD14,CD47,CD55,CDKN2C,CES2,CHI3L1,CLGN,COL1A2,COL6A1,COL9A2,COX4I1,COX5A,CP,CPT1A,CPT2,CSF1R,CSTA,CTSS,DDX58,DDX60,DEGS1,DHCR7,DNAJC21,DNMT1,DR1,DUT,ECM1,EFEMP1,EIF2AK2,EIF4E,ELANE,ENY2,ERAP1,ERLEC1,ERP29,FABP5,FAM3C,FBLN1,FDPS,FHL1,FKBP3,FN1,FUBP1,GBP1,GBP2,GBP4,GDF15,GLA,GLB1,GLUL,GNS,GOLGA2,GPNMB,GTF2B,H1-10,H2AX,HERC5,HK2,HLA-B,HLA-C,HLA-E,HLA-F,HMGB1,HMGN2,HMOX1,HNRNPD,HSPE1,HYOU1,IDI1,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGF2,IGFBP2,IGFBP3,IGFBP7,INIP,IRF5,ISCU,KAT2B,KHSRP,KRT10,KYNU,LAMP1,LAP3,LGALS1,LGALS3,LMAN1,LMNA,LPL,LSM3,LTF,LUM,MAD1L1,MAP4K4,MBD2,MBOAT7,METAP2,MGST2,MIF,MKI67,MMP2,MRPL18,MSMO1,MTA1,MVP,MX1,MX2,NAP1L1,NASP,NCOA7,NCOR1,NDRG1,NDUFB8,NFATC2,NPM1,NRP1,NUCKS1,NUDCD2,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PARP14,PDIA3,PEA15,PFKP,PGLS,PHGDH,PLAU,PLG,PLIN2,PML,PNPT1,POLDIP3,POLR2D,POSTN,PPIA,PPM1A,PPP3CA,PPP4R2,PRAG1,PRPF4,PSAT1,PSIP1,PSMB3,PSMB7,PSMD3,PSME2,PSME3,PTPN2,PTPN6,PXN,RAB5C,RAD23A,RALY,RANBP1,RBL2,RELA,RFTN1,RPL11,RPS27L,RSAD2,RUNX1,S100A4,S100A8,S100A9,SAMD9,SAR1A,SEC61B,SERPINE2,SERPINF1,SERPINH1,SFPQ,SLC9A3R1,SMC1A,SPRY2,SRC,SRSF1,SSBP1,ST13,ST14,STAT1,STAT2,STAT6,STIP1,STMN1,SUMO1,SUMO2,SUMO3,SYVN1,TACC1,TAGLN2,TAP1,TDO2,TFB2M,TGFB1,TGM2,TK1,TPM1,TPX2,TRADD,TRAF1,TREM2,TRIM21,TRIM25,TXN,UBE2I,UBE2J1,UBE2L6,UTP18,VIM,WTAP,YWHAH,ZYX",253 (52),50,24hr_PROT_causal_unique,True,
21,ADORA2A, ,G-protein coupled receptor,"ADCY,ADORA2A,Akt,CCND1,CREB1,DUSP1,EGFR,ERK1/2,LIN28A,Mapk,MAPK1,MAPK14,MAPK3,NFkB (complex),PLAT,RARA,RB1,RXRA,STAT5a/b",3,Inhibited,-2.6519999999999997,1.0599999999999999e-17,0.0008,"ABCB1,ACTB,AHNAK,ANO10,APOC3,ARPC5L,ARRB1,AURKA,B2M,BAX,BCLAF1,C11orf58,CDK1,CDK6,CDKN2C,CEBPA,CEBPB,CHI3L1,CLEC11A,CP,CTSS,DAB2,DDX58,DNAJC21,DNMT1,DR1,EEF1B2,EFEMP1,EHD1,EIF2AK2,ENY2,ERAP1,ERP29,EZR,FABP5,FN1,G3BP1,GBP1,HERC5,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HMOX1,HNRNPD,HSPB1,IDI1,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP3,INIP,ISG15,ITIH2,JUND,KRT10,KYNU,LAP3,LASP1,LGALS1,LUM,MARCKS,MKI67,MMP9,MTA1,MVP,MX2,NAMPT,NDUFB8,NFKB1,NFKB2,NRP1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PEA15,PGLS,PLAU,PLG,PML,PPIA,PSEN1,PSMB3,PSMB7,PSME2,PXN,RAB4B,RBL2,RELA,RFTN1,RMDN3,RPL13,RPL27A,RSAD2,SAMD9,SAR1A,SEC61B,SFPQ,SOD1,SPRY2,SRSF1,STAT1,STAT2,STIP1,TALDO1,TAP1,TAP2,TARDBP,TDO2,TGFB1,THBD,TPI1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM,WTAP",128 (19),17,24hr_PROT_causal_unique,True,
22,MAP2K1,-0.171,kinase,"Akt,AKT1,AXL,CDKN1B,CEBPA,DUSP1,EGFR,EGR1,ELK1,ERBB3,ERK,ERK1/2,HDAC1,HDAC2,HDAC6,HIF1A,Jnk,JUN,JUNB,KDM1A,KDM5A,KDM5B,KRAS,LIN28A,LMNA,MAP2K1,MAP2K1/2,Mapk,MAPK1,MAPK14,MAPK3,MAPK7,MED1,MET,MMP2,MMP9,MTOR,P38 MAPK,PARP1,PGR,RARA,RB1,RELA,RHOA,SGK1,SHC1,SMAD3,SP1,TAB1,UGDH",3,Inhibited,-2.6630000000000003,1.2e-17,0.012,"A2M,ACTB,ALB,ALCAM,ANO10,APOBEC3G,APOC3,APOE,ARHGDIB,ARPC5L,ARRB1,AURKA,B2M,BUB1B,C3,CARS1,CASP1,CBS/CBSL,CBX5,CCL4,CD2BP2,CD44,CD55,CDIPT,CDK6,CDKN2C,CEBPA,CEBPB,CHI3L1,CLEC11A,CLTC,COL1A1,COMP,CP,CPT2,CTSS,DAB2,DDX58,DDX60,DNAJC21,DNMT1,DOCK8,DPYSL2,DYNLL1,EDF1,EFEMP1,EHD1,EIF2AK2,EIF4E,ENY2,ERAP1,ERMP1,ERP29,EZR,FHL1,FIP1L1,FLI1,FOSL1,GBP1,GBP2,GLUL,GOLGA2,GOT1,GSTP1,H1-10,HERC5,HINT1,HLA-A,HLA-B,HLA-C,HLA-E,HMGB2,HMOX1,HNRNPD,HSPB1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGF2,IGFBP2,IGFBP3,IGLL1/IGLL5,IL1RN,INIP,IRF2BP2,IRF5,IRF8,ISG15,ITGB5,JUN,JUND,KRT10,LAMP1,LAMP2,LAP3,LCP1,LGALS1,LGALS3,LPL,LTF,LUM,MAD1L1,MAP4K4,MBD2,MIF,MKI67,MMP2,MMP9,MPC2,MVP,MX1,MX2,NDUFB8,NFKB1,NT5E,NUCKS1,NUDCD2,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PDLIM1,PEA15,PFDN1,PFKP,PGLS,PHGDH,PLAU,PLG,PML,POSTN,PPIA,PPP3CB,PREX1,PSMB3,PSMB7,PSME2,PSME3,PTPN1,RAB4B,RABGAP1L,RBL2,RGS1,RHOC,RNASET2,ROCK1,S100A8,S100A9,SAMD9,SCPEP1,SERPINE2,SERPINF1,SFPQ,SLC2A1,SOD1,SPRY2,SRSF1,SS18,STAT1,STAT2,STMN1,SWAP70,TANK,TAP1,TAP2,TAPBP,TARDBP,TFRC,TGFB1,TGFBI,TGM2,THBS1,TMOD3,TMPO,TMSB10/TMSB4X,TRADD,TREM2,TRIM21,TRIM25,TXN,UBE2I,UBE2L6,UBR7,UTP18,WTAP,YY1,ZFP91,ZYX",193 (50),47,24hr_PROT_causal_unique,True,
23,PLAUR,0.381,transmembrane receptor,"AKT1,AMPK,Ap1,CCND1,CEBPA,CEBPB,CHEK1,CTNNB1,DUSP1,ERBB2,ERK,ERK1/2,FOXO1,FOXO3,FOXO4,GSK3B,IGF1R,LIN28A,MAPK1,MAPK14,MAPK3,MED1,MMP2,MTOR,MYC,NFkB (complex),NOS2,Notch,PDGFRA,PLAUR,PPARG,PTEN,PTK2,Rac,RARA,RELA,RHOA,RPS6KB1,RUNX2,RXRA,Sfk,SP1,STAT1,STAT3,YAP1",3,Inhibited,-2.8710000000000004,1.55e-17,0.0262,"A2M,ABCB1,ABCC1,ACSL1,AHNAK,ALCAM,ANO10,APOB,APOBEC3G,ARF4,ARHGDIB,ARPC5L,ARRB1,ATP6AP2,AURKA,B2M,BAG1,BCLAF1,BCOR,BPNT2,BZW2,C11orf58,C3,C4A/C4B,CASP1,CBS/CBSL,CCL4,CD14,CD36,CD44,CD47,CD82,CDC37,CDK6,CEBPA,CEBPB,CLEC11A,CLTC,COL1A1,COL1A2,COL6A3,COX4I1,COX5A,CP,CPM,CSF1R,CTSD,CTSL,CTSS,DAB2,DDX58,DDX60,DHCR24,DNAJC21,DNMT1,DOCK8,DR1,EDF1,EEF1B2,EFEMP1,EHD1,EIF2AK2,EIF4E,ENY2,ERAP1,ERMP1,ERP29,EZR,FABP5,FN1,FOSL1,G3BP1,GBP1,GBP2,GBP4,GDF15,GLO1,GTF2B,H1-10,H2AX,HERC5,HGSNAT,HINT1,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HM13,HMOX1,HNRNPD,HYOU1,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP2,IGLL1/IGLL5,IL1RN,INIP,IPO7,IRF2BP2,IRF8,ISG15,ITGB5,ITIH2,JUN,JUND,KAT2B,KRT10,KYNU,LAMP1,LAP3,LASP1,LGALS1,LTF,LUM,MAD1L1,MAP4K4,MARCKS,MKI67,MMP2,MMP9,MTA1,MVP,MX1,MX2,NAMPT,NCF1,NDRG1,NFATC2,NFKB1,NFKB2,NPM1,NT5E,NUP188,NUP210,OAS1,OAS2,OAS3,OASL,PARP12,PDCD4,PGLS,PLAU,PLG,PLIN2,PML,POLDIP3,POSTN,PPP3CA,PPP3CB,PREX1,PRMT1,PSIP1,PSMD11,PSME2,PTPN2,RAB4B,RABGAP1L,RAD23A,RCC1,RGS1,RHOC,RMDN3,RPL11,RPL13,RPL27A,RSAD2,RUNX1,S100A11,S100A4,S100A8,S100A9,SAMD9,SAR1A,SCPEP1,SEC61B,SERPINE2,SERPINF1,SFPQ,SHBG,SLC9A3R1,SOD1,SPRY2,SRFBP1,STAT2,SUMO1,SUMO2,SUMO3,TALDO1,TANK,TAP1,TAP2,TAPBP,TARDBP,TDO2,TGFB1,TGM2,THBS1,TMSB10/TMSB4X,TPI1,TPM1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM,ZFP91",214 (45),41,24hr_PROT_causal_unique,True,
27,Igm, ,complex,"Akt,AR,ATF1,ATF6,CCAR2,CCND1,CDK1,CEBPA,CEBPB,CHEK1,CREB1,ELAVL1,ERK,ERK1/2,EZH2,F3,HMGA1,Hsp27,Igm,KAT5,LIN28A,MAP2K1,Mapk,MAPK1,MAPK14,MED1,MET,MMP9,MYC,NFKB1,Notch,NR3C1,NR4A1,NRF1,P38 MAPK,PGR,PHB,PHB2,PI3K (family),PLC,PLCG1,PPARG,PPARGC1A,PRKCZ,RARA,RB1,RHOA,RUNX2,RXRA,SREBF1,SYK,TERT,TP53,TP63,YAP1,YBX1",3,Inhibited,-2.8169999999999997,3.36e-17,0.0124,"A2M,ABCC1,AHNAK,AK1,ALB,ALCAM,ANO10,APOB,APOBEC3F,APOC3,ARF4,ARPC5L,ARRB1,ATG9A,ATP2A2,AURKA,B2M,BABAM2,BAG1,BAX,BCLAF1,BCOR,BID,BZW2,C11orf58,C3,CAP2,CD36,CD44,CD55,CD82,CEBPA,CES2,CLEC11A,CLGN,CLTC,CNDP2,COL1A1,COX5A,CP,CPT2,CSF1R,CSTA,CTSD,CTSL,CYCS,CYP51A1,DDX58,DEGS1,DHCR7,DNAJB11,DNAJC21,DNMT1,DPYSL2,DR1,DUT,DYNLL1,ECM1,EDF1,EEF1B2,EFEMP1,EHD1,EIF4E,ENY2,ERAP1,ERCC2,ERMP1,ERP29,EZR,FAM3C,FCER1G,FDPS,FKBP3,FN1,FUBP1,G3BP1,GBP1,GDF15,GLUL,GOLGA2,GPNMB,GTF2B,H1-10,H2AX,HERC5,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HMGB1,HMGN2,HMOX1,HNRNPD,IDI1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP2,IGFBP7,IGLL1/IGLL5,INIP,IPO7,IRF8,ISCU,ISG15,ITGB5,ITIH2,JUND,KHSRP,LAP3,LASP1,LGALS1,LGALS3,LMAN1,LTF,MAP4K4,MARCKS,MEF2D,MGST2,MIF,MKI67,MSMO1,MVP,MX1,MX2,NAP1L1,NCL,NCOA7,NDRG1,NDUFB8,NFKB1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PAPOLA,PARP12,PDCD4,PDIA4,PDLIM1,PEA15,PFKP,PGLS,PHGDH,PLG,PLIN2,PML,PNPT1,POLDIP3,POLR2D,POSTN,PPM1A,PPP3CB,PPP4R2,PRAG1,PRDX2,PREX1,PRMT1,PRPF4,PSAT1,PSEN1,PSMD3,PSME2,PTPN1,PTPN6,PXN,RAB4B,RABGAP1L,RALY,RBL2,RCC1,RCSD1,RELA,RHOC,RMDN3,RNASET2,ROCK1,RPL11,RPL13,RPL27A,RPS27L,RRAD,RUNX1,S100A11,S100A9,SAMD9,SCPEP1,SERPINB9,SERPINE2,SERPINF1,SFPQ,SHBG,SLC2A1,SPRY2,SRFBP1,SRSF2,ST14,STAT1,STAT2,STMN1,SUMO1,SUMO2,SUMO3,SYPL1,TAGLN2,TALDO1,TAP1,TAP2,TAPBP,TARDBP,TFRC,TGFB1,TGM2,TK1,TPI1,TPM1,TRADD,TREM2,TRIM21,TRIM25,TXN,UBE2I,UBE2L6,UTP18,VIM,YWHAH,YWHAZ",233 (56),54,24hr_PROT_causal_unique,True,
29,FCAR, ,transmembrane receptor,"Akt,Ap1,CEBPB,CREB1,DUSP1,ERK,ERK1/2,FCAR,GSK3B,LIN28A,Mapk,MAPK1,MAPK14,NFkB (complex),NOS2,Notch,PPARG,PXN,RARA,RB1,RELA,RUNX2,STAT1,STAT3,STAT5a/b",3,Activated,2.5,4.3200000000000004e-17,0.0022,"ABCB1,ACTB,ALB,ANO10,APOB,APOBEC3G,APOC3,ARHGDIB,ARPC5L,ARRB1,ATP6AP2,AURKA,B2M,C3,C4A/C4B,CCL4,CD14,CD36,CD82,CDK1,CDKN2C,CEBPA,CLEC11A,COL1A1,COL1A2,COX4I1,CP,CTSL,CTSS,DAB2,DDX58,DDX60,DNAJC21,DOCK8,EFEMP1,EHD1,EIF2AK2,ENY2,ERAP1,ERP29,EZR,FABP5,FN1,FOSL1,GBP1,GBP2,GBP4,GDF15,HERC5,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HNRNPD,IDI1,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,INIP,IRF2BP2,ISG15,JUN,JUND,KAT2B,KYNU,LAP3,LGALS1,LUM,MAP4K4,MKI67,MMP2,MMP9,MTA1,MVP,MX2,NAMPT,NDRG1,NFATC2,NFKB2,NPM1,NRP1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PEA15,PGLS,PLIN2,PML,POSTN,PRMT1,PSEN1,PSIP1,PSME2,PTPN2,PXN,RAB4B,RBL2,RFTN1,RGS1,RSAD2,RUNX1,S100A11,S100A4,S100A8,SAMD9,SAR1A,SFPQ,SHBG,SLC2A1,SOD1,SPRY2,SRC,SRFBP1,STAT2,STIP1,TAP1,TAP2,TAPBP,TARDBP,TDO2,TGFB1,TGM2,THBD,THBS1,TMSB10/TMSB4X,TPM1,TRAF1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM,WTAP,ZFP91",144 (25),24,24hr_PROT_causal_unique,True,
