,Master Regulator,Expr Log Ratio,Molecule Type,Participating regulators,Depth,Predicted Activation,Activation z-score,p-value of overlap,Network bias-corrected p-value,Target Molecules in Dataset,Causal network,Target-connected regulators,sample,sig,overlap_upstreamreg
30,STAT3,0.436,transcription regulator,"Akt,ATF2,CCND1,CDC42,CREB1,EGFR,EGR1,ELK1,EZH2,FOXO1,GSK3B,IRF3,JUN,Mapk,MMP12,MTOR,MYC,NFkB (complex),NR4A1,NRF1,P38 MAPK,PDGFRA,PHB2,RB1,RELA,RHOA,RHOC,RPS6KB1,RXRA,SP1,SREBF2,STAT1,STAT3,STAT5a/b,TFEB,TP63,TP73,WWTR1,YBX1",3,Activated,3.513,4.39e-17,0.0199,"ABCC1,ACTB,AHNAK,ALCAM,APOC3,ARHGDIB,ASNS,ATG9A,ATP6AP2,BABAM2,BAG1,BAX,BCLAF1,BCOR,BID,BZW2,C11orf58,C4A/C4B,CASP1,CAST,CBS/CBSL,CD14,CD36,CD44,CD55,CD82,CDK1,CDK6,CDKN2C,CEBPB,CHI3L1,COL1A1,COX4I1,COX5A,CPT2,CSTA,CTSS,DAB2,DDX58,DDX60,DHCR24,DNMT1,DOCK8,DR1,EEF1B2,EFEMP1,EIF4E,ELOB,ELOC,ENG,ERAP1,FABP5,FDPS,FOSL1,FUBP1,G3BP1,GBP1,GBP2,GBP4,GDF15,GLA,GLUL,GNS,GOLGA2,GOT1,GPNMB,GTF2B,HERC5,HINT1,HK2,HLA-E,HLA-F,HMOX1,HSPB1,HYOU1,IDI1,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGF2,IGFBP2,IGFBP3,IGFBP7,IPO7,IRF2BP2,IRF5,ISG15,ITIH2,JUN,KAT2B,KHSRP,KRT10,KYNU,LAMP1,LASP1,MARCKS,MIF,MKI67,MMP2,MMP9,MTA1,MX1,MX2,NAMPT,NCOA7,NDRG1,NDUFB8,NFATC2,NFKB1,NFKB2,NPM1,NRGN,NT5E,OAS1,OASL,PDCD4,PEA15,PLAU,PLG,PNPT1,POLDIP3,POLR2D,POSTN,PPIA,PPP4R2,PRPF4,PSEN1,PSIP1,PSMB3,PSMD3,PSME3,PTPN2,PXN,RBL2,RCC1,RFTN1,RGS1,RHOC,RMDN3,RPL11,RPL13,RPL27A,RSAD2,RUNX1,S100A4,S100A8,SAR1A,SEC61B,SERPINE2,SLC2A1,SLC7A11,SOD1,SPRY2,SRC,STAT1,STIP1,STMN1,SUMO1,SUMO2,SUMO3,TALDO1,TDO2,TGFB1,THBS1,TK1,TMSB10/TMSB4X,TPI1,TPM1,TRADD,TRIM21,TXN,UBE2I,VIM,WTAP,ZFP91",179 (39),38,24hr_PROT_causal_unique,True,True
33,MRE11,0.148,enzyme,"ATM,CHEK1,CHEK2,CREB1,E2f,E2F3,ELF4,ERK1/2,FANCD2,IFN type 1,IKBKB,IKBKG,ING1,IRF3,LAMTOR5,MAPK1,MAPK12,MDM4,MRE11,NFkB (complex),NFKB1,PLK1,RB1,RELA,SIAH2,SMC3,SRC,STAT1,STING1,TP53,VCP,ZEB1",3,Activated,3.28,6.69e-17,0.0054,"ABCC1,AK1,APOBEC3G,ARHGDIB,ARRB1,ATP6AP2,B2M,BAX,BID,BUB1B,C3,C4A/C4B,CASP1,CBX1,CCL4,CD14,CD44,CDK1,CEBPA,CES2,CHI3L1,CLEC11A,COL1A1,COL1A2,CTSD,CTSS,DDX58,DDX60,DOCK8,DUT,ECM1,EHD1,EIF2AK2,EIF4E,ENG,EPS15,ERAP1,ERP29,EZR,FABP5,FAM3C,FKBP3,FOSL1,FUBP1,GBP1,GBP2,GBP4,GDF15,GLB1,H2AX,HERC5,HLA-A,HLA-B,HLA-C,HLA-DRA,HLA-E,HLA-F,HMGB1,HMGB2,HMGN2,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGF2,IGFBP3,IGFBP7,IL1RN,IPO7,IRF2BP2,IRF5,ISCU,ISG15,JUN,JUND,KHSRP,KRT10,KYNU,LAP3,LPL,MAD1L1,MANF,MGST2,MMP9,MT1G,MVP,MX2,NAMPT,NCOR1,NDRG1,NDUFS8,NFATC2,NFKB1,NFKB2,NRP1,NT5E,NUCKS1,NUP188,OAS1,OAS2,OAS3,OASL,P4HB,PARP12,PFKP,PHGDH,PIN1,PLAU,PML,PPM1A,PPP3CA,PPP4R2,PRAG1,PSEN1,PSME2,PTPN6,PXN,RAB4B,RAD23A,RALY,RBL2,RGS1,RPS27L,RRAD,RSAD2,S100A4,S100A8,SAR1A,SERPINH1,SOD1,SPRY2,SRC,SSBP1,ST14,STAT1,STAT2,STMN1,TAF7,TAGLN2,TANK,TAP2,TAPBP,TDO2,TFRC,TGFBI,TGM2,THBD,TM9SF2,TMPO,TMSB10/TMSB4X,TPX2,TRAF1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM,XPO4,YWHAH,ZFP91",164 (32),30,24hr_PROT_causal_unique,True,
35,TIMP1,0.128,cytokine,"Ap1,ATF6,BCL2,BCL2L1,CAV1,CCND1,CEBPB,DUSP1,EGFR,ERK,ERK1/2,IGF1R,IRF3,KRAS,LIN28A,MAP2K1/2,MAP2K6,MAP3K1,MAP3K7,Mapk,MAPK1,MAPK14,MAPK3,MDM2,MET,NFAT5,NOS2,Notch,P38 MAPK,PARP1,PI3K (complex),PI3K (family),PPARG,PRKCD,PRKCZ,PTEN,PTK2,PXN,RARA,RB1,RELA,ROR1,RPS6KB1,RUNX2,RXRA,SGK1,SRC,STAT1,STAT3,STAT5a/b,TGFB1,TIMP1,YAP1",3,Inhibited,-2.6910000000000003,1.11e-16,0.039,"ACTB,AHNAK,ALB,ANO10,APOB,APOBEC3G,APOC3,ARF4,ARHGDIB,ARPC5L,ARRB1,ATP2A2,ATP6AP2,AURKA,B2M,BAX,BCLAF1,C11orf58,C4A/C4B,CCL4,CD44,CD55,CDK1,CDK6,CDKN2C,CEBPA,CEBPB,CLEC11A,COL1A1,COL1A2,COL6A3,COX4I1,CP,CTSD,CTSL,CTSS,DAB2,DDX58,DDX60,DHCR24,DNAJB11,DNAJC21,DNMT1,DOCK8,DR1,ECM1,EEF1B2,EFEMP1,EHD1,EIF2AK2,ENG,ENY2,ERAP1,ERP29,EZR,FDPS,FOSL1,G3BP1,GBP1,GBP4,GDF15,GOLGA2,HERC5,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HMOX1,HNRNPD,HSPB1,IDI1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP2,IGFBP3,IL1RN,INIP,IRF2BP2,IRF5,ISG15,ITGB5,ITIH2,JUN,KAT2B,KRT10,LAMP1,LAMP2,LAP3,LASP1,LGALS1,LUM,LYZ,MAP4K4,MAPK3,MAPKAPK2,MARCKS,MIF,MKI67,MMP2,MMP9,MVP,MX2,MYO9B,NDRG1,NFATC2,NPM1,NT5E,NUDT1,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PDCD4,PDIA4,PDLIM7,PFDN1,PFKP,PGLS,PHGDH,PLIN2,PML,POSTN,PPIA,PRDX2,PRMT1,PSAT1,PSIP1,PSMB3,PSMB7,PSME2,PTPN1,PTPN2,RAB4B,RBL2,RFTN1,RGS1,RMDN3,RPL13,RPL27A,RPS7,RUNX1,S100A11,S100A4,S100A8,SAMD9,SEC61B,SERPINH1,SFPQ,SHBG,SLC2A1,SLC3A2,SPRY2,SRC,SRFBP1,SRSF1,STAT2,STIP1,STMN1,TALDO1,TAP1,TAP2,TAPBP,TARDBP,TGFBI,TGM2,THBD,THBS1,TK1,TMOD3,TMSB10/TMSB4X,TPI1,TRADD,TRAF1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM,YY1,ZFP91,ZYX",189 (53),48,24hr_PROT_causal_unique,True,
37,SND1-BRAF, ,fusion gene/product,"Akt,Ap1,CCND1,CEBPA,CEBPB,CHUK,CTNNB1,DUSP1,ERK,ERK1/2,FOXO3,GSK3B,MAP2K1/2,MAPK1,MED1,MMP2,MTOR,NFkB (complex),NOS2,Notch,PPARG,RARA,RELA,RPS6KB1,RUNX2,RXRA,SND1-BRAF,SP1,STAT1,STAT3,TERT",3,Inhibited,-2.33,1.77e-16,0.0274,"A2M,ABCB1,ACSL1,AHNAK,ANO10,APOB,APOBEC3G,ARHGDIB,ARPC5L,ARRB1,ATP6AP2,AURKA,B2M,BAX,BCLAF1,C11orf58,C3,C4A/C4B,CASP1,CBS/CBSL,CCL4,CD14,CD36,CD44,CD47,CD82,CDK1,CDK6,CEBPA,CEBPB,CHI3L1,CLEC11A,CLTC,COL1A1,COL1A2,COX4I1,CP,CTSL,CTSS,DDX58,DDX60,DHCR24,DNAJC21,DNMT1,DOCK8,DR1,EDF1,EEF1B2,EIF2AK2,ENY2,ERMP1,ERP29,EZR,FABP5,FN1,FOSL1,G3BP1,GBP2,GBP4,GDF15,H1-10,H2AX,HINT1,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HNRNPD,HSPB1,IFI35,IFI44L,IFIH1,IFIT1,IFIT3,IGFBP3,IGLL1/IGLL5,IL1RN,INIP,IRF2BP2,IRF8,ISG15,ITGB5,ITIH2,JUN,JUND,KAT2B,KRT10,KYNU,LAP3,LASP1,LGALS1,LTF,LUM,MAD1L1,MAP4K4,MARCKS,MKI67,MMP2,MMP9,MTA1,MVP,MX2,NAMPT,NDRG1,NDUFB8,NFATC2,NFKB1,NFKB2,NPM1,NT5E,NUP188,OAS2,OAS3,OASL,PARP12,PEA15,PGLS,PLAU,PLIN2,PML,POSTN,PPP3CA,PPP3CB,PRMT1,PSIP1,PSME2,PTPN2,PXN,RAB4B,RABGAP1L,RAD23A,RGS1,RMDN3,RPL13,RPL27A,RSAD2,RUNX1,S100A11,S100A4,S100A8,S100A9,SAMD9,SAR1A,SCPEP1,SEC61B,SERPINF1,SFPQ,SHBG,SLC9A3R1,SOD1,SPRY2,SRFBP1,SRSF1,STAT1,STAT2,TALDO1,TANK,TAP1,TAP2,TAPBP,TDO2,TGM2,THBS1,TK1,TMSB10/TMSB4X,TPI1,TPM1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM,WTAP,ZFP91",177 (31),30,24hr_PROT_causal_unique,True,
41,PTPRZ1, ,phosphatase,"Ap1,AR,CDH1,CEBPA,CREB1,CTNNB1,DUSP1,EIF2A,ERBB3,ERK,ERK1/2,estrogen receptor,LIN28A,MAP2K1/2,Mapk,MAPK1,MAPK14,MAPK3,MAPK9,MED1,MET,MMP2,MTOR,NCOA3,NFkB (complex),Notch,PARP1,PGK1,PRKAA,PTEN,PTK2,PTPRZ1,RAPGEF1,RARA,RB1,RELA,RHOC,RUNX3,SP1,SRC,STAT5a/b,YAP/TAZ,YAP1",3,Activated,3.448,4.8e-16,0.0129,"A2M,ABCB1,ACSL1,ACTB,ALB,ANO10,APOA4,APOBEC3G,APOC3,ARF4,ARHGDIB,ARPC5L,ARRB1,AURKA,B2M,BAX,BUB1B,C3,CAPG,CASP1,CAST,CBS/CBSL,CCL4,CD44,CD47,CDK1,CDK6,CEBPA,CEBPB,CHI3L1,CLEC11A,CLGN,CLTC,COL6A1,COL9A2,CP,CTSS,DAB2,DDX58,DEGS1,DHCR7,DNAJC21,DOCK8,DR1,EDF1,EFEMP1,EHD1,EIF2AK2,EIF4E,ENY2,ERAP1,ERMP1,ERP29,EZR,FABP5,FOSL1,GLUL,GOT1,H1-10,H2AX,HERC5,HINT1,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HMGN2,HMOX1,HNRNPD,HSPB1,HYOU1,IDI1,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGLL1/IGLL5,IL1RN,INIP,IRF2BP2,IRF8,ISG15,ITGB5,JUN,JUND,KRT10,KYNU,LAP3,LGALS1,LMAN1,LMNA,LPL,LSM3,LTF,LUM,MAD1L1,MAP4K4,METAP2,MKI67,MMP2,MMP9,MSMO1,MTA1,MVP,MX2,MYOF,NAP1L1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PARP14,PCK2,PDIA3,PFDN1,PGLS,PHGDH,PLAU,PML,PPP3CA,PPP3CB,PREX1,PSAT1,PSEN1,PSME2,PTPN1,PXN,RAB4B,RABGAP1L,RAD23A,RBL2,RFTN1,RGS1,RSAD2,RUNX1,S100A11,S100A4,S100A9,SAMD9,SAR1A,SCPEP1,SEC61B,SERPINF1,SFPQ,SLC2A1,SLC9A3R1,SPRY2,SRC,SRFBP1,SRSF2,STAT1,STAT2,STIP1,TANK,TAP1,TAP2,TAPBP,TARDBP,TDO2,TKT,TMOD3,TMSB10/TMSB4X,TPX2,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM,ZFP91",178 (43),40,24hr_PROT_causal_unique,True,
42,S1PR1, ,G-protein coupled receptor,"Akt,AKT1,ATF2,CEBPA,CHEK1,CTNNB1,DYRK1B,ELK1,ERK1/2,FOSL1,JAK1,Jnk,Mapk,MAPK1,MED1,MMP2,MTOR,NFAT5,NFkB (complex),RAC1,RELA,RHOA,ROCK,RPS6KB1,S1PR1,SP1,SRC (family),STAT1,STAT3,STAT5a/b,TP63",3,Activated,2.8280000000000003,6.17e-16,0.0179,"A2M,ABCB1,ACSL1,ALB,APOBEC3G,APOC3,ARHGDIB,ARRB1,ASNS,ATG9A,ATP2A2,ATP6AP2,B2M,C3,C4A/C4B,CASP1,CAST,CBS/CBSL,CCL4,CD14,CD36,CD44,CD47,CDK6,CDKN2C,CEBPA,CEBPB,CHI3L1,CLEC11A,CLTC,COL1A1,CP,CPT2,CSTA,CTSS,DDX58,DDX60,DHCR24,DNMT1,DOCK8,EDF1,EHD1,EIF2AK2,ENG,ERAP1,ERMP1,ERP29,EZR,FABP5,FN1,FOSL1,FUBP1,GBP1,GBP2,GBP4,GPNMB,H1-10,H2AX,HERC5,HINT1,HK2,HLA-C,HLA-E,HLA-F,HMOX1,IDI1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP2,IGFBP7,IGLL1/IGLL5,IL1RN,IRF2BP2,IRF8,ITGB5,JUN,JUND,KAT2B,KHSRP,KRT10,KYNU,LAP3,LTF,MAD1L1,MKI67,MMP2,MMP9,MTA1,MVP,MX1,MX2,NAMPT,NDRG1,NDUFB8,NFATC2,NFKB1,NFKB2,NOP16,NPM1,NRP1,NT5E,NUDT1,NUP188,OAS3,OASL,PARP12,PEA15,PFKP,PLAU,PLG,PML,PNPT1,POSTN,PPP3CA,PPP3CB,PRPF4,PSIP1,PSME2,PTPN2,PXN,RAB4B,RABGAP1L,RAD23A,RCC1,RFTN1,RGS1,RHOC,RPS7,S100A8,S100A9,SAR1A,SCPEP1,SERPINF1,SLC2A1,SLC7A11,SLC9A3R1,SOD1,SPRY2,SRSF1,STAT2,STIP1,TANK,TAP1,TAP2,TAPBP,TDO2,TGFB1,TGM2,THBD,TMSB10/TMSB4X,TPM1,TRIM21,TRIM25,UBE2L6,UTP18,VIM,WTAP,ZFP91",162 (31),30,24hr_PROT_causal_unique,True,
44,LIFR, ,transmembrane receptor,"Akt,AKT1,ERK1/2,JAK1,LIFR,Mapk,MAPK1,RHOA,STAT1,STAT3,STAT5a/b,TP63",3,Activated,4.383,8.33e-16,0.0021,"APOBEC3G,APOC3,ARRB1,ATG9A,ATP6AP2,AURKA,B2M,C3,C4A/C4B,CAST,CCL4,CD14,CD44,CDK6,CDKN2C,CEBPA,CHI3L1,CLEC11A,COL1A1,CPT2,CSTA,CTSS,DDX58,DDX60,DNMT1,EHD1,EIF2AK2,ENG,ERAP1,ERP29,EZR,FOSL1,FUBP1,GBP1,GBP2,GBP4,GDF15,GPNMB,HERC5,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HMOX1,IDI1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP2,IGFBP3,IGFBP7,ISG15,JUN,JUND,KAT2B,KHSRP,KRT10,LAP3,MKI67,MMP2,MVP,MX1,MX2,NAMPT,NDRG1,NDUFB8,NFATC2,NFKB2,NPM1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PEA15,PLAU,PLG,PML,PNPT1,POSTN,PRPF4,PSIP1,PSME2,PTPN2,RAB4B,RCC1,RFTN1,RHOC,S100A4,S100A8,SLC2A1,SOD1,SPRY2,STAT2,STIP1,TAP1,TAP2,TAPBP,TGFB1,THBS1,TPM1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM,WTAP",115 (12),11,24hr_PROT_causal_unique,True,
45,PTK2B,-0.218,kinase,"Akt,ATF2,CDH1,CEBPA,CHEK1,CHUK,CTNNB1,DUSP1,EIF2A,EP300,ERK,ERK1/2,EZH2,FOSL1,FOXO1,IRF3,JUN,LIN28A,Mapk,MAPK1,MAPK14,MAPK9,MED1,MMP12,MMP2,MTOR,NFAT5,NR4A1,NRF1,P38 MAPK,PDGFRA,PHB2,PTK2B,RAC1,RAPGEF1,RARA,RB1,RHOA,RHOC,ROCK,RPS6KB1,SP1,SRC,SREBF2,STAT1,STAT3,STAT5a/b,TP63,YAP/TAZ,YAP1",3,Activated,3.014,8.439999999999999e-16,0.0341,"A2M,ACSL1,ACTB,ALB,ANO10,APOA4,APOBEC3G,APOC3,ARPC5L,ARRB1,ASNS,ATG9A,ATP2A2,ATP6AP2,AURKA,B2M,BABAM2,C3,C4A/C4B,CASP1,CAST,CBS/CBSL,CCL4,CD14,CD36,CD44,CD47,CD55,CDK1,CDKN2C,CEBPA,CHI3L1,CLEC11A,CLTC,COL1A1,CPT2,CSTA,CTSS,DAB2,DDX58,DDX60,DHCR24,DNAJC21,DNMT1,EDF1,EHD1,EIF2AK2,EIF4E,ENG,ENY2,ERAP1,ERMP1,ERP29,EZR,FDPS,FUBP1,GBP1,GBP2,GBP4,GLUL,GOLGA2,GOT1,GPNMB,H1-10,H2AX,HERC5,HINT1,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HMGN2,HMOX1,HNRNPD,IDI1,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP2,IGFBP7,IGLL1/IGLL5,IL1RN,INIP,IRF5,IRF8,ISG15,ITGB5,JUND,KAT2B,KHSRP,LAP3,LGALS1,LMNA,LPL,LSM3,LTF,LUM,MAD1L1,MAP4K4,METAP2,MIF,MKI67,MMP2,MMP9,MVP,MX2,NAMPT,NCOA7,NDRG1,NDUFB8,NFATC2,NFKB2,NOP16,NPM1,NRP1,NT5E,NUDT1,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PARP14,PCK2,PDIA3,PEA15,PFKP,PGLS,PLAU,PLG,PLIN2,PML,PNPT1,PPP3CA,PPP3CB,PRPF4,PSAT1,PSIP1,PSMD3,PSME2,PSME3,PTPN2,RAB4B,RABGAP1L,RAD23A,RBL2,RCC1,RFTN1,RHOC,RPS7,RSAD2,S100A8,S100A9,SAMD9,SCPEP1,SERPINF1,SFPQ,SLC2A1,SLC9A3R1,SPRY2,SRSF2,STAT2,STIP1,TANK,TAP2,TAPBP,TARDBP,TGFB1,THBD,TK1,TPM1,TRADD,TRIM21,TRIM25,TXN,UBE2I,UBE2L6,UTP18,WTAP",185 (50),49,24hr_PROT_causal_unique,True,
48,FLOT1,0.032,other,"CDKN1A,CEBPA,CHEK1,CTNNB1,ELK1,ERK1/2,ESR1,FLOT1,FOSL1,FOXO3,GSK3B,HIF1A,Mapk,MED1,MMP2,MTOR,MYC,NFkB (complex),Rac,RELA,RHOA,RPS6KB1,SP1,STAT3,TP63",3,Inhibited,-2.524,1.03e-15,0.0373,"A2M,ABCC1,ACSL1,AHNAK,ALB,ALCAM,ANO10,APOC3,APOE,ARHGDIB,ARPC5L,ARRB1,ASS1,ATG9A,ATP6AP2,B2M,BAG1,BCAS3,BCOR,BZW2,C3,CARS1,CASP1,CAST,CBS/CBSL,CCL4,CD36,CD44,CD47,CD82,CDK1,CDK6,CEBPA,CEBPB,CHI3L1,CLEC11A,CLTC,COL1A1,COX5A,CP,CPT2,CSTA,CTSD,CTSS,DHCR24,DNAJC21,DNMT1,DOCK8,DR1,EDF1,EHD1,EIF4E,ENG,ENY2,ERAP1,ERMP1,EZR,FABP5,FHL1,FN1,FUBP1,GBP1,GLB1,GPNMB,GTF2B,H1-10,H2AX,HERC5,HINT1,HK2,HLA-A,HLA-C,HLA-F,HMOX1,HNRNPD,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP2,IGFBP7,IGLL1/IGLL5,IL1RN,INIP,IPO7,IRF2BP2,IRF5,IRF8,ISG15,ITGB5,JUN,JUND,KAT2B,KHSRP,KRT10,KYNU,LGALS1,LTF,MAD1L1,MBD2,MIF,MMP2,MMP9,MTA1,MX1,MX2,NAMPT,NDRG1,NFATC2,NFKB1,NFKB2,NPM1,NRP1,NUCKS1,NUDCD2,OAS1,OAS2,OASL,PGLS,PLAU,PNPT1,POLDIP3,POLR2D,POSTN,PPP3CA,PPP3CB,PRPF4,PSIP1,PTPN2,PXN,RAB4B,RABGAP1L,RAD23A,RBL2,RGS1,RHOC,RPL11,RSAD2,S100A8,S100A9,SAMD9,SAR1A,SCPEP1,SERPINE2,SERPINF1,SFPQ,SLC2A1,SLC7A11,SLC9A3R1,SOD1,SRSF2,STAT1,STMN1,SUMO1,SUMO2,SUMO3,TACC1,TANK,TAP1,TAP2,TAPBP,TDO2,TFRC,TGM2,THBD,TMSB10/TMSB4X,TPM1,ZFP91",171 (25),23,24hr_PROT_causal_unique,True,
49,INTS3,-0.272,other,"ATM,CHEK1,CHEK2,CREB1,E2f,E2F3,ELF4,ERK1/2,FANCD2,IKBKB,IKBKG,ING1,INTS3,LAMTOR5,MAPK1,MAPK12,MDM4,NBN,NFkB (complex),PLK1,RB1,RELA,SIAH2,SMC3,SRC,TP53,VCP,ZEB1",3,Activated,2.92,1.36e-15,0.0083,"ABCC1,AK1,ARHGDIB,ARRB1,ATP6AP2,B2M,BAX,BID,BUB1B,C3,CASP1,CBX1,CCL4,CD44,CDK1,CEBPA,CES2,CLEC11A,COL1A1,COL1A2,CTSD,DDX58,DOCK8,DUT,ECM1,EHD1,EIF2AK2,EIF4E,ENG,EPS15,ERAP1,ERP29,EZR,FABP5,FAM3C,FKBP3,FN1,FOSL1,FUBP1,GBP1,GDF15,GLB1,H2AX,HERC5,HLA-A,HLA-B,HLA-C,HLA-DRA,HLA-E,HLA-F,HMGB1,HMGB2,HMGN2,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGF2,IGFBP3,IGFBP7,IL1RN,IPO7,IRF2BP2,ISCU,ISG15,JUN,JUND,KRT10,KYNU,LAP3,LPL,MAD1L1,MANF,MGST2,MT1G,MVP,MX2,NAMPT,NCOR1,NDRG1,NDUFS8,NFATC2,NFKB1,NFKB2,NRP1,NT5E,NUCKS1,NUP188,OAS1,OAS2,OAS3,OASL,P4HB,PARP12,PFKP,PHGDH,PIN1,PLAU,PML,PPM1A,PPP3CA,PPP4R2,PRAG1,PSEN1,PSME2,PTPN6,PXN,RAB4B,RAD23A,RALY,RBL2,RGS1,RPS27L,RRAD,S100A4,S100A8,SAR1A,SERPINH1,SOD1,SPRY2,SRC,SSBP1,ST14,STAT1,STAT2,STMN1,TAF7,TAGLN2,TANK,TAP2,TAPBP,TDO2,TFRC,TGFBI,TGM2,THBD,TM9SF2,TMPO,TMSB10/TMSB4X,TPX2,TRAF1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,XPO4,YWHAH,ZFP91",152 (28),25,24hr_PROT_causal_unique,True,
50,MMS22L, ,other,"ATM,CHEK1,CHEK2,CREB1,E2f,E2F3,ELF4,ERK1/2,FANCD2,IKBKB,IKBKG,ING1,LAMTOR5,MAPK1,MAPK12,MDM4,MMS22L,NFkB (complex),PLK1,RB1,RELA,SIAH2,SMC3,SRC,TP53,VCP,ZEB1",3,Inhibited,-2.92,1.36e-15,0.0083,"ABCC1,AK1,ARHGDIB,ARRB1,ATP6AP2,B2M,BAX,BID,BUB1B,C3,CASP1,CBX1,CCL4,CD44,CDK1,CEBPA,CES2,CLEC11A,COL1A1,COL1A2,CTSD,DDX58,DOCK8,DUT,ECM1,EHD1,EIF2AK2,EIF4E,ENG,EPS15,ERAP1,ERP29,EZR,FABP5,FAM3C,FKBP3,FN1,FOSL1,FUBP1,GBP1,GDF15,GLB1,H2AX,HERC5,HLA-A,HLA-B,HLA-C,HLA-DRA,HLA-E,HLA-F,HMGB1,HMGB2,HMGN2,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGF2,IGFBP3,IGFBP7,IL1RN,IPO7,IRF2BP2,ISCU,ISG15,JUN,JUND,KRT10,KYNU,LAP3,LPL,MAD1L1,MANF,MGST2,MT1G,MVP,MX2,NAMPT,NCOR1,NDRG1,NDUFS8,NFATC2,NFKB1,NFKB2,NRP1,NT5E,NUCKS1,NUP188,OAS1,OAS2,OAS3,OASL,P4HB,PARP12,PFKP,PHGDH,PIN1,PLAU,PML,PPM1A,PPP3CA,PPP4R2,PRAG1,PSEN1,PSME2,PTPN6,PXN,RAB4B,RAD23A,RALY,RBL2,RGS1,RPS27L,RRAD,S100A4,S100A8,SAR1A,SERPINH1,SOD1,SPRY2,SRC,SSBP1,ST14,STAT1,STAT2,STMN1,TAF7,TAGLN2,TANK,TAP2,TAPBP,TDO2,TFRC,TGFBI,TGM2,THBD,TM9SF2,TMPO,TMSB10/TMSB4X,TPX2,TRAF1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,XPO4,YWHAH,ZFP91",152 (27),25,24hr_PROT_causal_unique,True,
