,Master Regulator,Expr Log Ratio,Molecule Type,Participating regulators,Depth,Predicted Activation,Notes,Activation z-score,p-value of overlap,Network bias-corrected p-value,Target Molecules in Dataset,Causal network,Target-connected regulators,sample,sig,overlap_upstreamreg
0,EGFR, ,kinase,"Akt,AKT1,AR,ATF6,ATM,CCND1,CEBPA,CEBPB,CTNNB1,DNA-methyltransferase,EGFR,ERBB3,ERK,ERK1/2,GSK3B,HDAC6,HIF1A,Hsp27,ITGB4,Jnk,JUN,KDM1A,KDM5B,LIN28A,MAP2K1/2,Mapk,MAPK1,MAPK3,MAPK9,MED1,MMP9,MYC,NFkB (complex),NR3C1,ODC1,P38 MAPK,PARP1,PDCD4,PGR,Rac,RALA,RARA,RXRA,SHC1,SP1,SRC,STAT3,TP63,YAP/TAZ",3,Inhibited,biased,-3.6689999999999996,2.76e-10,0.0018,"ACO1,ADH5,AKR1B1,AKT1,ANO10,ARF4,ARPC5L,ATAD2,ATG9A,BAG1,CBR1,CDKN2C,CLGN,CSTA,DHCR7,DR1,EHD1,EIF4E,ENO1,ERBIN,FABP4,FABP5,FHL1,FKBP4,FLI1,FSCN1,GBA,GCLM,GDI1,GPNMB,GPX4,GSTM3,GSTP1,HINT1,HNRNPF,ICAM1,IFIT2,IRF8,JAK1,JUN,KYNU,LCP1,MAPK7,MARCKS,MYD88,NAMPT,NAT1,NFKB1,NIBAN2,NMI,NUDCD2,PARP12,PDLIM1,PDLIM2,PEA15,PLAU,PPIA,PPP3CB,PREP,PRKAR1A,PRMT1,PSAT1,PSMB3,PSMB7,PTPN2,PTPRE,RAN,RSAD2,S100A8,S100A9,SAE1,SAMD9,SAR1A,SCD,SERPINB1,SERPINB8,SERPINB9,SERPINE2,SF3B4,SOD1,SUMO2,SUMO3,SWAP70,TGM2,TNFAIP3,TRADD,TRAF1,TRIP13,TXN,UBE2L6,VIM",91 (49),40,1hr_PROT_causal,True,
1,mir-122, ,microRNA,mir-122,1,Activated,biased,3.873,4.06e-10,0.0001,"CACYBP,GNPDA1,MAPRE1,NPEPPS,NUTF2,PLIN3,SERPINB6,SF3B4,SH3BGRL3,SH3GL1,TGM2,TPD52L2,VAV3,VIM,YARS1",15 (1),1,1hr_PROT_causal,True,True
3,AREG, ,growth factor,"Akt,AKT1,Ap1,AREG,CEBPA,Creb,EGFR,ERBB3,ERK1/2,HDAC6,HIF1A,ITGB4,JUN,LIN28A,Mapk,MAPK1,MAPK14,MAPK3,MED1,MMP9,MTOR,NFkB (complex),P38 MAPK,PARP1,PGR,RARA,RELA,RPS6KB1,SHC1,SP1,STAT3",3,Inhibited,biased,-3.395,4.79e-09,0.0033,"ACO1,AKR1B1,AKT1,ANO10,ARPC5L,CDKN2C,CP,DAB2,EHD1,EIF4E,FABP4,FABP5,FHL1,FLI1,FN1,FSCN1,GCLM,GPX4,GSTM3,GSTP1,HINT1,HNRNPF,ICAM1,IFIT2,IL1B,IRF8,JAK1,JUN,KIF20A,KYNU,MYD88,NAMPT,NAT1,NFKB1,NMI,NUDCD2,PARP12,PDLIM1,PEA15,PLAU,PPIA,PPP3CB,PRKAR1A,PSMB3,PSMB7,PSMB9,PTPN2,PTPRE,RSAD2,S100A4,S100A8,S100A9,SAE1,SAMD9,SAR1A,SERPINB1,SERPINB8,SERPINE2,SOD1,SREBF2,TANK,TGM2,TMSB10/TMSB4X,TNFAIP3,TRADD,TXN,UBE2L6,VIM",68 (31),30,1hr_PROT_causal,True,
4,FPR1, ,G-protein coupled receptor,"AKT1,Ap1,AR,EGFR,ERBB3,FOXO1,FPR1,HDAC6,HIF1A,ITGB4,Jnk,JUN,MAP2K1/2,Mapk,MAPK1,MMP9,NFkB (complex),P38 MAPK,PARP1,PGR,RPS6KB1,SHC1,SP1,STAT3,STAT6,TP53,YAP1",3,Inhibited,biased,-4.303,6.4e-09,0.0042,"ACO1,AK1,AKT1,BID,CAST,CDK6,CDKN2C,CLGN,DHCR7,DR1,EIF4E,FABP4,FABP5,FBXO22,FHL1,FKBP4,FLI1,FSCN1,GCLM,GDI1,GPX4,GSTM3,GSTP1,HINT1,ICAM1,IFIT2,IL1B,IREB2,JAK1,JUN,KYNU,MYD88,NAMPT,NAT1,NFKB1,NME1,NMI,NUDCD2,PARP12,PDLIM1,PLAU,PPIA,PPP4C,PRKAR1A,PSMB3,PSMB7,PTPN11,PTPN2,PTPN6,PTPRE,PYCARD,RSAD2,S100A4,S100A8,SAR1A,SERPINB8,SERPINE2,SOD1,SPC25,SREBF2,TAGLN2,TANK,TGM2,TMSB10/TMSB4X,TNFAIP3,TRADD,TXN,UBE2L6,VIM,XPO1",70 (27),26,1hr_PROT_causal,True,
6,PRL, ,cytokine,"AKT1,Ap1,CCND1,CD247,CD3E,CEBPA,CEBPB,Creb,EGFR,ERBB2,ERK,ERK1/2,ESR1,GLI1,HIF1A,HSF1,IGF1R,ITGB4,JAK2,LIN28A,MAP2K1,MAP2K1/2,MAPK1,MAPK3,MAPK9,MED1,MMP9,MTOR,MYC,NFAT (complex),NFkB (complex),P38 MAPK,PARP1,PGR,PI3K (family),PRKCD,PRL,PTPN6,RARA,RB1,RELA,RPS6KB1,RXRA,SHC1,SP1,STAT1,STAT3,STAT5a/b,TP53,TP63,TP73,ZAP70",3,Inhibited,biased,-4.782,7.170000000000001e-09,0.0283,"ACO1,ADK,AIF1,AK1,AKR1B1,AKT1,ANO10,ARPC5L,ATG9A,BAG1,BID,CAST,CDK6,CDKN2C,CNTRL,COL6A3,CP,CSTA,DR1,EFHD2,EHD1,EIF4E,ELOB,ERBIN,FABP5,FBLN1,FBXO22,FCER1G,FHL1,FKBP4,FLI1,FSCN1,GCLM,GLO1,GPNMB,GPX4,GSTM3,GSTP1,HINT1,HNRNPF,ICAM1,IREB2,IRF8,JAK1,JUN,KYNU,LSM2,MARCKS,MSI2,NAMPT,NAT1,NFKB1,NIBAN2,NME1,NMI,NPEPL1,NRGN,NUDCD2,OGFRL1,PARP12,PDLIM1,PDLIM7,PLAU,PPIA,PPP3CB,PPP4C,PREP,PRKAR1A,PRMT1,PSMB3,PSMB7,PTPN11,PTPN2,PTPN6,PTPRE,PYCARD,RBM8A,RSAD2,S100A4,S100A9,SAE1,SAMD9,SAR1A,SCD,SERPINB1,SERPINB8,SERPINE2,SF3B4,SHMT1,SREBF2,SUMO2,SUMO3,TAGLN2,TANK,TGM2,TMSB10/TMSB4X,TNFAIP3,TPM1,TRADD,TRAF1,TREM2,TXN,UBE2L6,VIM,XPO1",105 (52),48,1hr_PROT_causal,True,
7,ATM,0.160,kinase,"AKT1,AR,ATM,CD247,CEBPA,CHEK1,Creb,E2F3,EGFR,ERK1/2,estrogen receptor,FANCD2,GLI1,HIF1A,IKBKB,IKBKG,ING1,LAMTOR5,LIN28A,MAP2K1,MAPK1,MAPK12,MAPK14,MAPK3,MAPK9,MED1,Mek,MMP9,MTOR,MYC,NFkB (complex),PPARG,PRKDC,RARA,RB1,RPS6KB1,SNAI1,SP1,TP53,VCP,ZEB1",3,Inhibited, ,-3.286,7.18e-09,0.0087,"ADH5,ADK,AK1,AKR1B1,AKT1,AKT2,ANO10,ARPC5L,ATAD2,BAG1,BID,CAST,CDK6,CLGN,CNTRL,CP,DAB2,DHCR7,DR1,EFHD2,EHD1,EIF4E,EPS15,FABP4,FABP5,FBXO22,FCER1G,FHL1,FKBP4,FN1,FSCN1,GCLM,GDI1,HINT1,HNRNPF,ICAM1,IFIT2,IREB2,IRF8,JUN,KYNU,MSI2,MYD88,NAMPT,NFKB1,NME1,NMI,NPEPL1,NUDCD2,OGFRL1,PARP12,PEBP1,PLAU,PPIA,PPP3CB,PPP4C,PREP,PRKAR1A,PSMB3,PSMB7,PTPN11,PTPN6,PTPRE,PYCARD,RBM8A,S100A4,S100A8,S100A9,SAE1,SAMD9,SAR1A,SCD,SERPINB1,SERPINE2,SF3B4,SOD1,SREBF2,SUMO2,SUMO3,TAGLN2,TANK,TGM2,TMSB10/TMSB4X,TNFAIP3,TRAF1,TREM2,UBE2L6,XPO1,XPO4",89 (41),36,1hr_PROT_causal,True,
8,RAF1,-0.024,kinase,"AKT1,BRAF,CCND1,CCNE1,CDK2,CEBPA,CEBPB,CHUK,EGFR,ERK,ERK1/2,FOXO1,GLI1,IKBKB,Jnk,LIN28A,MAP2K1/2,Mapk,MAPK1,MAPK14,MAPK3,MAPK9,MED1,Mek,MTOR,NFkB (complex),NOS2,P38 MAPK,RAF1,RARA,RB1,RELA,RPS6KB1,RUNX2,SHC1,SP1,SRC,STAT3,STAT5a/b,TP53,TP73,YAP/TAZ,YAP1",3,Inhibited, ,-2.895,7.46e-09,0.0172,"ACO1,ADK,AK1,AKR1B1,AKT2,ANO10,ARPC5L,ATAD2,BID,CDK6,CDKN2C,CNTRL,CP,DAB2,EFHD2,EHD1,EIF4E,ELOB,ENO1,ERBIN,FABP5,FBXO22,FHL1,FLI1,FN1,FSCN1,GCLM,GSTP1,HINT1,HNRNPF,ICAM1,IFIT2,IL1B,IQGAP2,IREB2,IRF8,JAK1,KYNU,MARCKS,MSI2,NAMPT,NFKB1,NIBAN2,NME1,NMI,NPEPL1,NRGN,OGFRL1,PARP12,PLAU,PPIA,PPP3CB,PPP4C,PRKAR1A,PRMT1,PSAT1,PSMB3,PSMB7,PSMB9,PTPN11,PTPN2,PTPN6,PTPRE,PYCARD,RBM8A,RSAD2,S100A8,S100A9,SAMD9,SAR1A,SERPINB1,SF3B4,SOD1,SPC25,SREBF2,TAGLN2,TGM2,TMSB10/TMSB4X,TNFAIP3,TPM1,TRADD,TRAF1,TREM2,TXN,UBE2L6,VIM,XPO1",87 (43),41,1hr_PROT_causal,True,
9,Gpcr, ,group,"Akt,AKT1,Ap1,AR,CEBPA,Creb,EGFR,ERBB3,ERK1/2,Gpcr,HDAC6,HIF1A,ITGB4,JUN,MAP2K1/2,Mapk,MAPK1,MED1,MMP9,MTOR,NFkB (complex),P38 MAPK,PARP1,PGR,PRKD1,RELA,RPS6KB1,SHC1,SP1,STAT3",3,Inhibited,biased,-4.341,7.95e-09,0.0027,"ACO1,AKR1B1,AKT1,CAST,CDKN2C,CLGN,DHCR7,DR1,EIF4E,FABP4,FABP5,FHL1,FKBP4,FLI1,FN1,FSCN1,GCLM,GDI1,GPX4,GSTM3,GSTP1,HINT1,ICAM1,IFIT2,IL1B,IRF8,JAK1,JUN,KYNU,MYD88,NAMPT,NAT1,NFKB1,NMI,NUDCD2,PARP12,PDLIM1,PEA15,PLAU,PPIA,PPP3CB,PRKAR1A,PSMB3,PSMB7,PSMB9,PTPN2,PTPRE,RSAD2,S100A4,S100A8,S100A9,SAR1A,SERPINB1,SERPINB8,SERPINE2,SOD1,SREBF2,TANK,TGM2,TMSB10/TMSB4X,TNFAIP3,TRADD,TXN,UBE2L6,VIM",65 (30),28,1hr_PROT_causal,True,
10,NRG1, ,growth factor,"Akt,AR,ATF6,ATM,CCAR2,CCND1,CCNE1,CEBPA,CEBPB,CHEK2,CTNNB1,EGFR,ERBB2,ERBB3,ERK,ERK1/2,ESR1,HIF1A,HMGA1,Hsp27,ITGB4,Jnk,LIN28A,MAP2K1/2,MAPK1,MAPK3,MAPK9,MED1,Mek,MMP9,MYC,NR3C1,NRG1,P38 MAPK,PAK1,PARP1,PDCD4,PGR,PI3K (complex),Pkc(s),PPARA,PRKCA,PRKCD,PRKCZ,RAF1,RARA,RPS6KB1,RXRA,SHC1,SP1,STAT3,TP63",3,Inhibited,biased,-3.8789999999999996,8.120000000000001e-09,0.0151,"ACO1,ADH5,AKR1B1,AKT1,AKT2,ANO10,APOA1,ARF4,ARPC5L,ATG9A,BAG1,CBR1,CDKN2C,CLGN,CNN3,COL6A3,CP,CSTA,DHCR7,DR1,EHD1,EIF4E,ERBIN,FABP4,FHL1,FKBP4,FLI1,FN1,FSCN1,GBA,GDI1,GLO1,GPNMB,GPX4,GSTM3,GSTP1,HINT1,HNRNPF,ICAM1,IFIT2,IL1B,IQGAP2,IRF8,JAK1,MAPK7,MARCKS,MVD,NAT1,NFKB1,NIBAN2,NMI,NUDCD2,PARP12,PDLIM1,PDLIM7,PEA15,PLAU,PPIA,PPP3CB,PREP,PRKAR1A,PRMT1,PSAT1,PSMB3,PSMB7,PSMB9,PTPN2,PTPRE,RAN,RSAD2,S100A9,SAE1,SAMD9,SCD,SERPINB1,SERPINB8,SERPINB9,SERPINE2,SF3B4,SHMT1,SREBF2,SUMO2,SUMO3,TGM2,TNFAIP3,TPM1,TRADD,TREM2,TXN,UBE2L6,VIM",91 (52),49,1hr_PROT_causal,True,
11,PTPN12,-0.410,phosphatase,"ABL1,Akt,AKT1,CDK5,EGFR,ERBB3,HDAC6,HIF1A,ITGB4,JUN,MAP2K1/2,Mapk,MAPK1,MAPK9,MMP9,NFkB (complex),P38 MAPK,PARP1,PGR,PRKCD,PTPN12,SHC1,SP1,STAT3,TP53,TP63,TP73",3,Activated,biased,3.679,8.54e-09,0.0038,"ACO1,AK1,AKT1,ATG9A,BID,CAST,CDK6,CDKN2C,CSTA,EHD1,EIF4E,ELOB,FABP4,FABP5,FBXO22,FHL1,FLI1,FSCN1,GCLM,GPNMB,GPX4,GSTM3,GSTP1,HINT1,ICAM1,IFIT2,IREB2,JAK1,JUN,KYNU,MYD88,NAMPT,NAT1,NFKB1,NME1,NMI,NRGN,NUDCD2,PARP12,PDLIM1,PDLIM7,PEA15,PLAU,PPIA,PPP4C,PRKAR1A,PSMB3,PSMB7,PTPN11,PTPN2,PTPN6,PTPRE,PYCARD,RSAD2,SAR1A,SCD,SERPINB8,SERPINE2,SF3B4,SOD1,TAGLN2,TANK,TGM2,TMSB10/TMSB4X,TNFAIP3,TPM1,TRADD,TXN,UBE2L6,VIM,XPO1",71 (27),26,1hr_PROT_causal,True,
