,Master Regulator,Expr Log Ratio,Molecule Type,Participating regulators,Depth,Predicted Activation,Notes,Activation z-score,p-value of overlap,Network bias-corrected p-value,Target Molecules in Dataset,Causal network,Target-connected regulators,sample,sig,overlap_upstreamreg
42,WNT4, ,cytokine,"AR,ATF6,CEBPB,Creb,EGFR,ELK1,FOXO1,Hsp27,Jnk,JUN,MET,MMP9,MTOR,NFkB (complex),NR3C1,P38 MAPK,PGR,PPARGC1A,RPS6KB1,SHC1,SP1,TP53,TP63,WNT4",3,Inhibited,biased,-4.0,8.820000000000001e-08,0.0126,"ACO1,AK1,AKT1,ATG9A,BID,CBR1,CLGN,CSTA,DHCR7,DR1,FABP4,FABP5,FBXO22,FKBP4,FLI1,FN1,FSCN1,GBA,GDI1,GPNMB,GSTM3,GSTP1,HINT1,ICAM1,IL1B,IREB2,JUN,KYNU,MAPK7,NAMPT,NFKB1,NME1,PDLIM1,PLAU,PPIA,PPP4C,PRKAR1A,PRMT1,PSMB3,PSMB7,PSMB9,PTPN11,PTPN6,PTPRE,PYCARD,RAN,RSAD2,SAR1A,SERPINB8,SERPINB9,SERPINE2,SOD1,SPC25,SREBF2,TAGLN2,TANK,TGM2,TMSB10/TMSB4X,TNFAIP3,TPM1,TRADD,TRAF1,TXN,XPO1",64 (24),23,1hr_PROT_causal_unique,True,
43,Sod, ,group,"AR,ATF6,CEBPB,Creb,EGFR,ELK1,FOXO1,Hsp27,Jnk,JUN,MET,MMP9,MTOR,NFkB (complex),NR3C1,P38 MAPK,PGR,PPARGC1A,RPS6KB1,SHC1,Sod,SP1,TP53,TP63",3,Activated,biased,4.0,9.039999999999999e-08,0.0126,"ACO1,AK1,AKT1,ATG9A,BID,CBR1,CLGN,CSTA,DHCR7,DR1,FABP4,FABP5,FBXO22,FKBP4,FLI1,FN1,FSCN1,GBA,GDI1,GPNMB,GSTM3,GSTP1,HINT1,ICAM1,IL1B,IREB2,JUN,KYNU,MAPK7,NAMPT,NFKB1,NME1,PDLIM1,PLAU,PPIA,PPP4C,PRKAR1A,PRMT1,PSMB3,PSMB7,PSMB9,PTPN11,PTPN6,PTPRE,PYCARD,RAN,RSAD2,SAR1A,SERPINB8,SERPINB9,SERPINE2,SOD1,SPC25,SREBF2,TAGLN2,TANK,TGM2,TMSB10/TMSB4X,TNFAIP3,TPM1,TRADD,TRAF1,TXN,XPO1",64 (24),24,1hr_PROT_causal_unique,True,
44,TSC22D3, ,transcription regulator,"AR,ATF6,CEBPA,CEBPB,Creb,EGFR,ERK1/2,estrogen receptor,FOXO1,HIF1A,Hsp27,IKBKB,Jnk,LIN28A,MAP2K1/2,MAPK1,MAPK14,MED1,MET,MMP9,MTOR,NFkB (complex),NR3C1,P38 MAPK,PGR,RAF1,RARA,RELA,RPS6KA3,RPS6KB1,SHC1,SP1,STAT3,TP53,TP63,TSC22D3",3,Activated,biased,3.534,9.359999999999999e-08,0.0495,"ACO1,AK1,AKR1B1,AKT1,AKT2,ANO10,ARPC5L,ATG9A,BID,CBR1,CLGN,CP,CSTA,DAB2,DHCR7,DR1,EHD1,EIF4E,FABP4,FABP5,FBXO22,FHL1,FKBP4,FLI1,FSCN1,GBA,GDI1,GPNMB,GSTM3,GSTP1,HINT1,HNRNPF,ICAM1,IFIT2,IL1B,IREB2,IRF8,JAK1,JUN,KYNU,MAPK7,NAMPT,NFKB1,NME1,NMI,NUDCD2,PARP12,PDLIM1,PLAU,PPIA,PPP3CB,PPP4C,PRKAR1A,PRMT1,PSMB3,PSMB7,PTPN11,PTPN2,PTPN6,PTPRE,PYCARD,RAN,RSAD2,S100A9,SAMD9,SAR1A,SERPINB1,SERPINB8,SERPINB9,SERPINE2,SPC25,SREBF2,TAGLN2,TGM2,TMSB10/TMSB4X,TNFAIP3,TPM1,TRADD,TXN,UBE2L6,VIM,XPO1",82 (36),35,1hr_PROT_causal_unique,True,
45,MAP3K10, ,kinase,"AR,ATF6,CEBPB,Creb,EGFR,ELK1,FOXO1,HIF1A,Hsp27,Jnk,JUN,MAP3K10,MET,MMP9,MTOR,NFkB (complex),NR3C1,P38 MAPK,PGR,PPARGC1A,RPS6KB1,SHC1,SP1,TP53,TP63",3,Inhibited,biased,-4.276,9.720000000000001e-08,0.0184,"ACO1,AK1,AKT1,ATG9A,BID,CBR1,CLGN,CSTA,DHCR7,DR1,EIF4E,FABP4,FABP5,FBXO22,FHL1,FKBP4,FLI1,FN1,FSCN1,GBA,GDI1,GPNMB,GSTM3,GSTP1,HINT1,ICAM1,IL1B,IREB2,JUN,KYNU,MAPK7,NAMPT,NFKB1,NME1,NUDCD2,PDLIM1,PLAU,PPIA,PPP4C,PRKAR1A,PRMT1,PSMB3,PSMB7,PSMB9,PTPN11,PTPN6,PTPRE,PYCARD,RAN,RSAD2,SAR1A,SERPINB8,SERPINB9,SERPINE2,SOD1,SPC25,SREBF2,TAGLN2,TANK,TGM2,TMSB10/TMSB4X,TNFAIP3,TPM1,TRADD,TRAF1,TXN,XPO1",67 (25),24,1hr_PROT_causal_unique,True,
58,BMP7, ,growth factor,"Ap1,AR,ATF6,BMP7,CEBPB,Creb,EGFR,ELK1,FOXO1,Hsp27,Jnk,JUN,MET,MMP9,MTOR,NFkB (complex),NR3C1,P38 MAPK,PGR,PPARGC1A,RPS6KB1,SHC1,SP1,TP53,TP63",3,Activated,biased,4.0,1.2699999999999999e-07,0.0146,"ACO1,AK1,AKT1,ATG9A,BID,CBR1,CLGN,CSTA,DHCR7,DR1,FABP4,FABP5,FBXO22,FKBP4,FLI1,FN1,FSCN1,GBA,GDI1,GPNMB,GSTM3,GSTP1,HINT1,IL1B,IREB2,JUN,KYNU,MAPK7,NAMPT,NFKB1,NME1,PDLIM1,PLAU,PPIA,PPP4C,PRKAR1A,PRMT1,PSMB3,PSMB7,PSMB9,PTPN11,PTPN6,PTPRE,PYCARD,RAN,RSAD2,S100A4,SAR1A,SERPINB8,SERPINB9,SERPINE2,SOD1,SPC25,SREBF2,TAGLN2,TANK,TGM2,TMSB10/TMSB4X,TNFAIP3,TPM1,TRADD,TRAF1,TXN,XPO1",64 (25),25,1hr_PROT_causal_unique,True,
63,TRAF7, ,enzyme,"ATF6,CD247,CEBPB,CHUK,EGFR,ERK1/2,estrogen receptor,FOXO1,FOXO3,GLI1,HIF1A,Hsp27,IKBKB,IKBKG,Jnk,MAP2K1/2,MAPK1,MED1,MMP9,NFkB (complex),NR3C1,P38 MAPK,PGR,PPARGC1A,RARA,SHC1,TP53,TP63,TP73,TRAF7",3,Inhibited, ,-3.305,1.49e-07,0.0248,"ADK,AK1,AKT2,ANO10,ARPC5L,ATAD2,ATG9A,BID,CBR1,CNTRL,CP,CSTA,EFHD2,EIF4E,ELOB,FABP4,FABP5,FBXO22,FCER1G,FHL1,FLI1,FN1,FSCN1,GBA,GPNMB,GSTM3,GSTP1,IQGAP2,IREB2,IRF8,JAK1,JUN,KYNU,MAPK7,MSI2,NAMPT,NFKB1,NME1,NMI,NPEPL1,NRGN,NUDCD2,OGFRL1,PARP12,PDLIM1,PLAU,PPIA,PPP3CB,PPP4C,PRKAR1A,PRMT1,PSMB3,PSMB7,PSMB9,PTPN11,PTPN6,PTPRE,PYCARD,RAN,RBM8A,SAMD9,SAR1A,SCD,SERPINB8,SERPINB9,SERPINE2,SOD1,SPC25,TAGLN2,TGM2,TNFAIP3,TPM1,TRADD,TXN,UBE2L6,VIM,XPO1",77 (30),29,1hr_PROT_causal_unique,True,
65,TMSB4, ,group,"AR,ATF6,CCND1,CCNE1,CDK2,CEBPB,Creb,EGFR,ERK,ERK1/2,FOXO1,Hsp27,Jnk,JUN,MMP9,MTOR,NFkB (complex),NR3C1,P38 MAPK,PGR,PPARGC1A,PTEN,PTK2,PXN,RELA,RPS6KB1,RUNX2,RXRA,SHC1,Smad2/3,SP1,STAT3,TMSB4,TP53,TP63",3,Inhibited,biased,-3.7319999999999998,1.74e-07,0.0391,"ACO1,AK1,AKT2,ARF4,ATG9A,BID,CBR1,CLGN,CSTA,DHCR7,DR1,ENO1,ERBIN,FABP4,FABP5,FBXO22,FKBP4,FLI1,FN1,FSCN1,GBA,GDI1,GPNMB,GSTM3,GSTP1,HINT1,ICAM1,IL1B,IREB2,JUN,KYNU,MAPK7,MARCKS,NAMPT,NFKB1,NIBAN2,NME1,PDLIM1,PLAU,PPIA,PPP4C,PRKAR1A,PRMT1,PSMB3,PSMB7,PTPN11,PTPN2,PTPN6,PTPRE,PYCARD,RAN,RSAD2,SAR1A,SERPINB8,SERPINB9,SERPINE2,SOD1,SPC25,SREBF2,TAGLN2,TANK,TGM2,TMSB10/TMSB4X,TNFAIP3,TPM1,TRADD,TRAF1,TXN,XPO1",69 (35),32,1hr_PROT_causal_unique,True,
66,IL25, ,cytokine,"AR,ATF6,CEBPA,CEBPB,Creb,EGFR,estrogen receptor,FOXO1,HIF1A,Hsp27,IKBKB,IL25,Jnk,MET,MMP9,MTOR,NFkB (complex),NR3C1,P38 MAPK,PGR,PPARGC1A,RELA,RPS6KB1,SHC1,SP1,TP53,TP63",3,Inhibited,biased,-3.825,2.03e-07,0.0349,"ACO1,AK1,AKR1B1,AKT1,AKT2,ATG9A,BID,CBR1,CLGN,CSTA,DHCR7,DR1,EIF4E,FABP4,FABP5,FBXO22,FHL1,FKBP4,FLI1,FN1,FSCN1,GBA,GDI1,GPNMB,GSTM3,GSTP1,HINT1,ICAM1,IL1B,IREB2,JUN,KYNU,MAPK7,NAMPT,NFKB1,NME1,NUDCD2,PDLIM1,PLAU,PPIA,PPP4C,PRKAR1A,PRMT1,PSMB3,PSMB7,PSMB9,PTPN11,PTPN6,PTPRE,PYCARD,RAN,RSAD2,S100A9,SAR1A,SERPINB1,SERPINB8,SERPINB9,SERPINE2,SOD1,SPC25,SREBF2,TAGLN2,TGM2,TMSB10/TMSB4X,TNFAIP3,TPM1,TRADD,TRAF1,TXN,XPO1",70 (27),27,1hr_PROT_causal_unique,True,
68,TNFRSF1A, ,transmembrane receptor,"AR,ATF6,CASP8,CEBPA,CEBPB,EGFR,ERK1/2,estrogen receptor,FOXO1,HIF1A,Hsp27,Jnk,MET,MMP9,MTOR,NFkB (complex),NFKB1,NFKB2,NR3C1,P38 MAPK,PGR,PPARGC1A,RELA,RPS6KB1,SHC1,SP1,TNFRSF1A,TP53,TP63",3,Inhibited,biased,-4.154,2.25e-07,0.0391,"ACO1,AK1,AKR1B1,AKT1,AKT2,ATG9A,BID,CBR1,CLGN,CSTA,DHCR7,DR1,EIF4E,FABP4,FABP5,FBXO22,FHL1,FKBP4,FLI1,FN1,FSCN1,GBA,GCLM,GDI1,GPNMB,GSTM3,GSTP1,HINT1,ICAM1,IL1B,IREB2,JUN,KYNU,MAPK7,NAMPT,NFKB1,NME1,NUDCD2,PDLIM1,PLAU,PPIA,PPP4C,PRKAR1A,PRMT1,PSMB3,PSMB7,PSMB9,PTPN11,PTPN6,PTPRE,PYCARD,RAN,RSAD2,S100A9,SAR1A,SERPINB1,SERPINB8,SERPINB9,SERPINE2,SOD1,SPC25,SREBF2,TAGLN2,TGM2,TMSB10/TMSB4X,TNFAIP3,TPM1,TRADD,TRAF1,TXN,XPO1",71 (29),27,1hr_PROT_causal_unique,True,
71,BMX, ,kinase,"AR,ATF6,BMX,CEBPA,CEBPB,Creb,EGFR,estrogen receptor,FOXO1,HIF1A,Hsp27,IKBKB,Jnk,MET,MMP9,MTOR,NFkB (complex),NR3C1,P38 MAPK,PGR,PPARGC1A,RELA,RPS6KB1,SHC1,SP1,TP53,TP63",3,Inhibited,biased,-4.064,2.47e-07,0.0378,"ACO1,AK1,AKR1B1,AKT1,AKT2,ATG9A,BID,CBR1,CLGN,CSTA,DHCR7,DR1,EIF4E,FABP4,FABP5,FBXO22,FHL1,FKBP4,FLI1,FN1,FSCN1,GBA,GDI1,GPNMB,GSTM3,GSTP1,HINT1,ICAM1,IL1B,IREB2,JUN,KYNU,MAPK7,NAMPT,NFKB1,NME1,NUDCD2,PDLIM1,PLAU,PPIA,PPP4C,PRKAR1A,PRMT1,PSMB3,PSMB7,PSMB9,PTPN11,PTPN6,PTPRE,PYCARD,RAN,RSAD2,S100A9,SAR1A,SERPINB1,SERPINB8,SERPINB9,SERPINE2,SOD1,SPC25,SREBF2,TAGLN2,TGM2,TMSB10/TMSB4X,TNFAIP3,TPM1,TRADD,TRAF1,TXN,XPO1",70 (27),26,1hr_PROT_causal_unique,True,
