,Master Regulator,Expr Log Ratio,Molecule Type,Participating regulators,Depth,Predicted Activation,Notes,Activation z-score,p-value of overlap,Network bias-corrected p-value,Target Molecules in Dataset,Causal network,Target-connected regulators,sample,sig,overlap_upstreamreg
72,Fcer1, ,complex,"AR,ATF6,CCAR2,CEBPA,CEBPB,EGFR,ERBB2,ERK1/2,ESR1,estrogen receptor,Fcer1,HIF1A,HMGA1,Hsp27,Jnk,LAT,Mapk,MAPK1,MED1,MMP9,MYC,NFkB (complex),NR3C1,P38 MAPK,PDGFRA,PGR,PI3K (family),PLCG1,PPARGC1A,PRKCZ,SHC1,SP1,SRC (family),SREBF1,STAT3,SYK,TP63",3,Inhibited,biased,-3.938,2.47e-07,0.0411,"AKR1B1,AKT2,ANO10,ARF4,ARPC5L,ATG9A,BAG1,CAP2,CBR1,CLGN,CNN3,COL6A3,CP,CSTA,DAB2,DHCR7,DR1,EIF4E,ENO1,FABP4,FABP5,FCER1G,FHL1,FKBP4,FLI1,GBA,GCLM,GDI1,GLO1,GPNMB,GSTM3,GSTP1,HINT1,ICAM1,IFIT2,IL1B,IQGAP2,IRF8,JUN,KYNU,MAPK7,MVD,MYD88,NAMPT,NFKB1,NMI,NUDCD2,PARP12,PDLIM1,PLAU,PPIA,PPP3CB,PREP,PRKAR1A,PRMT1,PSAT1,PSMB3,PSMB7,PTPN2,PTPRE,RAN,S100A9,SAE1,SAMD9,SAR1A,SCD,SERPINB1,SERPINB8,SERPINB9,SERPINE2,SHMT1,SOD1,SUMO2,SUMO3,TGM2,TNFAIP3,TRADD,TXN,UBE2L6",79 (37),34,1hr_PROT_causal_unique,True,
73,TNRC6A, ,other,"Akt,AKT1,ATF6,ATM,CEBPB,CHEK2,Creb,EGFR,FOXO3,GLI1,H2AX,Hsp27,Jnk,MAP2K1,MAPK9,Mek,MMP9,MTOR,NFkB (complex),NR3C1,P38 MAPK,PGR,PPARGC1A,SP1,TNRC6A,TP53,TP63,TP73,YAP1",3,Inhibited, ,-3.8110000000000004,2.61e-07,0.0384,"ACO1,ADH5,ADK,AK1,AKT1,ATAD2,ATG9A,BID,CAST,CBR1,CNTRL,CSTA,EFHD2,EHD1,EIF4E,ELOB,FABP4,FABP5,FBXO22,FHL1,FN1,FSCN1,GBA,GCLM,GPNMB,GSTM3,HINT1,ICAM1,IQGAP2,IREB2,JUN,KYNU,MAPK7,MSI2,NAMPT,NFKB1,NME1,NPEPL1,NRGN,OGFRL1,PDLIM1,PEA15,PPIA,PPP4C,PRKAR1A,PRMT1,PSMB3,PSMB7,PTPN11,PTPN2,PTPN6,PTPRE,PYCARD,RAN,RBM8A,RSAD2,S100A4,S100A9,SAR1A,SCD,SERPINB8,SERPINB9,SERPINE2,SF3B4,SOD1,SREBF2,TAGLN2,TANK,TGM2,TMSB10/TMSB4X,TPM1,TRADD,TRAF1,TREM2,XPO1",75 (29),27,1hr_PROT_causal_unique,True,
78,mir-30, ,microRNA,"Akt,AKT1,ATF6,ATM,CEBPB,CHEK2,Creb,EGFR,FOXO3,GLI1,H2AX,Hsp27,Jnk,MAP2K1,MAPK9,Mek,mir-30,MMP9,MTOR,NFkB (complex),NR3C1,P38 MAPK,PGR,PPARGC1A,SP1,TP53,TP63,TP73,YAP1",3,Activated, ,3.8110000000000004,3.08e-07,0.0407,"ACO1,ADH5,ADK,AK1,AKT1,ATAD2,ATG9A,BID,CAST,CBR1,CNTRL,CSTA,EFHD2,EHD1,EIF4E,ELOB,FABP4,FABP5,FBXO22,FHL1,FN1,FSCN1,GBA,GCLM,GPNMB,GSTM3,HINT1,ICAM1,IQGAP2,IREB2,JUN,KYNU,MAPK7,MSI2,NAMPT,NFKB1,NME1,NPEPL1,NRGN,OGFRL1,PDLIM1,PEA15,PPIA,PPP4C,PRKAR1A,PRMT1,PSMB3,PSMB7,PTPN11,PTPN2,PTPN6,PTPRE,PYCARD,RAN,RBM8A,RSAD2,S100A4,S100A9,SAR1A,SCD,SERPINB8,SERPINB9,SERPINE2,SF3B4,SOD1,SREBF2,TAGLN2,TANK,TGM2,TMSB10/TMSB4X,TPM1,TRADD,TRAF1,TREM2,XPO1",75 (29),27,1hr_PROT_causal_unique,True,
79,CSF, ,group,CSF,1,Inhibited,biased,-3.162,3.11e-07,0.0001,"CSTA,CSTB,IL1B,NFKB1,PTPN2,SERPINB8,SERPINB9,TGM2,TNFAIP3,TRAF1",10 (1),1,1hr_PROT_causal_unique,True,True
80,ERK, ,group,"ADAM17,Akt,AKT1,Ap1,CCND1,CCNE1,CDK2,CDK4,CDKN2A,CEBPA,CEBPB,Creb,DUSP1,EGFR,ERK,ERK1/2,FOXM1,FOXO1,GSK3B,IRF3,MAPK14,MED1,MYC,NFkB (complex),NOS2,Notch,NRF1,PDGFRA,PGR,PHB2,PPARG,RELA,RUNX2,RXRA,SHC1,SMARCA4,STAT3,TP63",3,Inhibited,biased,-4.7139999999999995,3.13e-07,0.0451,"ABRACL,AKR1B1,AKT1,AKT2,ATG9A,BAG1,CAST,CDK6,CDKN2C,CFP,CLDND1,CP,CSTA,DAB2,DR1,ENO1,ERBIN,FABP4,FABP5,FLI1,FSCN1,GCLM,GPNMB,GSTM3,GSTO1,GSTP1,ICAM1,IL1B,IQGAP2,IRF8,JUN,KIF20A,KYNU,LPXN,MARCKS,MTRES1,MYD88,NAMPT,NFKB1,NIBAN2,PDLIM1,PEA15,PLAU,PPIA,PPP3CB,PREP,PRKAR1A,PRMT1,PSMB3,PSMB7,PTPN2,PTPRE,RSAD2,S100A4,S100A8,S100A9,SAE1,SAR1A,SERPINB1,SERPINB8,SPC25,SUMO2,SUMO3,TANK,TGM2,TMSB10/TMSB4X,TNFAIP3,TPM1,TRAF1,TXN,VIM,XPO1",72 (38),33,1hr_PROT_causal_unique,True,
84,MTOR,-0.220,kinase,"AKT1,ERK1/2,ESR1,FOXO3,HSF1,MTOR,MYC,NFkB (complex),SIRT1,TP53",2,Inhibited, ,-3.3280000000000003,3.89e-07,0.009,"ACO1,AK1,AKT1,ANO10,ARPC5L,ATAD2,BAG1,BID,CP,DR1,EIF4E,ENO1,FABP4,FABP5,FBLN1,FBXO22,FKBP4,GCLM,IFIT2,IL1B,IQGAP2,IREB2,JUN,KYNU,LSM2,MYD88,NAMPT,NFKB1,NME1,PPP4C,PREP,PSMB9,PTPN11,PTPN6,PTPRE,PYCARD,RSAD2,S100A4,SAE1,SAMD9,SAR1A,SERPINE2,SOD1,SREBF2,SUMO2,SUMO3,TAGLN2,TANK,TGM2,TMSB10/TMSB4X,TRAF1,VIM",52 (10),10,1hr_PROT_causal_unique,True,
88,TRAF2,0.157,enzyme,"AR,ATF6,CEBPA,CEBPB,EGFR,estrogen receptor,FOXO1,HIF1A,Hsp27,IRF3,Jnk,Mapk,MET,MMP9,MTOR,NFkB (complex),NFKB1,NR3C1,P38 MAPK,PGR,PPARGC1A,RPS6KB1,SHC1,SP1,TICAM1,TP53,TP63,TRAF2",3,Inhibited,biased,-3.8810000000000002,5.25e-07,0.0491,"ACO1,AK1,AKR1B1,AKT1,AKT2,ATG9A,BID,CBR1,CLGN,CSTA,DHCR7,DR1,EIF4E,FABP4,FABP5,FBXO22,FHL1,FKBP4,FLI1,FN1,FSCN1,GBA,GDI1,GPNMB,GSTM3,GSTP1,HINT1,ICAM1,IFIT2,IL1B,IREB2,JUN,KYNU,MAPK7,NAMPT,NFKB1,NME1,NUDCD2,PDLIM1,PLAU,PPIA,PPP4C,PRKAR1A,PRMT1,PSMB3,PSMB7,PSMB9,PTPN11,PTPN6,PYCARD,RAN,RSAD2,S100A9,SAR1A,SERPINB1,SERPINB8,SERPINB9,SERPINE2,SOD1,SPC25,SREBF2,TAGLN2,TGM2,TNFAIP3,TPM1,TRADD,TXN,XPO1",68 (28),27,1hr_PROT_causal_unique,True,
89,MAP4K2, ,kinase,"AR,ATF6,CEBPB,Creb,EGFR,ERK1/2,FOXO1,Hsp27,Jnk,JUN,MAP3K10,MAP3K11,MAP4K2,MET,MMP9,MTOR,NFkB (complex),NR3C1,P38 MAPK,PGR,PPARGC1A,RPS6KB1,SHC1,SP1,TP53,TP63",3,Inhibited,biased,-4.158,5.61e-07,0.0344,"ACO1,AK1,AKT1,ATG9A,BID,CBR1,CLGN,CSTA,DHCR7,DR1,FABP4,FABP5,FBXO22,FKBP4,FLI1,FN1,FSCN1,GBA,GDI1,GPNMB,GSTM3,GSTP1,HINT1,ICAM1,IL1B,IREB2,JUN,KYNU,MAPK7,NAMPT,NFKB1,NME1,PDLIM1,PLAU,PPIA,PPP4C,PRKAR1A,PRMT1,PSMB3,PSMB7,PTPN11,PTPN6,PTPRE,PYCARD,RAN,RSAD2,SAR1A,SERPINB8,SERPINB9,SERPINE2,SOD1,SPC25,SREBF2,TAGLN2,TANK,TGM2,TMSB10/TMSB4X,TNFAIP3,TPM1,TRADD,TRAF1,TXN,XPO1",63 (26),23,1hr_PROT_causal_unique,True,
91,TRIO, ,kinase,"AR,ATF6,CEBPB,Creb,DYRK1B,EGFR,ERK1/2,FOXO1,Hsp27,Jnk,JUN,MET,MMP9,MTOR,NFkB (complex),NR3C1,P38 MAPK,PGR,PPARGC1A,RAC1,RELA,RHOA,RPS6KB1,SHC1,SP1,STAT3,TP53,TP63,TRIO",3,Inhibited,biased,-4.341,6.389999999999999e-07,0.0481,"ACO1,AK1,AKT1,ATG9A,BID,CBR1,CLGN,CP,CSTA,DHCR7,DR1,FABP4,FABP5,FBXO22,FKBP4,FLI1,FN1,FSCN1,GBA,GDI1,GPNMB,GSTM3,GSTP1,HINT1,ICAM1,IL1B,IREB2,JUN,KYNU,MAPK7,NAMPT,NFKB1,NME1,PDLIM1,PLAU,PPIA,PPP4C,PRKAR1A,PRMT1,PSMB3,PSMB7,PTPN11,PTPN2,PTPN6,PTPRE,PYCARD,RAN,RSAD2,SAR1A,SERPINB8,SERPINB9,SERPINE2,SOD1,SPC25,SREBF2,TAGLN2,TANK,TGM2,TMSB10/TMSB4X,TNFAIP3,TPM1,TRADD,TRAF1,TXN,XPO1",65 (29),28,1hr_PROT_causal_unique,True,
92,TLR1, ,transmembrane receptor,"AKT1,AR,ATF6,CASP8,CEBPA,CEBPB,EGFR,ERK1/2,estrogen receptor,FOXO1,HIF1A,Hsp27,Jnk,Mapk,MET,MMP9,MTOR,NFkB (complex),NR3C1,P38 MAPK,PGR,PPARGC1A,PRKCD,RELA,RPS6KB1,SHC1,SP1,TLR1,TLR2,TP53,TP63",3,Inhibited,biased,-3.153,6.78e-07,0.0397,"ACO1,AK1,AKR1B1,AKT1,AKT2,ATG9A,BID,CBR1,CLGN,CSTA,DHCR7,DR1,EIF4E,FABP4,FABP5,FBXO22,FHL1,FKBP4,FLI1,FN1,GBA,GCLM,GDI1,GPNMB,GSTM3,GSTP1,HINT1,IL1B,IREB2,JUN,KYNU,MAPK7,NME1,NUDCD2,PDLIM1,PDLIM7,PLAU,PPIA,PPP4C,PRKAR1A,PRMT1,PSMB3,PSMB7,PSMB9,PTPN11,PTPN6,PTPRE,PYCARD,RAN,RSAD2,S100A9,SAR1A,SERPINB1,SERPINB8,SERPINB9,SERPINE2,SOD1,SPC25,SREBF2,TAGLN2,TANK,TMSB10/TMSB4X,TNFAIP3,TPM1,TRADD,TRAF1,TXN,XPO1",68 (31),29,1hr_PROT_causal_unique,True,
94,MGAT3, ,enzyme,"Ap1,AR,EGFR,ELK1,ESR1,FOXO1,Gsk3,Jnk,JUN,MAP2K1/2,MAPK9,MGAT3,NFkB (complex),P38 MAPK,PGR,PRKCD,RELA,RPS6KB1,SHC1,SP1,STAT3,STAT6,TP53,YAP1",3,Activated,biased,4.25,7.990000000000001e-07,0.0395,"ACO1,AK1,AKT1,ANO10,ARPC5L,BID,CAST,CDK6,CLGN,CP,DHCR7,EHD1,EIF4E,ENO1,FABP4,FABP5,FBXO22,FKBP4,FLI1,FSCN1,GDI1,GSTM3,GSTP1,HINT1,ICAM1,IL1B,IREB2,JAK1,JUN,KYNU,NAMPT,NME1,PDLIM1,PDLIM7,PLAU,PPIA,PPP4C,PRKAR1A,PSMB3,PSMB7,PSMB9,PTPN11,PTPN2,PTPN6,PTPRE,PYCARD,S100A4,S100A8,SAMD9,SAR1A,SCD,SERPINB8,SF3B4,SPC25,SREBF2,TAGLN2,TANK,TGM2,TMSB10/TMSB4X,TNFAIP3,TRADD,TRAF1,TXN,XPO1",64 (24),23,1hr_PROT_causal_unique,True,
101,ID1, ,transcription regulator,"Akt,AKT1,Ap1,EGFR,ERBB3,ERK1/2,estrogen receptor,FOSL1,HDAC6,HIF1A,ID1,ITGB4,MAP2K1/2,Mapk,MAPK1,MED1,MMP9,MTOR,NFkB (complex),P38 MAPK,PARP1,PGR,RB1,RPS6KB1,SHC1",3,Inhibited, ,-2.263,1.45e-06,0.0217,"ACO1,AKT1,AKT2,CDKN2C,EHD1,EIF4E,FABP4,FABP5,FHL1,FLI1,FN1,GCLM,GPX4,GSTM3,GSTP1,ICAM1,IFIT2,IRF8,JAK1,KYNU,MYD88,NAMPT,NAT1,NFKB1,NMI,NUDCD2,PARP12,PDLIM1,PEA15,PLAU,PPIA,PPP3CB,PRKAR1A,PSMB3,PSMB7,PSMB9,RSAD2,S100A4,S100A8,SAR1A,SERPINB8,SERPINE2,SOD1,SREBF2,TGM2,TNFAIP3,TRADD,TXN,UBE2L6,VIM",50 (25),25,1hr_PROT_causal_unique,True,
104,CHRNA7, ,transmembrane receptor,"Akt,ATF6,CEBPB,CHEK2,CHRNA7,EGFR,FOXO1,FOXO3,Hsp27,JUN,LIN28A,MAPK3,MYC,NFkB (complex),NR3C1,NRF1,P38 MAPK,PDGFRA,PGR,PHB2,PPARGC1A,RELA,STAT3,TP63,YAP1",3,Activated, ,2.177,1.58e-06,0.0302,"ADH5,AKT1,ATG9A,BAG1,CAST,CBR1,CSTA,DAB2,EHD1,EIF4E,FABP4,FABP5,FN1,GBA,GPNMB,GSTM3,HNRNPF,ICAM1,IFIT2,IL1B,IQGAP2,JUN,KYNU,MAPK7,MYD88,NAMPT,NFKB1,PDLIM1,PEA15,PLAU,PPIA,PREP,PRKAR1A,PRMT1,PSMB3,PSMB7,PTPN2,PTPRE,RAN,RSAD2,SAE1,SAR1A,SERPINB8,SERPINB9,SERPINE2,SOD1,SPC25,SUMO2,SUMO3,TMSB10/TMSB4X,TPM1,TRADD,TXN,XPO1",54 (25),23,1hr_PROT_causal_unique,True,
106,CYBB,-0.185,enzyme,"Akt,AR,ATF6,CEBPB,CYBB,EGFR,ERK,ERK1/2,GLI1,Hsp27,IKBKB,MMP9,MTOR,NFkB (complex),NR3C1,P38 MAPK,PGR,PPARGC1A,RAP1A,RELA,SP1,TP63,TP73,YAP1",3,Inhibited,biased,-2.898,1.98e-06,0.0499,"ADK,ATAD2,ATG9A,BID,CAST,CBR1,CLGN,CNTRL,CSTA,DHCR7,DR1,EFHD2,EHD1,ELOB,FABP4,FABP5,FHL1,FKBP4,FN1,FSCN1,GBA,GDI1,GPNMB,GSTM3,HINT1,ICAM1,IL1B,IQGAP2,JUN,KYNU,MAPK7,MSI2,NAMPT,NFKB1,NPEPL1,NRGN,OGFRL1,PDLIM1,PEA15,PPIA,PRKAR1A,PRMT1,PSMB3,PSMB7,PTPN2,PTPRE,RAN,RBM8A,RSAD2,S100A9,SAR1A,SCD,SERPINB8,SERPINB9,SERPINE2,SOD1,SREBF2,TGM2,TMSB10/TMSB4X,TNFAIP3,TPM1,TRADD,TRAF1",63 (24),22,1hr_PROT_causal_unique,True,
110,S100A6,-0.243,transporter,"Akt,Ap1,AR,ELK1,FOXO1,Jnk,JUN,NFkB (complex),RPS6KB1,S100A6,SHC1,SMAD2,SP1,STAT6,TP53,YAP1",3,Inhibited,biased,-3.464,3.08e-06,0.0292,"ACO1,AK1,AKT1,BID,CAST,CDK6,CLGN,DHCR7,DR1,EHD1,FABP4,FABP5,FBXO22,FKBP4,FLI1,GDI1,GSTP1,HINT1,ICAM1,IL1B,IREB2,JUN,KYNU,NAMPT,NFKB1,NME1,PEA15,PLAU,PPP3CB,PPP4C,PSMB9,PTPN11,PTPN6,PYCARD,S100A4,SAR1A,SPC25,SREBF2,TAGLN2,TANK,TGM2,TMSB10/TMSB4X,TNFAIP3,TPM4,TRAF1,TXN,VIM,XPO1",48 (16),16,1hr_PROT_causal_unique,True,
112,MAPKAPK2,-0.194,kinase,"ADAM17,Akt,AKT1,ATM,EGFR,ERK1/2,H2AX,MAPK1,MAPKAPK2,MMP2,MMP9,NFkB (complex),PLAU,SHC1,STAT3,TP53",3,Inhibited,biased,-3.355,3.21e-06,0.0245,"ACO1,ADH5,AK1,AKT1,BID,EHD1,FABP5,FBXO22,FLI1,FSCN1,GCLM,GSTP1,ICAM1,IFIT2,IREB2,JUN,KYNU,NAMPT,NFKB1,NME1,NMI,PARP12,PEA15,PLAU,PPIA,PPP4C,PRKAR1A,PSMB3,PSMB7,PTPN11,PTPN2,PTPN6,PTPRE,PYCARD,S100A4,SAR1A,SERPINE2,TAGLN2,TANK,TGM2,TMSB10/TMSB4X,TNFAIP3,TRAF1,TXN,UBE2L6,VIM,XPO1",47 (16),13,1hr_PROT_causal_unique,True,
116,VCP,-0.210,enzyme,"MYC,NFkB (complex),VCP",2,Inhibited,biased,-3.545,4.33e-06,0.004,"AKT1,BAG1,EIF4E,FABP5,ICAM1,IFIT2,IL1B,IQGAP2,KYNU,MYD88,NAMPT,NFKB1,PREP,PSMB9,RSAD2,SAE1,SAR1A,SERPINE2,SUMO2,SUMO3,TGM2,TNFAIP3,XPO1",23 (3),2,1hr_PROT_causal_unique,True,
118,SIAH1, ,enzyme,"Akt,Ap1,AR,ELK1,FOXO1,Jnk,JUN,MAP2K1,NFkB (complex),PKD1,RPS6KB1,SHC1,SIAH1,SMAD2,SP1,STAT6,TP53,YAP1",3,Inhibited,biased,-3.938,5.14e-06,0.0365,"ACO1,AK1,AKT1,BID,CAST,CDK6,CLGN,DHCR7,DR1,EHD1,FABP4,FABP5,FBXO22,FKBP4,FLI1,GDI1,GSTP1,HINT1,ICAM1,IL1B,IREB2,JUN,KYNU,NAMPT,NFKB1,NME1,PEA15,PLAU,PPP4C,PSMB9,PTPN11,PTPN6,PYCARD,S100A4,SAR1A,SPC25,SREBF2,TAGLN2,TANK,TGM2,TMSB10/TMSB4X,TNFAIP3,TRAF1,TREM2,TXN,VIM,XPO1",47 (18),16,1hr_PROT_causal_unique,True,
119,RANBP2,-0.203,enzyme,"Akt,Ap1,AR,ELK1,FOXO1,Jnk,JUN,MAP2K7,NFkB (complex),RANBP2,RPS6KB1,SHC1,SMAD2,SP1,STAT6,TP53,YAP1",3,Activated,biased,3.938,5.4e-06,0.0413,"ACO1,AK1,AKT1,BID,CAST,CDK6,CLGN,DHCR7,DR1,EHD1,FABP4,FABP5,FBXO22,FKBP4,FLI1,FN1,GDI1,GSTP1,HINT1,ICAM1,IL1B,IREB2,JUN,KYNU,NAMPT,NFKB1,NME1,PEA15,PLAU,PPP4C,PSMB9,PTPN11,PTPN6,PYCARD,S100A4,SAR1A,SPC25,SREBF2,TAGLN2,TANK,TGM2,TMSB10/TMSB4X,TNFAIP3,TRAF1,TXN,VIM,XPO1",47 (17),16,1hr_PROT_causal_unique,True,
122,TRIM23, ,enzyme,"CD247,IKBKB,IKBKG,IRF3,NFkB (complex),TRIM23",3,Activated,biased,2.668,5.44e-06,0.0028,"FABP5,FCER1G,FN1,FSCN1,ICAM1,IFIT2,IL1B,KYNU,NAMPT,NFKB1,PLAU,PSMB9,RSAD2,SAR1A,TGM2,TNFAIP3,VIM",17 (6),4,1hr_PROT_causal_unique,True,
124,MAP3K7, ,kinase,"Ap1,CHUK,EGFR,IKBKB,IRF3,Jnk,MAP3K7,MAPK9,MAPKAPK2,NFAT (complex),NFkB (complex),NFKB1,P38 MAPK,RELA,SREBF1",2,Inhibited,biased,-2.121,5.55e-06,0.0152,"AIF1,AKT1,ARF4,CAP2,EIF4E,FABP4,FABP5,FSCN1,GPNMB,ICAM1,IFIT2,IL1B,JUN,KYNU,NAMPT,NFKB1,PLAU,PPIA,PRKAR1A,PSMB3,PSMB7,PSMB9,PTPRE,RSAD2,S100A4,SAR1A,SF3B4,TGM2,TMSB10/TMSB4X,TNFAIP3,TRADD,TRAF1",32 (15),15,1hr_PROT_causal_unique,True,
128,RNASEL,-0.091,enzyme,"Akt,Ap1,AR,BCL2,EIF2AK2,FOXO1,IRF3,Jnk,PARP1,RNASEL,RPS6KB1,SHC1,SP1,STAT3,STAT6,TP53,YAP1",3,Inhibited,biased,-3.938,6.87e-06,0.0369,"ACO1,AK1,AKT1,AKT2,BID,CAST,CDK6,CLGN,DHCR7,DR1,EHD1,FABP4,FBXO22,FKBP4,FLI1,FSCN1,GDI1,GSTP1,HINT1,ICAM1,IFIT2,IL1B,IREB2,JUN,NAT1,NME1,NMI,PARP12,PEA15,PPP4C,PTPN11,PTPN2,PTPN6,PYCARD,RSAD2,S100A4,SPC25,SREBF2,TAGLN2,TANK,TGM2,TMSB10/TMSB4X,TNFAIP3,TRAF1,TXN,UBE2L6,XPO1",47 (17),15,1hr_PROT_causal_unique,True,
129,PPP2R2C, ,phosphatase,"AKT1,Ap1,CCND1,CDK2,CEBPB,Creb,ERK,MYC,NFkB (complex),NOS2,PP2A,PPARG,PPP2R2C,RELA,RUNX2,RXRA,SMARCA4,STAT3,STAT5a/b",3,Activated,biased,4.23,7.03e-06,0.0484,"ABRACL,AKT1,ATG9A,BAG1,CDK6,CDKN2C,CFP,CLDND1,CP,DR1,EIF4E,ENO1,ERBIN,FABP4,FABP5,FSCN1,GCLM,GSTO1,GSTP1,ICAM1,IL1B,IQGAP2,JUN,KYNU,LPXN,MARCKS,MTRES1,MYD88,NAMPT,NIBAN2,PREP,PRMT1,PTPN2,RSAD2,S100A4,S100A8,SAE1,SAR1A,SERPINB8,SUMO2,SUMO3,TGM2,TMSB10/TMSB4X,TNFAIP3,TPM1,TRAF1,XPO1",47 (19),17,1hr_PROT_causal_unique,True,
133,CCN5, ,growth factor,"Akt,Ap1,AR,CCN5,ELK1,FOXO1,Jnk,JUN,NFkB (complex),RPS6KB1,SHC1,SP1,STAT6,TP53,YAP1",3,Activated,biased,3.647,7.38e-06,0.0495,"ACO1,AK1,AKT1,BID,CAST,CDK6,CLGN,DHCR7,DR1,EHD1,FABP4,FABP5,FBXO22,FKBP4,FLI1,FN1,GDI1,GSTP1,HINT1,ICAM1,IL1B,IREB2,JUN,KYNU,NAMPT,NFKB1,NME1,PEA15,PLAU,PPP4C,PSMB9,PTPN11,PTPN6,PYCARD,S100A4,SAR1A,SPC25,SREBF2,TAGLN2,TANK,TGM2,TMSB10/TMSB4X,TNFAIP3,TRAF1,TXN,VIM,XPO1",47 (15),15,1hr_PROT_causal_unique,True,
145,SFN, ,other,"Akt,CDK2,CHEK2,MYC,Nr1h,NR3C1,RB1,SFN,SMARCA4,TP73",3,Activated,biased,3.6830000000000003,1.6899999999999997e-05,0.0428,"ABRACL,ADH5,AKT1,ATG9A,BAG1,BID,CBR1,CFP,CLDND1,CP,EIF4E,ELOB,FN1,GSTO1,GSTP1,ICAM1,IFIT2,IL1B,IQGAP2,JUN,LPXN,MAPK7,MTRES1,MYD88,NFKB1,NRGN,PEA15,PLAU,PREP,PSMB9,RSAD2,SAE1,SERPINB8,SERPINB9,SUMO2,SUMO3,TNFAIP3,VIM,XPO1",39 (10),10,1hr_PROT_causal_unique,True,
146,CHRNA7, ,transmembrane receptor,"Akt,CHRNA7,MYC,P38 MAPK",2,Activated,biased,2.1319999999999997,1.8100000000000003e-05,0.0107,"AKT1,BAG1,EIF4E,FABP4,FN1,ICAM1,IFIT2,IL1B,IQGAP2,JUN,MYD88,NFKB1,PEA15,PLAU,PREP,RSAD2,SAE1,SERPINE2,SUMO2,SUMO3,TRADD,XPO1",22 (4),3,1hr_PROT_causal_unique,True,
152,KLF4, ,transcription regulator,"Akt,CDK2,DNA-methyltransferase,KLF4,MYC,ODC1,RB1,SMARCA4",3,Activated,biased,3.536,2.8800000000000002e-05,0.0314,"ABRACL,AKT1,ATG9A,BAG1,CFP,CLDND1,CP,EIF4E,GSTO1,GSTP1,ICAM1,IFIT2,IL1B,IQGAP2,JUN,LPXN,MTRES1,MYD88,NFKB1,PDLIM2,PEA15,PLAU,PREP,PSMB9,RSAD2,SAE1,SERPINB8,SUMO2,SUMO3,TNFAIP3,VIM,XPO1",32 (8),7,1hr_PROT_causal_unique,True,
153,CCNE1, ,transcription regulator,"Akt,CCNE1,CDK2,MYC,RB1,SMARCA4",3,Inhibited,biased,-4.131,2.94e-05,0.0268,"ABRACL,AKT1,AKT2,ATG9A,BAG1,CFP,CLDND1,CP,EIF4E,GSTO1,GSTP1,ICAM1,IFIT2,IL1B,IQGAP2,JUN,LPXN,MTRES1,MYD88,NFKB1,PEA15,PLAU,PREP,PSMB9,RSAD2,SAE1,SERPINB8,SUMO2,SUMO3,TNFAIP3,XPO1",31 (6),6,1hr_PROT_causal_unique,True,
154,CDC25A, ,phosphatase,"Akt,CCNE1,CDC25A,CDK2,MYC,RB1,SMARCA4",3,Inhibited,biased,-4.131,3.0299999999999998e-05,0.0271,"ABRACL,AKT1,AKT2,ATG9A,BAG1,CFP,CLDND1,CP,EIF4E,GSTO1,GSTP1,ICAM1,IFIT2,IL1B,IQGAP2,JUN,LPXN,MTRES1,MYD88,NFKB1,PEA15,PLAU,PREP,PSMB9,RSAD2,SAE1,SERPINB8,SUMO2,SUMO3,TNFAIP3,XPO1",31 (7),6,1hr_PROT_causal_unique,True,
161,caspase, ,group,"caspase,EIF2AK2,NFkB (complex)",2,Inhibited,biased,-2.5,3.79e-05,0.0126,"AKT2,FABP5,ICAM1,IL1B,JUN,KYNU,NAMPT,NFKB1,NMI,PARP12,PLAU,PSMB9,SAR1A,TGM2,TNFAIP3,UBE2L6",16 (3),2,1hr_PROT_causal_unique,True,
162,Tnf receptor, ,group,"Ap1,EIF2AK2,MAPK8,NFkB (complex),Tnf receptor",2,Inhibited,biased,-2.668,4.02e-05,0.0142,"AKT2,FABP5,ICAM1,IL1B,JUN,KYNU,NAMPT,NFKB1,NMI,PARP12,PLAU,PSMB9,S100A4,SAR1A,TGM2,TNFAIP3,UBE2L6",17 (5),4,1hr_PROT_causal_unique,True,
184,DOHH, ,enzyme,"DOHH,NFkB (complex)",2,Inhibited,biased,-2.496,0.000138,0.0204,"FABP5,ICAM1,IL1B,KYNU,NAMPT,NFKB1,NME1,PARK7,PLAU,PSMB9,SAR1A,TGM2,TNFAIP3",13 (2),2,1hr_PROT_causal_unique,True,
187,FANCA, ,other,"ATM,EIF2AK2,FANCA,FANCD2,NFkB (complex)",2,Activated,biased,2.5,0.00015,0.026,"ADH5,AKT2,FABP5,FN1,IL1B,KYNU,NAMPT,NFKB1,NMI,PARP12,PLAU,PSMB9,SAR1A,SOD1,TNFAIP3,UBE2L6",16 (5),5,1hr_PROT_causal_unique,True,
208,AKT1S1, ,other,"AKT1S1,NFkB (complex),RPS6KB1",2,Inhibited,biased,-2.309,0.00044,0.0436,"FABP5,ICAM1,IL1B,KYNU,NAMPT,NFKB1,PLAU,PSMB9,SAR1A,SREBF2,TGM2,TNFAIP3",12 (3),2,1hr_PROT_causal_unique,True,
211,POU5F1, ,transcription regulator,"ATM,POU5F1",2,Inhibited,biased,-2.53,0.000558,0.0376,"ADH5,AKT1,BAG1,BID,BIRC6,FN1,PYCARD,RIPK2,TGM2,TNFAIP3",10 (2),2,1hr_PROT_causal_unique,True,
