© 2000-2021 QIAGEN. All rights reserved.

Master Regulator	Phospho Log Ratio	Molecule Type	Participating regulators	Depth	Predicted Activation	Activation z-score	p-value of overlap	Network bias-corrected p-value	Target Molecules in Dataset	Causal network	Target-connected regulators
SET	-0.056	phosphatase	SET	1	 	-0.378	3.23E-04	2.70E-03	DKC1,DYNC1LI1,HNRNPA1,RBM25,SF3B2,TMPO,TRIP12	7 (1)	1
P-TEFb	 	complex	P-TEFb	1	 	-0.905	4.42E-04	9.00E-04	CCAR2,FOXK1,ITPRID2,LARP1,OSBPL8,PUM1,RBMX,SF3B1,TNKS1BP1,TRIM28,TRIP12	11 (1)	1
FRAT2	 	other	FRAT2	1	 	0.000	1.03E-03	4.60E-03	FOXK1,GTF2F1	2 (1)	1
FRAT1	 	other	FRAT1	1	 	0.000	1.03E-03	4.60E-03	FOXK1,GTF2F1	2 (1)	1
BSG	-0.428	transporter	BSG	1	 	0.000	7.25E-03	1.45E-02	CDK1,CEP170,DDX21,DOCK2,MYH10,TRA2B	6 (1)	1
F2	 	peptidase	F2	1	 	-1.890	9.87E-03	3.87E-02	ARHGEF1,HSPB1,INPP5D,PRKAA1,PTK2B,PTPN12,VASP	7 (1)	1
CHEK2	 	kinase	CHEK2	1	 	0.000	1.42E-02	3.46E-02	CDK1,TRIM28	2 (1)	1
DDR1	 	kinase	DDR1,PTK2B	2	 	-1.414	1.95E-02	2.25E-02	ITPR1,PTK2B	2 (2)	2
F2R	 	G-protein coupled receptor	F2R	1	 	0.000	2.54E-02	3.53E-02	PTPN6,STX4	2 (1)	1
DOCK4	 	other	DOCK4	1	 	1.414	2.54E-02	3.17E-02	INPP5D,PTPN6	2 (1)	1
RPS6KA1	 	kinase	RPS6KA1	1	 	0.000	3.20E-02	2.61E-02	PPP1R12A,VASP	2 (1)	1
mir-27	 	microRNA	mir-27	1	 	1.000	3.22E-02	4.58E-02	CDK1	1 (1)	1
CDC25C	 	phosphatase	CDC25C	1	 	1.000	3.22E-02	4.58E-02	CDK1	1 (1)	1
S100A8	 	other	S100A8	1	 	-1.000	3.22E-02	4.58E-02	CDK1	1 (1)	1
DDR1	 	kinase	DDR1	1	 	-1.000	3.22E-02	4.71E-02	PTK2B	1 (1)	1
MSH2	 	enzyme	MSH2	1	 	-1.000	3.22E-02	4.58E-02	CDK1	1 (1)	1
CXCL12	 	cytokine	CXCL12	1	 	-1.732	4.49E-02	1.50E-02	ARHGEF1,DOCK2,PTK2B	3 (1)	1
PPP2CB	 	phosphatase	PPP2CB	1	 	-1.000	6.35E-02	4.58E-02	CDK1	1 (1)	1
MLH1	 	enzyme	MLH1	1	 	-1.000	9.37E-02	4.58E-02	CDK1	1 (1)	1
S100A9	0.502	other	S100A9	1	 	-1.000	1.23E-01	4.58E-02	CDK1	1 (1)	1
HSPA1A/HSPA1B	 	enzyme	HSPA1A/HSPA1B	1	 	1.000	1.23E-01	4.58E-02	CDK1	1 (1)	1
