© 2000-2021 QIAGEN. All rights reserved.

Upstream Regulator	Phospho Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
SET	-0.056	phosphatase	 	-0.522	3.23E-04	DKC1,DYNC1LI1,HNRNPA1,RBM25,SF3B2,TMPO,TRIP12	 
P-TEFb	 	complex	 	-0.905	4.42E-04	CCAR2,FOXK1,ITPRID2,LARP1,OSBPL8,PUM1,RBMX,SF3B1,TNKS1BP1,TRIM28	 
FRAT2	 	other	 	 	1.03E-03	FOXK1,GTF2F1	 
FRAT1	 	other	 	 	1.03E-03	FOXK1,GTF2F1	 
ANO1	 	ion channel	 	 	1.18E-03	ADAM9,ARHGEF2,INPP5D,PTK2B,SH3BP1,TNS3	 
BSG	-0.428	transporter	 	-0.128	1.72E-03	ARHGEF2,CDK1,CEP170,DDX21,DOCK2,MYH10,TRA2B	 
F2	 	peptidase	 	-1.798	1.21E-02	ARHGEF1,HSPB1,INPP5D,PRKAA1,PTK2B,PTPN12,VASP	 
PPME1	 	enzyme	 	 	1.60E-02	DYNC1LI1,SRSF9,TMPO	 
CHEK2	 	kinase	 	 	2.54E-02	CDK1,TRIM28	 
DOCK4	 	other	 	 	2.54E-02	INPP5D,PTPN6	 
F2R	 	G-protein coupled receptor	 	 	3.20E-02	PTPN6,STX4	 
PABIR1	 	other	 	 	3.22E-02	TRIM28	 
UBLCP1	 	phosphatase	 	 	3.22E-02	PSMD2	 
FCGR2B	 	transmembrane receptor	 	 	3.22E-02	INPP5D	 
CDC25C	 	phosphatase	 	 	3.22E-02	CDK1	 
mir-27	 	microRNA	 	 	3.22E-02	CDK1	 
ASS1	 	enzyme	 	 	3.22E-02	CAD	 
DDR1	 	kinase	 	 	3.22E-02	PTK2B	 
BCL2	 	transporter	 	 	3.22E-02	ITPR1	 
S100A8	 	other	 	 	3.22E-02	CDK1	 
MSH2	 	enzyme	 	 	3.22E-02	CDK1	 
MKNK2	 	kinase	 	 	3.22E-02	HNRNPA1	 
RB1	 	transcription regulator	 	 	3.22E-02	CDK1	 
PIM3	 	kinase	 	 	3.22E-02	PSMD2	 
PPM1A	 	phosphatase	 	 	3.22E-02	CDK9	 
F2RL3	 	G-protein coupled receptor	 	 	3.22E-02	PTPN6	 
RPS6KA1	 	kinase	 	 	3.92E-02	PPP1R12A,VASP	 
CXCL12	 	cytokine	 	 	4.49E-02	ARHGEF1,DOCK2,PTK2B	 
CD79A	 	transmembrane receptor	 	-1.980	1.56E-01	CDK1,INPP5D,PTPN6,VASP	 
