© 2000-2021 QIAGEN. All rights reserved.

Upstream Regulator	Phospho Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
FOLH1	 	peptidase	 	 	1.42E-02	MTOR,RPS6	 
PDGFRA	 	kinase	 	 	1.42E-02	AKT1,RPS6	 
PIK3CD	 	kinase	 	 	1.42E-02	AKT1,RPS6	 
MTOR	-0.942	kinase	 	 	1.52E-02	AKT1,CAD,MTOR,RPS6	 
ANO1	 	ion channel	 	 	1.55E-02	ADAM9,PCM1,PTK2B,SH3BP1,TNS3	 
BSG	-0.145	transporter	 	-0.816	1.98E-02	ACIN1,CDK1,DOCK2,H1-10,SRRM1,TRA2B	 
GIT1	1.006	kinase	 	 	2.07E-02	AKT1,PXN	 
GAST	 	other	 	 	2.07E-02	PXN,RPS6	 
VEGFA	 	growth factor	 	 	2.70E-02	AKT1,PTK2B,PXN	 
RICTOR	 	other	 	 	2.83E-02	AKT1,MTOR	 
GAS5	 	other	 	 	2.83E-02	AKT1,MTOR	 
NOX4	 	enzyme	 	 	2.83E-02	AKT1,CDK1	 
Pkc(s)	 	group	 	-1.067	3.02E-02	AKT1,PTK2B,PTPN6,PXN,VASP	 
PDCD1	 	phosphatase	 	 	3.63E-02	CDK9,HCLS1,PRKCD	 
CHEK2	 	kinase	 	 	3.68E-02	CDK1,TRIM28	 
p70 S6k	 	group	 	 	3.93E-02	RPS6	 
Camk	 	complex	 	 	3.93E-02	RPS6	 
FAM168A	 	other	 	 	3.93E-02	AKT1	 
CDK12	 	kinase	 	 	3.93E-02	POLR2A	 
PABIR1	 	other	 	 	3.93E-02	TRIM28	 
TNKS2	 	enzyme	 	 	3.93E-02	AKT1	 
Cr3	 	complex	 	 	3.93E-02	PRKCD	 
CTDP1	 	phosphatase	 	 	3.93E-02	POLR2A	 
CDC25C	 	phosphatase	 	 	3.93E-02	CDK1	 
PTPA	 	phosphatase	 	 	3.93E-02	AKT1	 
CTNND1	 	other	 	 	3.93E-02	NPM1	 
mir-27	 	microRNA	 	 	3.93E-02	CDK1	 
miR-199a-3p (and other miRNAs w/seed CAGUAGU)	 	mature microRNA	 	 	3.93E-02	RPS6	 
mir-199	 	microRNA	 	 	3.93E-02	RPS6	 
HIF1A-AS1	 	other	 	 	3.93E-02	MTOR	 
ASS1	 	enzyme	 	 	3.93E-02	CAD	 
DDR1	 	kinase	 	 	3.93E-02	PTK2B	 
S100A8	 	other	 	 	3.93E-02	CDK1	 
PARVA	 	other	 	 	3.93E-02	AKT1	 
MGAT3	 	enzyme	 	 	3.93E-02	PRKCD	 
ARHGEF28	 	other	 	 	3.93E-02	PXN	 
MSH2	 	enzyme	 	 	3.93E-02	CDK1	 
RB1	 	transcription regulator	 	 	3.93E-02	CDK1	 
DNAJB6	 	transcription regulator	 	 	3.93E-02	AKT1	 
PPM1A	 	phosphatase	 	 	3.93E-02	CDK9	 
F2RL3	 	G-protein coupled receptor	 	 	3.93E-02	PTPN6	 
TNKS	 	enzyme	 	 	3.93E-02	AKT1	 
BRD7	 	transcription regulator	 	 	3.93E-02	AKT1	 
DAP3	 	other	 	 	3.93E-02	DNM1L	 
AKAP1	-1.067	other	 	 	3.93E-02	DNM1L	 
TXNIP	 	other	 	 	3.93E-02	MTOR	 
CCNK	 	kinase	 	 	3.93E-02	POLR2A	 
ERBB3	 	kinase	 	 	4.15E-02	MTOR,NDRG1,RPS6	 
F2R	 	G-protein coupled receptor	 	 	4.61E-02	PTPN6,STX4	 
IL18	 	cytokine	 	 	4.61E-02	AKT1,PRKCD	 
MAPK1	 	kinase	 	 	4.61E-02	ADD1,RPTOR	 
