© 2000-2021 QIAGEN. All rights reserved.

Master Regulator	Phospho Log Ratio	Molecule Type	Participating regulators	Depth	Predicted Activation	Activation z-score	p-value of overlap	Network bias-corrected p-value	Target Molecules in Dataset	Causal network	Target-connected regulators
PI3K (complex)	 	complex	PI3K (complex)	1	 	0.000	9.07E-04	8.30E-03	AKT1,PRKCD,PTK2B,PXN,RPS6,RPTOR	6 (1)	1
TCL1A	 	transcription regulator	AGAP2,Akt,AKT1,AMPK,DNMT3A,EGFR,ERBB2,ERK,MAPK1,MET,PDGFRA,PTK2,TCL1A,TP53	3	 	0.000	1.03E-03	4.48E-02	ADAM17,ADD1,AKT1,CCDC88A,CDK1,IQGAP1,MTOR,NIBAN2,NPM1,PRKAA1,PXN,RPS6,RPTOR,VASP	14 (14)	11
SET	-0.352	phosphatase	SET	1	 	0.378	1.07E-03	5.50E-03	CTR9,DYNC1LI1,HNRNPU,MAP1S,NPM1,RBM25,TRIP12	7 (1)	1
POLH	 	enzyme	CHEK1,CHEK2,POLH,TP53	2	 	1.134	1.07E-03	2.10E-02	AKT1,CDK1,MCM3,NPM1,PRKAA1,RPS6,TRIM28	7 (4)	3
TIMP3	 	other	Akt,EGFR,ERK1/2,MET,RPS6KA1,TIMP3	2	 	0.632	1.48E-03	4.11E-02	AKT1,CCDC88A,IQGAP1,MTOR,NIBAN2,PPP1R12A,PXN,RPS6,RPTOR,VASP	10 (6)	5
DUOX2	 	enzyme	ATM,CDK2,DUOX2,H2AX,MAPK3,RB1,RPTOR,TP53	3	 	0.000	1.48E-03	2.50E-02	AKT1,MDC1,MTOR,NPM1,PRKAA1,RPS6,RPTOR,SMARCA4,SMARCC1,TRIM28	10 (8)	5
Fcgr2	 	group	Fcgr2,PLCG1,SYK	2	 	1.414	1.52E-03	2.94E-02	CDK1,HCLS1,MTOR,PRKCD,PRRC2C,PTPN6,RPS6,SERBP1	8 (3)	2
FRAT2	 	other	FRAT2	1	 	-1.414	1.53E-03	6.60E-03	FOXK1,GTF2F1	2 (1)	1
INTS6	 	enzyme	INTS6	1	 	0.000	1.53E-03	7.30E-03	POLR2A,SUPT5H	2 (1)	1
FRAT1	 	other	FRAT1	1	 	-1.414	1.53E-03	6.60E-03	FOXK1,GTF2F1	2 (1)	1
GMNN	 	transcription regulator	CHEK1,CHEK2,GMNN,TP53	2	 	-1.890	1.63E-03	2.70E-02	AKT1,CDK1,MCM3,NPM1,PRKAA1,RPS6,TRIM28	7 (4)	3
CDKN1C	 	other	CDK2,CDKN1C	2	 	0.000	1.69E-03	1.59E-02	NPM1,POLR2A,SMARCA4,SMARCC1	4 (2)	2
STAT5A	 	transcription regulator	CHEK2,STAT5A,TP53	2	 	-1.633	1.80E-03	2.07E-02	AKT1,CDK1,NPM1,PRKAA1,RPS6,TRIM28	6 (3)	2
EPCAM	 	other	CDK2,CHEK1,EPCAM,ERK1/2,MTOR,RB1	3	 	0.000	1.94E-03	4.89E-02	AKT1,CAD,MCM3,MTOR,NPM1,PXN,RPS6,RPTOR,SMARCA4,SMARCC1	10 (6)	4
CRP	 	other	CRP,ERK1/2,SYK	2	 	0.333	1.99E-03	4.55E-02	CDK1,HCLS1,MTOR,PRKCD,PRRC2C,PTPN6,PXN,RPTOR,SERBP1	9 (3)	2
PTGER4	 	G-protein coupled receptor	PDPK1,PTGER4	2	 	1.000	2.23E-03	2.01E-02	AKT1,MTOR,PRKCD,VASP	4 (2)	2
SYK	 	kinase	SYK	1	 	1.134	2.70E-03	3.62E-02	CDK1,HCLS1,MTOR,PRKCD,PRRC2C,PTPN6,SERBP1	7 (1)	1
TOPBP1	 	other	CDK2,CHEK1,CHEK2,TOPBP1	2	 	0.000	3.25E-03	3.94E-02	CDK1,MCM3,NPM1,SMARCA4,SMARCC1,TRIM28	6 (4)	3
CD79A	 	transmembrane receptor	CD79A	1	 	1.414	3.56E-03	2.90E-02	CDK1,G3BP1,HCLS1,PRKCD,PRRC2C,PTPN6,SERBP1,VASP	8 (1)	1
SLC13A5	 	transporter	MTOR,PRKAA,SLC13A5	2	 	0.447	4.15E-03	2.72E-02	AKT1,CAD,MTOR,RPS6,RPTOR	5 (3)	3
PDPK1	 	kinase	PDPK1	1	 	0.577	4.20E-03	2.35E-02	AKT1,MTOR,PRKCD	3 (1)	1
MTORC1	 	complex	MTORC1	1	 	0.577	4.20E-03	2.88E-02	AKT1,MTOR,RPS6	3 (1)	1
RPS6KA1	 	kinase	RPS6KA1	1	 	1.732	4.20E-03	3.31E-02	PPP1R12A,RPS6,VASP	3 (1)	1
PPP1CB	 	phosphatase	PPP1CB	1	 	0.000	4.48E-03	1.18E-02	AKT1,NPM1	2 (1)	1
MTORC2	 	complex	MTORC2	1	 	1.414	4.48E-03	2.62E-02	AKT1,RPS6	2 (1)	1
OTUB1	 	enzyme	MSH2,OTUB1,TP53	2	 	1.342	4.86E-03	4.79E-02	AKT1,CDK1,NPM1,PRKAA1,RPS6	5 (3)	2
PABIR1	 	other	PABIR1,TP53,TRIM28	3	 	-0.447	4.86E-03	4.00E-02	AKT1,NPM1,PRKAA1,RPS6,TRIM28	5 (3)	2
HSPD1	 	enzyme	HSPD1	1	 	0.000	8.74E-03	1.34E-02	AKT1,PTK2B	2 (1)	1
LIMS1	 	other	LIMS1	1	 	0.000	8.74E-03	2.26E-02	AKT1,MTOR	2 (1)	1
SH2D2A	 	other	SH2D2A	1	 	-1.414	8.74E-03	3.35E-02	PTK2B,PXN	2 (1)	1
HIF1A-AS1	 	other	HIF1A-AS1,MTOR	2	 	0.000	9.65E-03	4.85E-02	AKT1,CAD,MTOR,RPS6	4 (2)	2
FOLH1	 	peptidase	FOLH1	1	 	0.000	1.42E-02	3.99E-02	MTOR,RPS6	2 (1)	1
PDGFRA	 	kinase	PDGFRA	1	 	1.414	1.42E-02	2.50E-02	AKT1,RPS6	2 (1)	1
BSG	-0.145	transporter	BSG	1	 	-0.816	1.82E-02	2.61E-02	ACIN1,CDK1,DOCK2,H1-10,SRRM1,TRA2B	6 (1)	1
CHEK2	 	kinase	CHEK2	1	 	1.414	2.07E-02	2.48E-02	CDK1,TRIM28	2 (1)	1
GIT1	1.006	kinase	GIT1	1	 	0.000	2.07E-02	4.04E-02	AKT1,PXN	2 (1)	1
MIF	 	cytokine	MIF	1	 	1.414	2.83E-02	3.34E-02	AKT1,PRKCD	2 (1)	1
F2RL3	 	G-protein coupled receptor	F2RL3	1	 	1.000	3.93E-02	2.49E-02	PTPN6	1 (1)	1
PABIR1	 	other	PABIR1	1	 	1.000	3.93E-02	2.61E-02	TRIM28	1 (1)	1
IL18	 	cytokine	IL18	1	 	0.000	4.61E-02	3.63E-02	AKT1,PRKCD	2 (1)	1
