© 2000-2021 QIAGEN. All rights reserved.

Master Regulator	Expr Log Ratio	Molecule Type	Participating regulators	Depth	Predicted Activation	Activation z-score	p-value of overlap	Network bias-corrected p-value	Target Molecules in Dataset	Causal network	Target-connected regulators
ATG5	 	other	Akt,ATG5,CASP8,CDH1,CHUK,CTNNB1,EGFR,EIF2A,ERK,ERK1/2,GSK3B,HIF1A,IKBKB,IRF3,Mapk,MAPK1,MAPK8,MAPK9,MMP2,NFkB (complex),P38 MAPK,PDGFRA,PDGFRB,PI3K (family),PRKAA,PXN,RAC1,RB1,RELA,RHOA,RHOC,RUNX3,SRC,STAT3,STAT5a/b,TGM2,TP53,TP63,YAP/TAZ,YAP1	3	 	-0.267	5.34E-21	2.70E-03	ABCB1,ABCC1,ACTB,AK1,APOA4,APOBEC3G,APOC3,APOE,ARHGDIB,ARRB1,ATG9A,ATP6AP2,AURKA,B2M,BID,BUB1B,C1QBP,C3,CARS1,CASP1,CAST,CCL4,CD36,CD44,CD47,CD55,CD82,CDK1,CDK6,CDKN2C,CES2,CFP,CHI3L1,CLEC11A,COL1A1,COL1A2,CPT2,CSTA,CTSC,DAB2,DAD1,DDX58,DDX60,DDX60L,DNMT1,DOCK8,DUT,DYNLL1,ECM1,EHD1,EIF2AK2,EIF4E,ERP29,EZR,FABP5,FAM3C,FCER1G,FDPS,FHL1,FKBP3,FN1,FUBP1,GBP1,GLB1,GLUL,GOLGA2,GOT1,GPNMB,GTPBP10,H2AX,HK2,HK3,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HMGB1,HMOX1,HSPB1,HYOU1,IDI1,IFI16,IFI35,IFI44L,IFIH1,IFIT3,IGFBP2,IGFBP7,IL1RN,IPO7,IRF2BP2,IRF5,ISCU,ISG15,ITGAX,ITGB5,JUN,KAT2B,KYNU,LAP3,LGALS1,LGALS3,LGALS9,LMNA,LPL,LSM3,LSP1,MAD1L1,MAP4K4,MBD2,MDN1,METAP2,MGST2,MIF,MKI67,MMP2,MTA1,MVP,MX2,NAMPT,NDRG1,NDUFB8,NFATC2,NFKB1,NFKB2,NPC2,NPM1,NUCKS1,NUDCD2,NUP188,OAS2,OAS3,OASL,OTUD6B,PARP12,PARP14,PARP9,PCK2,PDCD5,PDIA3,PEA15,PFKP,PHGDH,PLAU,PLIN2,PML,PNPT1,POR,PPIA,PPM1A,PPP3CA,PPP4R2,PRAG1,PREX1,PRPF4,PSAT1,PSEN1,PSIP1,PSMB3,PSMB7,PSME2,PSME3,PTPN2,PTPN6,PTRH2,PXN,RAB4B,RALY,RBL2,RCC1,RELA,RFTN1,RGS1,RHOC,RNF213,RPS27L,RRAD,RSAD2,RUNX1,S100A4,S100A8,SAR1A,SIRPA,SLC25A15,SLC25A20,SLC2A1,SLC7A11,SLC9A3R1,SLFN5,SLPI,SOD1,SPRY2,SRC,SRSF1,ST14,STAT2,STIP1,STMN1,TAGLN2,TANK,TAP1,TAPBP,TDO2,TFRC,TGFB1,TGM2,THBD,THBS1,TK1,TPM1,TPX2,TRADD,TRIM21,TRIM25,TTC27,UBA7,UBE2I,UBE2L6,UTP18,VIM,WTAP,YWHAH,ZFP91	224 (40)	39
ASPSCR1-TFE3	 	fusion gene/product	ASPSCR1-TFE3,ERK1/2,ESR1,FOXO3,HSF1,MTOR,MYC,NFkB (complex),RHOA,RPS6KB1,SIRT1,TFEB,TP53	3	Inhibited	-2.467	7.62E-21	2.00E-04	ACTB,AHNAK,AK1,ALCAM,ANO10,APOE,ARPC5L,ARRB1,ASS1,ATP6V0A1,AURKA,B2M,BAG1,BAG3,BAX,BCAS3,BCOR,BID,BUB1B,BZW2,CASP1,CAST,CBX3,CD36,CEBPA,CEBPB,CES2,CLEC11A,COL1A1,COX5A,CP,CTSA,CTSD,CTSS,DHCR24,DNAJC21,DR1,DUT,ECM1,EFEMP1,EIF4E,ELOC,ENG,ENY2,EPS15L1,ERAP1,EZR,FABP5,FAM3C,FBLN1,FKBP3,FOSL1,FUBP1,GBP1,GDF15,GLA,GLB1,GNS,GPNMB,GRN,GTF2B,HERC5,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HMGB1,HMGN2,HMOX1,HNRNPD,HSPB1,HSPE1,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP3,IGFBP7,IL1RN,INIP,ISCU,ISG15,ITGB5,JUN,KYNU,LAMP1,LGALS1,LGALS3,MAD1L1,MAFF,MBOAT7,MFSD1,MGST2,MRPL18,MX1,MX2,MYOF,NAMPT,NASP,NCOR1,NDRG1,NFKB1,NFKB2,NPC2,NPM1,NT5E,OAS1,OASL,PACSIN2,PEPD,PFKP,PGLS,PHGDH,POLDIP3,POLR2D,PPM1A,PPP3CA,PPP4R2,PRAG1,PTPN6,PXN,RAB32,RAB4B,RAB5C,RAB7A,RAD23A,RALY,RANBP1,RCC1,RELA,RHOC,RPL11,RPS27L,RSAD2,S100A4,SAMD9,SAR1A,SCPEP1,SERPINE2,SERPINH1,SFPQ,SLC7A11,SMC1A,SOD1,SRC,SRSF1,SSBP1,ST13,ST14,STAT1,STAT6,STIP1,STMN1,SUMO1,SUMO2,SUMO3,TACC1,TAGLN2,TANK,TAP1,TDO2,TFRC,TGFB1,TGM2,THBD,THBS1,THEMIS2,TMSB10/TMSB4X,TPX2,TRAF1,UBE2I,UPP1,VAT1,VIM,WBP2,YWHAH	179 (13)	13
IRGM	 	enzyme	IRGM	1	Inhibited	-4.642	1.67E-20	1.00E-04	APOBEC3F,APOBEC3G,B2M,CGAS,DDX58,DDX60,DDX60L,DHX58,GBP1,GBP4,HERC5,HLA-B,HLA-F,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,MX1,MX2,OAS1,OAS2,OASL,RSAD2,UBA7,UBE2L6	29 (1)	1
EGFR	 	kinase	Akt,AKT1,AMPK,AR,ATF1,ATF6,BCL2,CCND1,CDH1,CEBPA,CEBPB,CREB1,CTNNB1,DNA-methyltransferase,DUSP1,EGFR,EGR1,EIF2A,EPHA2,ERBB3,ERK,ERK1/2,FOXO4,GSK3B,HBEGF,HDAC1,HDAC2,HDAC6,HIF1A,IRF1,Jnk,JUN,KAT5,KDM1A,KDM5B,LEF1,LIN28A,MAP2K1/2,Mapk,MAPK1,MAPK3,MAPK9,MED1,Mek,MET,MMP12,MMP9,MYC,NFAT5,NFkB (complex),Notch,NR3C1,NR4A1,NRF1,ODC1,P38 MAPK,PARP1,PDCD4,PGR,PI3K (complex),PPARG,PPARGC1A,PTPN11,Rac,RAC1,RARA,RHOA,ROCK,RUNX2,RXRA,SHC1,SMAD3,SP1,SRC,STAT3,STAT5a/b,TAB1,TAB2,TFEB,TIMP1,TP63,TSC2,YAP/TAZ	3	Inhibited	-2.216	1.40E-19	1.48E-02	A2M,ABCB1,ACSL1,AHNAK,ALCAM,ANO10,APOA4,APOB,APOBEC3G,APOC3,APOE,ARF4,ARPC5L,ARRB1,ATG9A,ATP2A2,ATP6AP2,AURKA,B2M,BABAM2,BAG1,BAX,BCLAF1,BCOR,BZW2,C11orf58,CARS1,CBS/CBSL,CCL4,CD2BP2,CD36,CD44,CD47,CD55,CDIPT,CDK1,CDKN2C,CEBPA,CEBPB,CHI3L1,CLEC11A,CLGN,CLTC,CMPK2,COL1A2,COMP,COX5A,CPT2,CSTA,CTSL,CYCS,DDX58,DDX60,DEGS1,DHCR7,DNAJB11,DNAJC21,DNMT1,DPYSL2,DR1,DYNLL1,EDF1,EEF1B2,EHD1,EIF2AK2,EIF4E,ELANE,ENY2,ERCC2,ERMP1,ERP29,EZR,FABP5,FHL1,FIP1L1,FLI1,FOSL1,G3BP1,GBP1,GBP2,GLA,GLUL,GNS,GOLGA2,GOT1,GPNMB,GRN,GSTP1,GTF2B,H1-10,H2AX,HELZ2,HINT1,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HMGB2,HNRNPD,HSPB1,IDI1,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGF2,IGFBP3,IGLL1/IGLL5,INIP,IRF5,IRF8,ISG15,ITGB5,ITIH2,JUN,JUND,KAT2B,KYNU,LAP3,LASP1,LCP1,LGALS1,LMAN1,LMNA,LSM3,LTF,LUM,MAP4K4,MARCKS,MBD2,METAP2,METTL3,MIF,MKI67,MPC2,MSMO1,MTA1,MVP,MX1,MX2,NAMPT,NAP1L1,NCF1,NDUFB8,NFATC2,NFKB1,NFKB2,NOP16,NPM1,NRP1,NUCKS1,NUDCD2,NUDT1,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PARP14,PCK2,PDCD4,PDIA3,PDIA4,PDLIM1,PDLIM2,PEA15,PFDN1,PFKP,PGLS,PHGDH,PLAU,PLG,PML,PNPT1,POLDIP3,POSTN,PPIA,PPP3CA,PPP3CB,PRDX2,PRMT1,PRPF4,PSAT1,PSEN1,PSIP1,PSMB3,PSMB7,PSMD11,PSMD3,PSME2,PSME3,PTPN1,PTPN2,PXN,RAB4B,RABGAP1L,RAD23A,RCC1,RELA,RFTN1,RHOC,RMDN3,RNASET2,RPL11,RPL13,RPL27A,RPS7,RSAD2,S100A11,S100A8,S100A9,SAMD9,SAR1A,SCPEP1,SERPINB9,SERPINE2,SERPINF1,SFPQ,SHBG,SLC7A11,SLC9A3R1,SOD1,SPRY2,SRFBP1,SRSF1,SS18,STAT2,STIP1,STMN1,SUMO1,SUMO2,SUMO3,SWAP70,TALDO1,TAP2,TAPBP,TARDBP,TDO2,TFB2M,TFRC,TGFBI,TGM2,THBS1,TK1,TMOD3,TPI1,TRADD,TRAF1,TRIM21,TRIM25,TXN,UBE2I,UBE2L6,UBR7,UTP18,VIM,WTAP,YWHAZ,ZYX	264 (83)	76
CD19	 	transmembrane receptor	CCAR2,CCND1,CD19,CEBPB,DUSP1,ELAVL1,ERK,ERK1/2,FOXO1,GSK3B,HMGA1,IRF3,LIN28A,MAP2K1,MAPK1,MAPK14,MMP12,MMP2,MMP9,MYC,NCL,NFkB (complex),NOS2,Notch,P38 MAPK,PDGFRB,PI3K (family),PPARG,RARA,RELA,RHOA,RPS6KB1,RUNX2,RXRA,SP1,SREBF1,STAT3,SYK,TP53	3	Inhibited	-2.427	3.02E-19	8.80E-03	ABCB1,ABCC1,ACTB,AHNAK,AK1,ALB,ALCAM,ANO10,APOB,APOBEC3F,APOBEC3G,ARF4,ARHGDIB,ARPC5L,ARRB1,ATP6AP2,AURKA,B2M,BAG1,BCLAF1,BCOR,BID,BUB1B,BZW2,C11orf58,C3,CAP2,CASP1,CBS/CBSL,CCL4,CD36,CD55,CD82,CEBPA,CES2,CLEC11A,CNDP2,COL1A1,COL1A2,COX5A,CP,CTSD,CTSL,CYCS,CYP51A1,DDX58,DHCR24,DHCR7,DNAJC21,DNMT1,DOCK8,DR1,DUT,ECM1,EEF1B2,EFEMP1,EHD1,EIF2AK2,EIF4E,ENG,ENY2,ERAP1,ERP29,EZR,FABP5,FAM3C,FCER1G,FDPS,FKBP3,FN1,FOSL1,FUBP1,G3BP1,GBP1,GDF15,GOLGA2,GPNMB,GTF2B,HERC5,HINT1,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HMGB1,HMGN2,HMOX1,HNRNPD,HYOU1,IDI1,IFI16,IFI35,IFIH1,IFIT2,IFIT3,IGFBP7,IL1RN,INIP,IPO7,IRF2BP2,IRF5,ISCU,ITIH2,JUN,JUND,KAT2B,KRT10,KYNU,LAP3,LASP1,LGALS1,LGALS3,LUM,MAD1L1,MAP4K4,MARCKS,MEF2D,MGST2,MIF,MKI67,MMP2,MMP9,MTA1,MVP,MX1,MX2,NAMPT,NCL,NDRG1,NFATC2,NFKB2,NPM1,NRP1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PDCD4,PFKP,PGLS,PHGDH,PLIN2,PML,POLDIP3,POLR2D,POSTN,PPM1A,PPP3CA,PPP4R2,PRAG1,PREX1,PRMT1,PSIP1,PSME2,PSME3,PTPN2,PTPN6,PXN,RAB4B,RAD23A,RALY,RCC1,RCSD1,RGS1,RHOC,RMDN3,RNASET2,ROCK1,RPL11,RPL13,RPL27A,RPS27L,RRAD,RUNX1,S100A11,S100A8,SAMD9,SAR1A,SEC61B,SERPINE2,SFPQ,SHBG,SLC2A1,SPRY2,SRFBP1,ST14,STAT2,STMN1,SUMO1,SUMO2,SUMO3,SYPL1,TAGLN2,TALDO1,TANK,TAP1,TAPBP,TARDBP,TDO2,TFRC,TGM2,THBD,TPI1,TPM1,TPX2,TRADD,TREM2,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM,WTAP,YWHAH,ZFP91	220 (39)	38
Mek	 	group	Akt,AXL,CCAR2,CCND1,CDKN1B,CEBPA,CEBPB,CREB1,CTNNB1,DUSP1,EGFR,EIF2A,ELAVL1,ELK1,ERK,ERK1/2,ERN1,estrogen receptor,EZH2,FOS,FOSL1,GLI1,HMGA1,HSF1,IGF1R,IRF3,ITGB4,JAK1,JAK2,JUNB,KRAS,LEF1,LMNA,LRP6,Mapk,MAPK9,MDM2,MED1,Mek,MET,MMP12,MTORC1,MYC,NCL,Notch,NOTCH1,NR3C1,NR4A1,NRF1,P38 MAPK,PDGFRA,PDGFRB,PGR,PLK1,PPARG,PRKAA,PRKAA1,PRKDC,RB1,RHOA,RUNX2,RXRA,SHC1,SMAD2,SMAD3,SNAI1,SREBF1,STAT1,STAT5a/b,TP53,TP73,TSC2,YAP1	3	 	-1.068	3.89E-19	3.63E-02	A2M,ABCB1,ABCC1,ACSL1,ACTB,AHNAK,AK1,ALCAM,APOB,APOBEC3F,APOBEC3G,APOC3,ARF4,ARPC5,ARRB1,AURKA,B2M,BABAM2,BAG1,BAG3,BAX,BCLAF1,BCOR,BID,BUB1B,BZW2,C11orf58,C3,C4A/C4B,CAP2,CAPG,CASP1,CBX3,CBX5,CCL4,CD47,CDK6,CDKN2C,CEBPA,CES2,CLEC11A,CLTC,CMPK2,CNDP2,CNIH4,COL1A1,COL1A2,COL6A1,COL9A2,COX5A,CPT2,CSF1R,CTSD,CTSL,CTSS,CYCS,CYP51A1,DAB2,DDX58,DDX60,DEGS1,DHCR7,DNMT1,DPYSL2,DR1,DUT,DYNLL1,ECM1,EDF1,EEF1B2,EFHD2,EHD1,EIF2AK2,EIF4E,ELANE,ELOB,ELOC,ENDOD1,ENG,ERLEC1,ERMP1,EZR,FAM3C,FBLN1,FGFR1OP2,FHL1,FKBP3,FLI1,FUBP1,G3BP1,GBP1,GBP2,GBP4,GLB1,GLUL,GOLGA2,GOT1,GPNMB,GSTP1,GTF2B,H1-0,H1-10,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HMGB1,HMGB2,HMGN2,HMOX1,HSPB1,HSPE1,HYOU1,IDI1,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP2,IGFBP7,IGLL1/IGLL5,IL1RN,IPO7,IRF5,IRF8,ISCU,ISG15,ITIH2,JUN,JUND,KRT10,LAMP1,LAMP2,LASP1,LGALS1,LGALS3,LPL,LSM3,LTF,LUM,LYZ,MAD1L1,MAFF,MAP4K4,MARCKS,MBOAT7,MEF2D,METAP2,METTL3,MGST2,MIF,MKI67,MMP2,MMP9,MRPL18,MTA1,MX1,MX2,NAMPT,NASP,NCL,NCOA7,NCOR1,NDUFB8,NFKB1,NFKB2,NPEPL1,NRGN,NT5E,OAS1,OAS2,OAS3,OASL,OGFRL1,PARP14,PCK2,PDCD4,PDIA3,PDLIM1,PEA15,PEBP1,PFKP,PHGDH,PIN1,PLAU,PLG,POLDIP3,POLR2D,POSTN,PPIA,PPM1A,PPP3CA,PPP3CB,PPP4R2,PRAG1,PRMT1,PSEN1,PSMB3,PSMB7,PSMD3,PSME3,PTPN1,PTPN6,RAB4B,RAB5C,RAB8B,RABGAP1L,RALY,RANBP1,RBL2,RCC1,RELA,RFTN1,RHOC,RMDN3,RNASET2,ROCK1,RPL11,RPL13,RPL27A,RPL31,RPS27L,RRAD,RSAD2,RUNX1,S100A11,S100A6,S100A8,SCPEP1,SEC61A1,SEC61B,SERPINB9,SERPINF1,SERPINH1,SET,SHBG,SLC7A11,SLC9A3R1,SMC1A,SOD1,SPRY2,SRC,SRFBP1,SRSF1,SSBP1,ST13,ST14,STAT1,STAT6,STMN1,SUMO1,SUMO2,SUMO3,SYPL1,SYVN1,TAGLN2,TALDO1,TANK,TAP1,TAPBP,TFB2M,TFRC,TGM2,THBD,TMPO,TMSB10/TMSB4X,TPI1,TPM1,TPX2,TRADD,TRAF1,TREM2,TRIM21,TTC13,UBE2I,UBE2J1,VIM,WTAP,YWHAH,YY1,ZDHHC3,ZYX	284 (73)	68
UCN	 	other	Akt,CCND1,CREB1,DUSP1,EGFR,ELK1,ERK,LIN28A,Mapk,MAPK1,MAPK14,MAPK3,NFkB (complex),RARA,RB1,RXRA,STAT5a/b,UCN	3	Inhibited	-2.668	4.31E-19	4.00E-04	ABCB1,ACTB,AHNAK,ANO10,APOBEC3G,APOC3,ARPC5L,AURKA,BAX,BCLAF1,C11orf58,C3,CCL4,CD44,CDK1,CDK6,CDKN2C,CEBPB,CHI3L1,COL1A1,CP,CTSS,DAB2,DDX58,DNAJC21,DNMT1,DR1,EEF1B2,EFEMP1,EHD1,EIF2AK2,ENY2,ERAP1,ERP29,FABP5,FN1,FOSL1,G3BP1,GBP1,HERC5,HK2,HLA-B,HLA-C,HLA-E,HLA-F,HMOX1,HNRNPD,HSPB1,IDI1,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP3,INIP,ISG15,ITIH2,JUN,KRT10,KYNU,LAP3,LASP1,LGALS1,LUM,MAP4K4,MAPK3,MARCKS,MKI67,MMP2,MMP9,MTA1,MVP,MX2,NAMPT,NDRG1,NDUFB8,NFKB1,NFKB2,NRP1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PEA15,PGLS,PLAU,PLG,PML,POSTN,PPIA,PSEN1,PSMB3,PSMB7,PSME2,PXN,RBL2,RELA,RFTN1,RMDN3,RPL13,RPL27A,RSAD2,SAMD9,SAR1A,SEC61B,SFPQ,SOD1,SPRY2,SRSF1,STAT1,STAT2,STIP1,TALDO1,TAP1,TAPBP,TARDBP,TDO2,TGFB1,TGM2,THBD,THBS1,TPI1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM,WTAP	135 (18)	17
PTPRK	 	phosphatase	AKT1,Ap1,CCND1,CEBPB,CTNNB1,DUSP1,EGFR,EGR1,ERBB3,ERK,ERK1/2,GSK3B,HDAC6,HIF1A,Jnk,JUN,MAP2K1/2,Mapk,MAPK1,MET,MMP9,NFkB (complex),NOS2,Notch,P38 MAPK,PARP1,PGR,PPARG,PTPRK,PXN,RELA,RHOA,RUNX2,RXRA,SHC1,SMAD3,SP1,STAT1,STAT3,TAB1	3	 	1.474	4.33E-19	5.00E-03	ABCB1,ACSL1,AHNAK,ALB,APOB,APOBEC3G,APOC3,APOE,ARHGDIB,ARRB1,ATP6AP2,AURKA,B2M,BAX,BCLAF1,C11orf58,C4A/C4B,CARS1,CBS/CBSL,CCL4,CD14,CD47,CD55,CDK1,CDK6,CDKN2C,CEBPA,CEBPB,CHI3L1,CLEC11A,COL1A1,COX4I1,CPT2,CTSL,CTSS,DDX58,DDX60,DNMT1,DOCK8,DPYSL2,DR1,DYNLL1,EEF1B2,EHD1,EIF2AK2,EIF4E,ERP29,EZR,FABP5,FHL1,FLI1,FOSL1,G3BP1,GBP1,GBP2,GBP4,GDF15,GLUL,GOLGA2,GOT1,GSTP1,H2AX,HINT1,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HMGB2,HSPB1,IFI35,IFI44L,IFIH1,IFIT1,IFIT3,IGF2,IGFBP3,IRF2BP2,IRF5,ISG15,ITGB5,ITIH2,JUN,JUND,KAT2B,KRT10,KYNU,LAP3,LASP1,LUM,MAP4K4,MARCKS,MBD2,MIF,MKI67,MMP2,MMP9,MTA1,MVP,MX1,MX2,NAMPT,NDRG1,NDUFB8,NFATC2,NFKB1,NFKB2,NPM1,NUCKS1,NUDCD2,NUP188,OAS2,OAS3,OASL,PARP12,PDLIM1,PFDN1,PFKP,PHGDH,PLAU,PLIN2,PML,POSTN,PPIA,PPP3CA,PRMT1,PSIP1,PSMB3,PSMB7,PSME2,PTPN1,PTPN2,PXN,RAB4B,RAD23A,RELA,RGS1,RHOC,RMDN3,RPL13,RPL27A,RSAD2,RUNX1,S100A11,S100A4,SAR1A,SEC61B,SERPINE2,SHBG,SLC7A11,SLC9A3R1,SOD1,SPRY2,SRC,SRFBP1,SRSF1,STAT1,STAT2,STMN1,TALDO1,TAP2,TAPBP,TDO2,TFRC,TGFBI,TGM2,THBD,THBS1,TK1,TMOD3,TMSB10/TMSB4X,TPI1,TPM1,TRADD,TRIM21,TRIM25,TXN,UBE2I,UBE2L6,UTP18,VIM,ZFP91,ZYX	184 (40)	39
EDA	 	cytokine	AKT1,Ap1,CCND1,CEBPB,CTNNB1,DUSP1,EDA,EGFR,EGR1,ERBB3,ERK,ERK1/2,GSK3B,HDAC6,HIF1A,Jnk,JUN,MAP2K1/2,Mapk,MAPK1,MET,MMP9,NFkB (complex),NOS2,Notch,P38 MAPK,PARP1,PGR,PPARG,PXN,RELA,RHOA,RUNX2,RXRA,SHC1,SMAD3,SP1,STAT1,STAT3,TAB1	3	 	-1.474	4.69E-19	5.10E-03	ABCB1,ACSL1,AHNAK,ALB,APOB,APOBEC3G,APOC3,APOE,ARHGDIB,ARRB1,ATP6AP2,AURKA,B2M,BAX,BCLAF1,C11orf58,C4A/C4B,CARS1,CBS/CBSL,CCL4,CD14,CD47,CD55,CDK1,CDK6,CDKN2C,CEBPA,CEBPB,CHI3L1,CLEC11A,COL1A1,COX4I1,CPT2,CTSL,CTSS,DDX58,DDX60,DNMT1,DOCK8,DPYSL2,DR1,DYNLL1,EEF1B2,EHD1,EIF2AK2,EIF4E,ERP29,EZR,FABP5,FHL1,FLI1,FOSL1,G3BP1,GBP1,GBP2,GBP4,GDF15,GLUL,GOLGA2,GOT1,GSTP1,H2AX,HINT1,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HMGB2,HSPB1,IFI35,IFI44L,IFIH1,IFIT1,IFIT3,IGF2,IGFBP3,IRF2BP2,IRF5,ISG15,ITGB5,ITIH2,JUN,JUND,KAT2B,KRT10,KYNU,LAP3,LASP1,LUM,MAP4K4,MARCKS,MBD2,MIF,MKI67,MMP2,MMP9,MTA1,MVP,MX1,MX2,NAMPT,NDRG1,NDUFB8,NFATC2,NFKB1,NFKB2,NPM1,NUCKS1,NUDCD2,NUP188,OAS2,OAS3,OASL,PARP12,PDLIM1,PFDN1,PFKP,PHGDH,PLAU,PLIN2,PML,POSTN,PPIA,PPP3CA,PRMT1,PSIP1,PSMB3,PSMB7,PSME2,PTPN1,PTPN2,PXN,RAB4B,RAD23A,RELA,RGS1,RHOC,RMDN3,RPL13,RPL27A,RSAD2,RUNX1,S100A11,S100A4,SAR1A,SEC61B,SERPINE2,SHBG,SLC7A11,SLC9A3R1,SOD1,SPRY2,SRC,SRFBP1,SRSF1,STAT1,STAT2,STMN1,TALDO1,TAP2,TAPBP,TDO2,TFRC,TGFBI,TGM2,THBD,THBS1,TK1,TMOD3,TMSB10/TMSB4X,TPI1,TPM1,TRADD,TRIM21,TRIM25,TXN,UBE2I,UBE2L6,UTP18,VIM,ZFP91,ZYX	184 (40)	40
ACKR3	 	G-protein coupled receptor	ACKR3,Ap1,CCND1,CEBPA,CEBPB,CHEK1,CTNNB1,DUSP1,EGFR,EGR1,ERBB3,ERK,ERK1/2,GSK3B,HDAC6,HIF1A,JUN,MAP2K1/2,Mapk,MAPK1,MED1,MET,MMP2,MMP9,MTOR,NFkB (complex),NOS2,Notch,P38 MAPK,PARP1,PGR,PPARG,RELA,RHOA,RPS6KB1,RUNX2,RXRA,SHC1,SMAD3,SP1,STAT1,STAT3,TAB1,TERT	3	 	-1.697	4.70E-19	9.00E-03	A2M,ABCB1,ACSL1,AHNAK,APOB,APOBEC3G,APOC3,APOE,ARHGDIB,ARRB1,ATP6AP2,AURKA,B2M,BAX,BCLAF1,C11orf58,C3,C4A/C4B,CARS1,CASP1,CBS/CBSL,CCL4,CD14,CD44,CD47,CD55,CDK1,CDK6,CDKN2C,CEBPA,CHI3L1,CLEC11A,CLTC,COL1A1,COX4I1,CPT2,CTSL,CTSS,DDX58,DDX60,DHCR24,DNMT1,DOCK8,DPYSL2,DR1,DYNLL1,EDF1,EEF1B2,EIF2AK2,EIF4E,ERMP1,ERP29,EZR,FABP5,FHL1,FLI1,FN1,FOSL1,G3BP1,GBP1,GBP2,GBP4,GDF15,GLUL,GOLGA2,GOT1,GSTP1,H1-10,H2AX,HINT1,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HMGB2,HSPB1,IFI35,IFI44L,IFIH1,IFIT1,IFIT3,IGF2,IGFBP3,IGLL1/IGLL5,IL1RN,IRF2BP2,IRF5,IRF8,ISG15,ITIH2,JUN,JUND,KAT2B,KRT10,KYNU,LAP3,LASP1,LTF,LUM,MAD1L1,MAP4K4,MARCKS,MBD2,MIF,MKI67,MMP2,MMP9,MTA1,MVP,MX1,MX2,NAMPT,NDRG1,NDUFB8,NFATC2,NFKB1,NFKB2,NPM1,NUCKS1,NUDCD2,NUP188,OAS2,OAS3,OASL,PARP12,PDLIM1,PFDN1,PFKP,PHGDH,PLAU,PLIN2,PML,POSTN,PPIA,PPP3CA,PPP3CB,PRMT1,PSIP1,PSMB3,PSMB7,PSME2,PTPN1,PTPN2,PXN,RAB4B,RABGAP1L,RAD23A,RELA,RGS1,RHOC,RMDN3,RPL13,RPL27A,RSAD2,RUNX1,S100A11,S100A4,S100A9,SAR1A,SCPEP1,SEC61B,SERPINE2,SERPINF1,SHBG,SLC7A11,SLC9A3R1,SOD1,SPRY2,SRFBP1,SRSF1,STAT1,STAT2,STMN1,TALDO1,TANK,TAP1,TAP2,TAPBP,TDO2,TFRC,TGFBI,TGM2,THBS1,TK1,TMOD3,TMSB10/TMSB4X,TPI1,TPM1,TRADD,TRIM21,TRIM25,TXN,UBE2I,UBE2L6,UTP18,VIM,ZFP91,ZYX	200 (44)	43
