© 2000-2021 QIAGEN. All rights reserved.

Master Regulator	Expr Log Ratio	Molecule Type	Participating regulators	Depth	Predicted Activation	Activation z-score	p-value of overlap	Network bias-corrected p-value	Target Molecules in Dataset	Causal network	Target-connected regulators
CST5	 	other	CST5	1	 	-1.492	3.91E-22	1.00E-04	ABCC1,ACAT2,ADSL,AHNAK,ANXA3,BCAP31,BRIX1,C17orf49,CEBPZ,CEP170,CHD3,CNBP,COPS8,CORO1A,CREBBP,DDT,DECR1,DHX9,DNAJA3,DNAJB11,DR1,DRAP1,EEF1B2,EEF1D,EIF5B,EZR,FHL1,GNL3,GTPBP10,HNRNPA2B1,HNRNPA3,HNRNPC,HNRNPDL,KRR1,LOC102724159/PWP2,MRM3,MSN,MYCBP2,NCL,NDUFC2,NIP7,NOL9,NRP1,NT5DC3,NT5E,NUP107,NUP155,NUP188,NUP205,PCBP1,PDLIM5,PIP4K2A,PITRM1,PPIC,PRDX1,PRDX2,PRKACB,PRPF8,PUF60,RBM3,RNASEH2B,RRS1,RTN3,S100A11,SLC4A1AP,SLC7A11,SRSF1,SRSF4,SRSF9,SSRP1,SUPV3L1,TARDBP,TBL3,TOMM22,TOMM40,TRRAP,TXN,UCHL5,UTP14A,VASP,VDAC1,VDAC2,VIM,VPS36,WDR3,WDR36,WDR77,ZCCHC8	88 (1)	1
Igm	 	complex	Akt,AR,ATF1,ATF6,ATM,CASP8,CCAR2,CCND1,CCNE1,CEBPA,CEBPB,CREB1,E2f,ELAVL1,ERK,ERK1/2,EZH2,F3,FOXO3,FYN,HMGA1,HNRNPA1,Igm,Jnk,JUN,KAT5,LIN28A,LRP6,MAP2K1,Mapk,MAPK1,MAPK14,MED1,MYC,NFKB1,Notch,NR3C1,NR4A1,P38 MAPK,PGR,PHB,PHB2,PI3K (family),PLC,PLCG1,PPARG,PPARGC1A,PRKCZ,RAC1,RARA,RB1,RHOA,RUNX2,RXRA,SREBF1,SYK,TERT,TOPBP1,TP53,TP63,YAP1,YBX1	3	 	-0.985	4.03E-22	1.00E-04	A2M,ABCC1,ACADM,ACO1,ACSL3,ACTR3,ADH5,AHNAK,AK1,AKR1B1,AKT2,ALB,ALCAM,ALDH18A1,ALDOA,ALOX5,ANO10,APEX1,APOB,APOBEC3F,APOC3,ARHGAP1,ARPC1B,ARPC5L,ARRB1,ATG9A,ATP2A2,AURKA,BABAM2,BAG1,BAX,BCAT1,BID,C11orf58,C3,CAPN2,CBR1,CD151,CD36,CD55,CD82,CDC42,CELF2,CES2,CFI,CHD3,CKAP4,CLEC11A,CLTC,CNDP2,CNN3,COL1A1,COQ8A,CP,CPOX,CPT2,CSE1L,CSRP1,CSTA,CTSL,CYP51A1,DAP3,DEGS1,DHCR7,DNAJB11,DNAJC21,DNM1,DNM1L,DNMT1,DPYSL2,DR1,DTYMK,DUT,DYNLL1,EDF1,EEF1A2,EEF1B2,EFEMP1,EGR2,EHD1,EIF1AX,EIF4E,EIF4G1,EIF5,ELAVL1,ENO1,ENO3,ENY2,ERAP1,ERBIN,ERCC2,ERMP1,ERO1A,EZH2,EZR,FABP4,FADS2,FAM3C,FBP1,FBXO22,FDPS,FDXR,FEN1,FKBP3,FKBP4,FKBP5,FN1,FUBP1,FUS,G3BP1,GABPA,GAPDH,GART,GBP1,GCLC,GCLM,GDF15,GDI1,GGH,GIGYF2,GLS,GLUL,GNL3,GSK3A,GSPT1,GSR,GSS,GSTM3,H1-10,HLA-A,HLA-B,HLA-C,HLA-E,HMGB1,HMGN2,HMOX1,HNRNPD,HNRNPF,HSD17B12,HSP90AA1,HSPA1A/HSPA1B,HSPA4L,HSPA8,IDI1,IFI16,IFI35,IFIT3,IGFBP2,IGFBP7,IGLL1/IGLL5,IL1RAP,ILK,INIP,IREB2,IRF8,ITGB2,ITGB5,ITIH2,JUND,KHSRP,KIF2A,LAP3,LASP1,LGALS1,LGALS3,LMAN1,LTF,MAP2K2,MAPK1,MARCKS,MATK,ME1,ME2,MECP2,MED15,METTL7A,MGST2,MIF,MKNK1,MPG,MRPL20,MSMO1,MST1,MVD,MX2,MYD88,MYH11,MYO6,NAP1L1,NCL,NCOA7,NDRG1,NDUFS2,NIBAN1,NIBAN2,NME1,NMI,NQO1,NT5E,NUP188,OAS2,OASL,P4HA1,PAPOLA,PCNA,PCYT1A,PDCD4,PDHA1,PDHX,PDIA4,PDIA5,PDLIM1,PEA15,PFKP,PGLS,PHGDH,PLD1,PLG,PNPT1,POLDIP3,POLR2D,POSTN,PPCS,PPM1A,PPP1CA,PPP2CA,PPP3CB,PPP4C,PPP4R2,PRAG1,PRDX2,PREP,PREX1,PRPF4,PSAT1,PSEN1,PSMB10,PSMB9,PSME2,PTGS1,PTPN11,PTPN6,PTPRE,PXN,PYCR1,QKI,RAB4B,RAD50,RAN,RASA1,RBL2,RBP4,RCSD1,RFC3,RMDN3,ROCK1,ROCK2,RPA1,RPL11,RPL13,RPL5,RRAD,S100A11,S100A9,SAE1,SAMD9,SCD,SDHB,SEC24D,SEL1L,SEPTIN2,SEPTIN6,SERPINB1,SERPINB8,SERPINB9,SERPINF1,SFPQ,SHBG,SIRT6,SLC2A1,SMARCC1,SPRY2,SQSTM1,SRFBP1,SRSF2,SRSF3,STAT1,STMN1,SUMO1,SUMO2,SUMO3,SUN2,SYK,SYNE3,SYPL1,TAGLN2,TALDO1,TAP2,TAPBP,TARDBP,TBC1D2,TFRC,TGFB1,TIMP2,TK1,TLN1,TMED10,TOP1,TPI1,TPM1,TRIM21,TUBA1C,TUBB,TUBB2A,TUFM,TXN,TYMP,UBA2,UBE2I,UBE2L6,UGP2,UQCRC2,UQCRQ,VASP,VDAC1,VIM,VKORC1L1,VPS29,WIPF1,WRN,XPO1,YBX1,YWHAH,YWHAZ	334 (62)	59
ASPSCR1-TFE3	 	fusion gene/product	AKT1,ASPSCR1-TFE3,ERK1/2,ESR1,FOXO3,HSF1,MTOR,MYC,NFkB (complex),RHOA,RPS6KB1,SIRT1,TFEB,TP53,ULK1	3	 	-1.624	6.56E-21	1.00E-04	ACLY,ACO1,ACSL3,ACTB,AHNAK,AK1,AKT1,ALCAM,ALDH18A1,ALOX5,ANO10,APOE,ARHGAP1,ARPC1B,ARPC5L,ARRB1,ARSB,ASS1,ATG7,ATP6V0A1,AURKA,BAG1,BAG3,BAX,BCAS3,BCAT1,BID,BUB1B,CASP1,CASP4,CASP8,CAST,CBX3,CD151,CD36,CD63,CD81,CELF2,CES2,CHD3,CLEC11A,COL1A1,COL3A1,CP,CPOX,CTCF,DHCR24,DIAPH1,DNAJC21,DNM1,DR1,DUT,EFEMP1,EGR2,EIF4A2,EIF4E,EIF4G1,ELAVL1,ELOC,ENG,ENO1,ENY2,EPS15L1,ERAP1,EZH2,EZR,FABP4,FABP5,FAM3C,FBLN1,FBXO22,FDXR,FEN1,FKBP3,FKBP4,FKBP5,FOSL1,FUBP1,GART,GBP1,GCLC,GCLM,GDF15,GIGYF2,GLS,GNL3,GSK3A,GSK3B,GSS,HDAC2,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HMGB1,HMGN2,HMOX1,HNRNPA3,HNRNPD,HSP90AB1,HSPA1A/HSPA1B,HSPA4L,HSPA8,HSPB1,HSPH1,IDH2,IFI35,IFIT3,IGFBP7,IL1B,IL1RN,INIP,IREB2,ITGB5,JMJD6,KIF2A,KYNU,LBR,LEMD3,LGALS1,LGALS3,LSM2,MAFF,MAP2K2,MAPK1,MBOAT7,ME1,ME2,METTL7A,MFSD1,MGST2,MKNK1,MRPL18,MST1,MX2,MYD88,MYH11,MYO6,MYOF,NAMPT,NASP,NDRG1,NME1,NOLC1,NPM1,NQO1,NT5E,OASL,PACSIN2,PCNA,PDHA1,PDHX,PEPD,PFKP,PGK1,PGLS,PHGDH,PIP4P1,PKM,PLAUR,POLDIP3,POLR2D,PPM1A,PPP1CA,PPP2CA,PPP3CA,PPP4C,PPP4R2,PRAG1,PREP,PSMB10,PSMB9,PTPN11,PTPN12,PTPN6,PTPRE,PXN,PYCR1,RAB32,RAB4B,RAB7A,RAD23A,RANBP1,RANGAP1,RFC3,RPL11,RPL5,RSAD2,S100A4,SAE1,SAMD9,SEL1L,SERPINH1,SFPQ,SHC1,SIRT6,SLC7A11,SOD1,SPR,SQSTM1,SREBF2,SRSF1,SRSF3,ST13,STAT1,STAT3,STIP1,STMN1,STOM,SUMO1,SUMO2,SUMO3,TACC1,TAGLN2,TANK,TDO2,TFAM,TFRC,TGFB1,THBS1,THEM6,TMSB10/TMSB4X,TOP2A,TUBB,UAP1L1,UBA2,UBE2I,UQCRQ,VAT1,VIM,VPS26A,VPS35,WBP2,WRN,YBX1,YWHAH	237 (15)	15
TXNIP	 	other	AKT1,CASP8,ERK1/2,ESR1,FOXO3,HSF1,IL1B,Inflammasome (Nalp3, Asc, Casp1),JAK1,JAK2,Jnk,MTOR,MYC,NFKB1,PARP1,PTPN6,RHOA,RPS6KB1,SIRT1,TFEB,TP53,TXN,TXNIP,ULK1	3	 	1.234	3.70E-20	1.00E-04	ACLY,ACO1,ACSL3,ACTB,AHNAK,AK1,AKR1B1,AKT1,ALCAM,ALDH18A1,ALDOA,ALOX5,AMPD3,ANO10,APOA1,APOB,APOE,ARHGAP1,ARPC1B,ARPC5L,ARRB1,ARSB,ASS1,ATXN10,AURKA,BAG1,BAG3,BAX,BCAS3,BCAT1,BID,BUB1B,CASP1,CASP8,CBX3,CD151,CD36,CD63,CD81,CDK6,CELF2,CES2,CHD3,CLEC11A,COL1A1,COL3A1,CP,CPOX,CS,CSE1L,DBI,DHCR24,DIAPH1,DNAJC21,DNM1,DR1,DUT,EFEMP1,EGR2,EIF4A2,EIF4E,EIF4G1,ELAVL1,ENG,ENO1,ENY2,EZH2,EZR,FABP4,FAM3C,FBLN1,FBXO22,FDXR,FEN1,FKBP3,FKBP4,FKBP5,FOSL1,FSCN1,FUBP1,G6PD,GAPDH,GART,GBP1,GCLC,GCLM,GIGYF2,GLS,GNL3,GSK3A,GSK3B,GSS,HDAC1,HLA-B,HLA-C,HMGB1,HMGN2,HNRNPA3,HNRNPD,HSP90AB1,HSPA1A/HSPA1B,HSPA4L,HSPA8,HSPB1,HSPH1,IDH1,IDH2,IFI16,IFI35,IFIT3,IGFBP7,IL1RN,INIP,IREB2,ITGB5,ITPR1,JMJD6,KHSRP,KIF2A,LBR,LCP1,LDHA,LEMD3,LGALS1,LGALS3,LSM2,MAP2K2,MAPK1,MBOAT7,MDH2,ME1,ME2,METTL7A,MGST2,MIF,MKNK1,MRPL18,MST1,MX2,MYD88,MYH11,MYO6,NASP,NAT1,NDRG1,NME1,NMI,NOLC1,NPM1,NQO1,NRP1,NT5E,NVL,OASL,PCNA,PDHA1,PDHX,PDP1,PFDN1,PFKP,PGK1,PGLS,PHGDH,PIP4P1,PKM,PLAUR,POLDIP3,POLR2D,PPM1A,PPP1CA,PPP2CA,PPP3CA,PPP4C,PPP4R2,PRAG1,PREP,PSEN1,PSMB10,PTPN11,PTPN12,PTPN6,PTPRE,PYCR1,RAB4B,RAD23A,RANBP1,RANGAP1,REL,RFC3,RPL11,RPL5,RSAD2,S100A4,SAE1,SAMD9,SEL1L,SERPINH1,SET,SFPQ,SHC1,SIRT6,SLC7A11,SOD1,SPR,SQSTM1,SREBF2,SRGN,SRSF1,SRSF3,ST13,STAT1,STIP1,STMN1,STOM,SUMO1,SUMO2,SUMO3,TACC1,TAGLN2,TANK,TFAM,TFRC,THBS1,TMOD3,TMSB10/TMSB4X,TOP2A,TPI1,TUBB,UBA2,UBE2I,UQCRQ,VIM,VPS26A,VPS35,WRN,YBX1,YWHAH	237 (24)	23
EGF	 	growth factor	Akt,AKT1,AMPK,AR,ATF1,ATF2,ATF6,ATM,BCL2,BMX,CCND1,CCNE1,CEBPA,CEBPB,CHEK2,Creb,CREB1,CTNNB1,DUSP1,EGF,EGFR,EGR1,ERBB2,ERBB3,ERBB4,ERK,ERK1/2,ESR1,ESRRA,EZH2,FOS,HDAC6,HGS,HIF1A,HNRNPA1,HRAS,HSF1,IKBKB,INSR,IRF3,ITGAV,JINK1/2,Jnk,JUN,KAT5,KRAS,LCK,LIN28A,LRP6,MAP2K1,Mapk,MAPK1,MAPK3,MAPK8,MAPKAPK2,MDM2,MED1,Mek,MET,MMP1,MMP12,MMP14,MMP2,MMP9,MTOR,MYC,NCOA3,NFAT5,Notch,NR3C1,NR4A1,P38 MAPK,PGR,PI3K (complex),PI3K (family),PPARGC1A,PRKCD,PRKCZ,PTEN,PTK2,RAC1,RAF1,Rap1,RARA,RELA,RPS6KB1,RUNX2,RXRA,SHC1,SIRT1,SMAD3,SP1,SREBF2,STAT1,STAT3,STAT5a/b,TFEB,TOPBP1,TP53,TP63,TSC2	3	Inhibited	-2.670	7.09E-20	2.06E-02	A2M,ABCC1,ABCE1,ACADM,ACLY,ACO1,ACO2,ACSL3,ACTR3,ADAM10,ADH5,AFP,AK1,AKR1B1,AKT1,AKT2,ALCAM,ALDH18A1,ALDOA,ALDOC,ALOX5,ANO10,APEX1,APOB,APOC3,APOE,ARHGAP1,ARHGDIB,ARPC1B,ARPC5L,ARRB1,ARSB,ASNS,ASS1,ATG7,ATG9A,ATP2A2,ATP6AP2,AURKA,B3GALT6,BABAM2,BAG1,BAG3,BAX,BCAS3,BCAT1,BID,BPNT2,BUB1B,C11orf58,C3,C4A/C4B,CAPN2,CARS1,CASP1,CASP4,CBR1,CBS/CBSL,CBX3,CCL4,CD14,CD151,CD36,CD47,CD55,CD63,CD81,CD82,CDC27,CDC37,CDC42,CDKN2C,CEBPZ,CELF2,CES2,CHD3,CHD7,CHI3L1,CKAP4,CLEC11A,CLTC,COL6A3,COQ8A,CPM,CPOX,CPT2,CSTA,DAP3,DDX60,DEGS1,DHCR24,DHCR7,DIAPH1,DNAJB11,DNAJC21,DNM1,DNM1L,DNMT1,DPYSL2,DR1,DUT,DYNLL1,EDF1,EEF1A1,EEF1A2,EEF1B2,EGLN1,EGR2,EHD1,EIF1AX,EIF4A2,EIF4E,EIF4G1,EIF5,ENG,ENO1,ENO3,ENY2,ERBIN,ERCC2,ERMP1,ERO1A,EZH2,EZR,FABP4,FADS2,FAM3C,FBLN1,FBP1,FBXO22,FDPS,FDXR,FHL1,FKBP3,FKBP4,FKBP5,FLI1,FOSL1,FSCN1,FUS,G3BP1,GABPA,GAPDH,GART,GBP2,GCLC,GCLM,GDF15,GDI1,GGH,GIGYF2,GLO1,GLS,GLUL,GNL3,GOT1,GSK3A,GSK3B,GSN,GSPT1,GSTM3,GSTP1,H1-10,H2BC12,HINT1,HLA-A,HLA-B,HLA-C,HM13,HMGB1,HMGB2,HMGN2,HNRNPA1,HNRNPA2B1,HNRNPA3,HNRNPD,HNRNPF,HSD17B12,HSP90AA1,HSP90AB1,HSP90B1,HSPA1A/HSPA1B,HSPA4L,HSPA8,HSPH1,IDH1,IDH2,IDH3A,IDI1,IGF2,IGFBP2,IGLL1/IGLL5,IL1B,IL1RAP,ILK,INIP,IREB2,IRF2,IRF2BP2,IRF8,ITGB2,ITIH2,JUND,KHSRP,KIF2A,LAP3,LASP1,LCP2,LDHA,LDHB,LGALS1,LGALS3,LIMS1,LMAN1,LPL,LSM2,LTF,LUM,LYZ,MAP2K1,MAP2K2,MAPK1,MARCKS,MAT2A,MATK,MBOAT7,MCM2,ME1,ME2,MECP2,METTL3,METTL7A,MGST2,MIF,MKNK1,MMP2,MMP9,MPG,MRPL18,MRPL20,MRPS11,MSMO1,MST1,MX2,MYD88,MYH11,MYO6,NAE1,NAMPT,NAP1L1,NASP,NCF1,NCOA7,NDRG1,NIBAN1,NIBAN2,NME1,NMI,NNT,NOLC1,NPM1,NQO1,NUCKS1,NUDCD2,NUDT1,NUP188,NUP210,OAS2,OASL,P4HA1,PAICS,PCNA,PCYT1A,PDCD4,PDHX,PDIA4,PDIA5,PDLIM1,PDLIM7,PEA15,PELP1,PGK1,PGLS,PHB,PIP4P1,PKM,PLCG2,PLD1,PLG,PNPT1,POLDIP2,POLDIP3,POLR2D,POSTN,PPAT,PPIA,PPM1A,PPM1F,PPP1CA,PPP1R3D,PPP2CA,PPP2R1A,PPP3CB,PPP4C,PPP4R2,PRAG1,PRDX2,PREP,PREX1,PRKAR1A,PRPF4,PSAT1,PSEN1,PSMB1,PSMB10,PSMB7,PSMB9,PSME2,PSME3,PTGS1,PTPN11,PTPN12,PTPN6,PTPRE,PYCR1,QKI,RAB4B,RAD23A,RAD50,RAN,RANBP1,RANGAP1,RASA1,RFC3,RFC5,RMDN3,ROCK2,RPA1,RPL11,RPL13,RPL5,RPS7,RSAD2,S100A11,S100A4,S100A9,SAE1,SAMD9,SDHA,SDHB,SEL1L,SEPTIN6,SERPINB1,SERPINB8,SERPINB9,SERPINF1,SERPINH1,SFPQ,SH3KBP1,SHC1,SHMT1,SIRT6,SLAMF8,SLC2A1,SLC7A11,SLC9A3R1,SMAP2,SMARCC1,SMARCE1,SOD1,SPR,SPRY2,SQSTM1,SREBF2,SRFBP1,SRSF1,SRSF3,ST13,STAT3,STIP1,STK4,STMN1,STOM,STT3B,SUMO1,SUMO2,SUMO3,SUN1,SUN2,SUZ12,SYK,TACC1,TAGLN2,TALDO1,TAP2,TAPBP,TARDBP,TFB2M,TGFB1,TGFBI,THBS1,TIMP2,TK1,TKT,TLN1,TMED10,TMED9,TMSB10/TMSB4X,TOP1,TOP2A,TPI1,TPM1,TUBA1C,TUBB2A,TUFM,TXN,TYMP,UBA2,UBE2I,UBE2L6,UGDH,UGP2,UQCRC2,UQCRQ,VASP,VCL,VDAC1,VPS26A,VPS35,VTN,WARS1,WAS,WDR3,WRN,XPO1,YWHAH,YWHAZ,YY1,ZFP91,ZYX	440 (101)	95
Mek	 	group	Akt,ATM,AXL,CCAR2,CCND1,CCNE1,CDKN1B,CEBPA,CEBPB,CHEK2,CREB1,CTNNB1,DUSP1,EGFR,ELAVL1,ELK1,ERK,ERK1/2,ERN1,estrogen receptor,EZH2,FOS,FOSL1,GLI1,H2AX,HMGA1,HSF1,IGF1R,IRF3,JAK1,JAK2,JUN,JUNB,KRAS,LMNA,LRP6,Mapk,MAPK9,MDM2,MED1,Mek,MMP12,MTORC1,MYC,NCL,Notch,NOTCH1,NR3C1,NR4A1,NRF1,P38 MAPK,PDGFRA,PDGFRB,PGR,PLK1,PPARG,PRKAA,PRKAA1,PRKDC,RB1,RHOA,RUNX2,RXRA,SHC1,SMAD2,SMAD3,SNAI1,SREBF1,STAT1,STAT5a/b,TCF7L2,TOPBP1,TP53,TP73,TSC2,YAP1	3	 	0.152	1.24E-19	2.70E-03	A2M,ABCB1,ABCC1,ABCE1,ACO1,ACSL3,ACTB,ADH5,ADK,AHNAK,AK1,AKR1B1,AKT1,AKT2,ALCAM,ALDH18A1,ALDOA,ALOX5,APOB,APOBEC3F,APOC3,ARPC1B,ARPC5,ARRB1,ASPH,ATG7,AURKA,BABAM2,BAG1,BAG3,BAX,BCAT1,BID,BUB1B,C11orf58,C1QTNF3,C3,C4A/C4B,CA2,CAPG,CAPN2,CASP1,CASP8,CBR1,CBX3,CBX5,CCL4,CD151,CD47,CDC42,CDK6,CDKN2C,CEBPZ,CES2,CFI,CHD3,CKAP4,CLEC11A,CLTC,CNDP2,CNIH4,CNN3,CNTRL,COL1A1,COL1A2,COL3A1,COL6A1,COL9A2,COQ8A,CPOX,CPT2,CSRP1,CTPS1,CTSL,CYP51A1,DAB2,DDX60,DEGS1,DHCR7,DNM1,DNMT1,DPYSL2,DR1,DTYMK,DUT,DYNLL1,EDF1,EEF1A1,EEF1A2,EEF1B2,EFHD2,EGR2,EHD1,EIF1AX,EIF4A2,EIF4E,EIF4G1,EIF5,ELAVL1,ELOB,ELOC,ENDOD1,ENG,ENO1,ENO3,ERBIN,ERLEC1,ERMP1,EZH2,EZR,FADS2,FAM3C,FBLN1,FBP1,FBXO22,FDXR,FEN1,FHL1,FKBP3,FKBP4,FLI1,FUBP1,G3BP1,G3BP2,G6PD,GALNT2,GAPDH,GART,GBP1,GBP2,GGH,GIGYF2,GLUL,GNL3,GOT1,GPA33,GSK3A,GSK3B,GSN,GSR,GSS,GSTM3,GSTP1,H1-0,H1-10,HDAC2,HLA-A,HLA-B,HLA-C,HLA-E,HMGB1,HMGB2,HMGN2,HMOX1,HNRNPA1,HNRNPA2B1,HNRNPA3,HSD17B12,HSP90AB1,HSP90B1,HSPA1A/HSPA1B,HSPA4,HSPA4L,HSPA8,HSPB1,HYOU1,IDH2,IDI1,IFI35,IFIT3,IGFBP2,IGFBP7,IGLL1/IGLL5,IL1B,IL1RN,ILK,IREB2,IRF2,IRF5,IRF8,ITGB2,ITIH2,JMJD6,JUND,KIF2A,KRT10,KTN1,LASP1,LBR,LCP2,LDHA,LGALS1,LGALS3,LPL,LSM2,LSM3,LTF,LUM,LYZ,MAFF,MAP2K2,MAPK1,MARCKS,MAT2A,MATK,MBOAT7,MCM2,ME1,ME2,MED15,METAP2,METTL3,METTL7A,MGST2,MIF,MKNK1,MMP2,MMP9,MRPL18,MSI2,MSN,MST1,MTA1,MVD,MX2,MYD88,MYH11,MYO6,NAMPT,NASP,NCL,NCOA7,NDUFS2,NIBAN1,NIBAN2,NME1,NOLC1,NPEPL1,NRGN,NT5E,OAS2,OASL,PCYT1A,PDCD4,PDHA1,PDHX,PDLIM1,PEA15,PEBP1,PFKP,PHGDH,PIN1,PKM,PLAU,PLAUR,PLG,POLDIP3,POLR2D,POSTN,PPAT,PPCS,PPIA,PPM1A,PPP1CA,PPP2CA,PPP3CA,PPP3CB,PPP4C,PPP4R2,PRAG1,PREP,PRKACB,PRKAR1A,PSEN1,PSMB1,PSMB10,PSMB7,PSMB9,PSME3,PTPN11,PTPN12,PTPN6,PTPRE,PYCR1,QSOX1,RAB4B,RAB8B,RAD50,RANBP1,RANGAP1,RASA1,RASA4,RBL2,RBP4,RFC3,RMDN3,ROCK1,ROCK2,RPL11,RPL13,RPL5,RRAD,RSAD2,S100A11,S100A6,S100A8,SAE1,SCD,SDHA,SDHB,SEC24D,SEC61A1,SEC61B,SEL1L,SEPTIN2,SEPTIN6,SERPINB1,SERPINB8,SERPINB9,SERPINF1,SERPINH1,SET,SHBG,SHC1,SLAMF8,SLC7A11,SLC9A3R1,SOD1,SPR,SPRY2,SRFBP1,SRM,SRSF1,SRSF3,ST13,STAT1,STK4,STMN1,STOM,SUMO1,SUMO2,SUMO3,SUN2,SYK,SYNE3,SYPL1,SYVN1,TAGLN2,TALDO1,TANK,TAPBP,TBC1D2,TFAM,TFB2M,TFRC,TIMP2,TLN1,TMED10,TMSB10/TMSB4X,TOP1,TPI1,TPM1,TRIM21,TTC13,TUBA1C,TUBB,TUBB2A,TUFM,TYMP,UBA2,UBE2I,UGP2,UQCRC2,UQCRQ,VASP,VCL,VDAC1,VIM,VMP1,VPS29,WARS1,WDR3,WRN,XPO1,YBX1,YWHAH,YY1,ZDHHC3,ZYX	389 (76)	72
SLC7A5	 	transporter	AKT1,EIF2AK4,ERK1/2,ESR1,FOXO3,GSK3B,HSF1,MTOR,MTORC1,MYC,NFkB (complex),RICTOR,RPS6KB1,SIRT1,SLC7A5,SREBF1,SREBF2,STAT1,TFEB,TP53,ULK1	3	 	-1.556	2.42E-19	1.00E-04	ACLY,ACO1,ACSL3,ACTB,AHNAK,AK1,AKT1,ALCAM,ALDH18A1,ALDOA,ALOX5,ANO10,APOBEC3F,ARHGAP1,ARPC1B,ARPC5L,ARRB1,ARSB,ASNS,ASS1,ATG7,AURKA,BAG1,BAG3,BAX,BCAS3,BCAT1,BID,BUB1B,C4A/C4B,CASP1,CASP4,CASP8,CBX3,CD14,CD151,CD36,CD63,CD81,CD82,CES2,CFI,CHD3,CLEC11A,COL1A1,COL3A1,CP,CPOX,CSRP1,CTCF,CYP51A1,DDX60,DHCR24,DIAPH1,DNAJC21,DNM1,DR1,DUT,EFEMP1,EGR2,EIF4A2,EIF4E,EIF4G1,ELAVL1,ENG,ENO1,ENY2,ERAP1,EZH2,EZR,FABP4,FABP5,FAM3C,FBLN1,FBXO22,FDPS,FDXR,FEN1,FKBP3,FKBP4,FKBP5,FOSL1,FUBP1,GART,GBP1,GBP2,GCLC,GCLM,GIGYF2,GLS,GNL3,GSK3A,GSK3B,GSS,HDAC2,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HMGB1,HMGN2,HNRNPA3,HNRNPD,HSP90AB1,HSPA1A/HSPA1B,HSPA4L,HSPA8,HSPB1,HSPH1,IDH1,IDH2,IGFBP7,IL1B,IL1RN,INIP,IREB2,IRF2,ITGB5,JMJD6,KIF2A,KYNU,LBR,LEMD3,LGALS1,LGALS3,LSM2,MAP2K2,MAPK1,MAT2A,MBOAT7,ME1,ME2,METTL7A,MGST2,MKNK1,MRPL18,MST1,MX2,MYD88,MYH11,MYO6,NAMPT,NASP,NDRG1,NDUFS2,NME1,NOLC1,NPM1,NQO1,NT5E,OASL,PCNA,PDHX,PFKP,PGK1,PGLS,PHGDH,PIP4P1,PKM,PLAUR,POLDIP3,POLR2D,PPCS,PPM1A,PPP1CA,PPP2CA,PPP3CA,PPP4C,PPP4R2,PRAG1,PREP,PSEN1,PSMB10,PSMB9,PTPN11,PTPN12,PTPN6,PTPRE,PXN,PYCR1,RAB4B,RAD23A,RANBP1,RANGAP1,RFC3,RPL11,RPL5,RSAD2,S100A4,SAE1,SAMD9,SCD,SEL1L,SERPINH1,SFPQ,SH3GLB1,SHC1,SIRT6,SLAMF8,SLC7A11,SOD1,SPR,SQSTM1,SREBF2,SRSF1,SRSF3,ST13,STAT1,STAT3,STIP1,STMN1,STOM,SUMO1,SUMO2,SUMO3,TACC1,TAGLN2,TANK,TDO2,TFAM,TFRC,TGFB1,THBS1,TMSB10/TMSB4X,TOP2A,TRIM21,TUBB,UBA2,UBE2I,UQCRQ,VIM,VPS26A,VPS35,WARS1,WRN,YBX1,YWHAH	238 (21)	20
