,Uninfected_24hr_STAT,Uninfected_24hr_LOG2FC,Uninfected_24hr_PVAL,Uninfected_24hr_ADJPVAL
Q29RF7,2.3706205775836744,-2.79437133423202,0.13941704753492062,0.21472260605743249
E9PAU2,0.4628423480023426,-0.0775129800976555,0.6875385785249492,0.7376473223835471
Q6ZS81,-3.844871468321059,1.1461669383246598,0.050296555299514385,0.0994928734518519
Q96PK6,1.1319445898302134,-0.5243530325000731,0.3745919133547368,0.4455195811471515
P22087,-8.89730375176611,1.4722702124631049,0.0002895968976070687,0.0026567367563083257
Q6JBY9,1.7089481088367848,-0.428153148415233,0.1216350974732666,0.19591607302945996
A6NHB5,-10.736945680501345,2.6654606758725046,0.0049644722218287534,0.01891645665224369
P49736,2.59866943234315,-1.322318194727646,0.11737746448890428,0.191002403654181
Q7LDG7,2.8248096415743844,-1.4519162623777293,0.105696208631666,0.177468700434601
Q15366,-10.71139532757573,1.9360450515456447,0.0036895877485443535,0.015067800289216619
Q8WU79,-20.71646682501825,1.3172862396358886,2.0577871683404068e-08,6.512896387797388e-06
P56181,-3.7787076938788573,0.8440209272045278,0.053136067823982044,0.1031752482594498
Q14669,7.494138801542201,-0.5063040909063008,0.01733641968581542,0.045916124105109465
Q9UPY5,-8.896466803619392,3.0414200909196496,0.0014152831658712439,0.007790210817360847
O14646,0.02505842878115479,-0.006787815217897952,0.9820244887327712,0.9867007958219749
P48634,0.25775796231880344,-0.13237848605240154,0.8141682298322325,0.84764554191415
Q3V6T2,-2.2812739287752772,0.7422766001647643,0.08790303312614392,0.15286434057376128
O00567,-4.994144044955645,0.8136610244084863,0.0009257505507603493,0.006041238130219598
A0A0A0MT60,-4.6819253512690535,1.7269453796699956,0.03952510369954707,0.08395768671749428
P23634,6.296653004098778,-1.2983289308667556,0.020956283230343258,0.05306130913922913
P52292,-0.868087006074396,0.4547379486092429,0.4683216549707765,0.5360716231401474
Q9BPX3,0.652585221519831,-0.3267418951672538,0.5800976294555442,0.6464820412770413
P07814,-7.571330661818497,0.7222885031083464,0.001058820134552491,0.0065020119140761735
J3QR44,-15.338142374941656,2.650359250817589,9.573487270098012e-08,1.726679952232847e-05
Q7Z333,2.234394972726561,-1.0308341854483642,0.14857233756513724,0.2212853874793691
Q8N163,-6.266298271909394,1.6311049524566679,0.003398066443447255,0.01415115828093495
Q96QR8,-4.002925390291133,0.7024645340412403,0.026648592853215834,0.06341563637626174
O15117,-1.5727546121537865,0.5155290680677811,0.15802485155539694,0.23101554511447175
Q8NI27,1.990789811455135,-0.9597800757558264,0.18449712531316476,0.2566740226884248
Q9UHB6,-1.7540539520936835,0.3331349988436352,0.20862454142790826,0.27860619140056103
Q8NBJ5,11.851206706434127,-0.752825518707446,0.0017370580604007767,0.009107770361168825
Q9BQA1,-0.6610334703971879,0.05943775352435243,0.5254932576548567,0.5908298971501319
O75122,-1.630089073967676,0.5360305363777351,0.1468155179710002,0.22022327695650032
P09651,-7.821573339901697,1.0586281570466571,0.00027928567265509053,0.002603173533014149
P07910,-0.08583330301702913,0.03705675064505387,0.9377561956076643,0.957418825515567
Q96QH2,-0.8217548618782012,0.3447137749059721,0.4324575197898276,0.5032088419613251
O00193,-2.592729606929598,4.094957648227782,0.035787902828967724,0.07893290066458736
Q5UIP0,5.358270833660767,-2.2151679063123915,0.031762083115482134,0.07206236061684657
P04899,-6.877941569461223,2.6124289055220755,0.006144242312323016,0.02222460219257411
P06748,-10.453597022745225,1.8317140693397214,4.770439187650216e-06,0.0001437946669420279
P29350,1.1231852534260804,-0.8842999521615287,0.37513734083954464,0.4455195811471515
Q9H1C4,1.9737274826196982,-1.516270193399423,0.18710076517279112,0.25859123221479646
P46100,6.840526341180413,-1.225673223407524,0.007335399445899021,0.025098961347319353
Q8N6T7,-13.387289063919823,2.9508191359206393,7.943523051567273e-05,0.0011427841117368372
Q5T200,-1.137874386063522,0.07374513783804826,0.299077392635319,0.3726692707444034
Q5SNT2,3.156874927756931,-0.7556163772780202,0.0151665771818735,0.041724686019067904
F8W930,-9.505832741871618,1.67231651719214,0.0018181681723035312,0.009244251208297333
Q14004,-6.103265485006578,1.9393471248443142,0.00022635152312764845,0.002346813983549127
P49757,-0.015102983120050458,0.005293661524806703,0.9891916051943247,0.9907567817848221
A0A075B7F8,-4.658314117211357,1.79806513248556,0.0016432674970523024,0.008890498509693227
A0A0A0MT22,-1.627085835540444,0.3367438052164897,0.23609488110478621,0.30766765335366647
P12314,1.9527289470499045,-0.5153804379727291,0.1332011393779504,0.2066576500643201
P27105,-8.465298647018678,4.033726938731545,1.7696647188744248e-05,0.00038627509208534857
P54727,-2.176536841720518,0.5457389568821491,0.05821713090386944,0.11201046766610746
P46940,-9.49162961481072,2.0012906683918135,0.002875811603244428,0.012641588505928633
A0A0B4J1W0,-5.031763086517497,1.423532356332127,0.008099118639779268,0.026657600999807796
Q5T5H1,-3.154426914249319,0.8298130473474814,0.03778171487262111,0.08162397786474117
Q9NTZ6,-2.0791929730647984,0.5065899739877364,0.07569875459453444,0.1372988872731814
O95487,-4.429117167591249,1.582732176350473,0.019924808664084623,0.050753161073097214
A0JLT2,3.5054746617913244,-0.7512911387733681,0.06952403619864561,0.1279323107957636
Q8WYP5,-1.786510615259699,0.4956914646828674,0.18241692902936582,0.25491162133668716
Q9UI08,1.8957663204526636,-0.99499337281165,0.1784049186353673,0.25207659262541854
Q9BTX1,-1.931422777865889,0.4344136036537738,0.11298465215459269,0.1852831212794227
Q9H0J9,-2.9665146576128487,0.6255265055058858,0.09544074594600369,0.16372355605371364
O00267,-7.223068922018236,1.2728163616117283,0.000946795291925758,0.0061155246917245385
Q8NHZ8,0.9842814027724842,-0.5235104072070436,0.4281043864308219,0.499981691163672
P10644,1.4409905471280384,-0.2995871875965914,0.183715513242628,0.2561496032656025
Q8NHM5,0.5500081035551649,-0.29788637600877355,0.633520209586466,0.691410849427988
Q13098,-1.2647891778695797,0.1381154451900244,0.3305142497650702,0.4020903118088121
Q96EV2,1.1949379660591606,-1.0360074781987483,0.35380124652750067,0.4249643056013433
Q8WVC0,7.587547392949468,-1.741543663283235,0.016838571285662494,0.04516447298230661
Q5T4S7,-0.45258002685925797,0.13121888817940874,0.6950089787948539,0.7437067328597549
P20020,-37.355650867944604,2.096226260170241,0.000552773401631069,0.004373819540405834
Q16512,-18.043246920733463,3.449096426525433,0.0030483485365084733,0.01312656206537322
Q8NC51,-1.095247881511084,0.19552814959366582,0.30236072515974804,0.3760203124285275
Q15751,-0.5405312832606508,0.156979852882148,0.6323893876524888,0.6913687087807001
Q15287,2.4903297149517134,-1.7409117149197821,0.12887850053289812,0.2039502270933113
Q7Z5R6,-8.89985231855486,0.8203295004782938,0.007645419340806853,0.02596420807344735
Q09666,-4.606948880925235,1.1229107922810202,0.0012783295386184254,0.007356205435867847
Q68EM7,-4.656019979220041,0.8028103464289478,0.002577063703288559,0.011652009458440414
Q9HC52,-3.3903732887740907,1.0075880202603547,0.010789349084679335,0.03221536778585858
F5H5P2,-2.6660376261668093,0.6987313495084977,0.02602618609358782,0.06216821055562676
Q86WB0,-1.2998139026744728,0.11412016162989591,0.22944935117706414,0.3013307869192564
E7EVA0,-6.104150361380569,1.179741705025263,0.0002420956818721779,0.0023944776035170097
Q15311,5.668017949332825,-0.87104748976699,0.014912897714622616,0.041402913391912786
Q9NR30,15.113135692677528,-0.29731965492493595,0.002354827069407657,0.011186785358179484
Q9GZR7,-5.490396972517223,2.5484248044973157,0.00043877760131610954,0.0037032829551079645
Q7Z5Q1,-3.2108704876017202,1.190709900459273,0.01090479865280015,0.03240721853156101
Q9BTA9,0.7701249040037352,-0.37442230750851246,0.5189915545597028,0.5856000963213759
O43159,6.166204976651486,-0.770547631933971,0.01971479894368894,0.050524160855688664
F2Z2W7,-8.241234979325599,1.3693018320526111,0.002082018179995148,0.010296230530757254
P14317,-14.823431648204835,3.248465061905611,9.346897838069652e-07,6.573984812775656e-05
B5ME19,1.013280763148571,-0.16010846717202032,0.4116605183179855,0.4816656341872178
O00559,-7.84447756655756,2.0263768513597826,5.822993930679773e-05,0.0009962040967892692
Q8TD19,-5.999476204612187,1.416882313014274,0.00022040862655128645,0.002346813983549127
P35580,-6.700333434775431,3.1369135096693173,0.00022986171718806614,0.002346813983549127
P30622,2.4099552543916194,-1.4068365560971607,0.1293185956970532,0.20413633684846555
J3KTL2,-3.1743812926930626,2.1049559617524416,0.013893065880533073,0.03926031563561355
Q9BUJ2,-10.080485927856724,1.1535966267003184,0.001255326699768743,0.007290108265629488
P24928,-1.0609620274362361,0.18456491550716203,0.3990501969599099,0.4703887796566536
Q8WWW0,-8.47682765975703,1.7568010738390252,2.417194882200927e-05,0.0004935756001397376
P11388,7.514945361574453,-0.539844556659014,0.008110327529978544,0.026657600999807796
Q9H7D0,1.2930627602309253,-0.5236254896398211,0.3151120860813472,0.3880660515359782
Q8NDX1,2.913674801317679,-0.9498067643399197,0.10033976150935715,0.1698263877952489
Q14643,-7.333010229481265,1.3131902577607093,0.002180054399753302,0.010615187961875694
O14874,3.1955418549849433,-0.7529775508506833,0.05159316050223494,0.10110981609261523
Q9NSY1,-2.2906651643087965,0.8594689375103659,0.13293421234939684,0.2066576500643201
O95155,-10.209483697789445,1.2542249047884817,6.011291522512836e-05,0.0010013546141449013
Q9BYX4,0.7686096847395752,-1.9911276767677193,0.5224359218024898,0.5884376129910606
P35579,14.589863495123883,-2.5299829546725383,0.003986075067163035,0.016071245334485357
Q9NU22,2.6543508417115187,-1.3113065144256155,0.1167454192045429,0.19095420463455684
Q7Z3C6,1.3310623713171128,-0.43637433436429696,0.30566807979097327,0.3793880284464433
Q01543,4.188803899329543,-0.8750639754954785,0.046965939477278965,0.09498223542849069
O60256,-8.434024605420744,1.168963270357226,0.0023838893873682084,0.011186785358179484
Q96K37,-0.3518737573891723,0.18042546744177157,0.7507348309765969,0.7907074010119565
Q9HD20,3.5716314492341614,-0.942658983006595,0.06520048723253144,0.12216249735633093
Q96ST2,2.7935789965362976,-2.502613082145902,0.10749575595602492,0.17953776654396775
Q5T5C0,-11.71391768409277,1.9176978425251192,0.004776345502277053,0.018323798199644692
Q15042,-4.2575153163988455,0.5732721389580506,0.002925985430237345,0.01277343984372579
P09874,-2.030436557818513,1.1522063272372194,0.17316318294149444,0.24838747497386143
Q96AE4,-8.007120537044973,1.3207831823051976,2.6273686478355918e-05,0.0005039770769939181
Q7Z3K3,-5.151380118576487,1.2468956479100521,0.032025105599591215,0.07239961373050442
Q04837,0.8048191548590534,-0.6118601948318978,0.49680459317428327,0.561566620498788
Q5VSL9,-7.0935529348784225,1.2431009948381337,0.003337262926785705,0.01398998299771756
Q8NF50,-0.5946322388402004,0.12321214411693626,0.5677612632870075,0.6338498759447544
Q9GZY6,1.945704418616972,-2.9621312980098935,0.19109691136247825,0.2610878981003234
A0A087WXI0,-1.6729980271384526,0.42939050310550764,0.22117056619194594,0.29166868416562874
Q96G46,-4.429348017659044,1.9351524623280114,0.04171218459118691,0.08656987818433218
Q9Y2V2,-2.8796983813070614,0.9743373015749774,0.01819458395581272,0.04759161836375807
P05114,-3.1326584826742154,1.8762316484653132,0.012221281565060842,0.03516396013947051
O75376,-7.886605642642426,1.8536532857640575,0.0011099865837568015,0.0066285047879061825
Q9H6F5,-9.926570071019876,1.0596711149535918,0.008127830952548033,0.026657600999807796
M0QZR4,-2.451435615610198,0.6382164268781416,0.0958983664752868,0.1640639621050177
P51991,2.2292290803564487,-0.7217612939041973,0.1406521175787757,0.21505504934146139
I3L1Q2,0.40476559195330103,-0.10485228176640282,0.6955361545860583,0.7437067328597549
Q07960,-1.886055613710051,0.37796496666658586,0.10952904473035217,0.18197345226853787
P35606,-9.403679676765616,0.6160054089263987,0.0009825676351867803,0.006282477909830626
Q13242,-3.2299412093311965,1.111018166897192,0.010409725667827318,0.031377887370165204
Q641Q2,-3.4936513788128245,0.8571482158606141,0.0631175749186393,0.11962103270508585
Q96PC5,-1.8856011579353626,0.68120599579951,0.19188742536560469,0.2610878981003234
Q6P4E1,0.3335362654896735,-0.18007836447577974,0.7696251239016384,0.8079149310609239
J3KMZ8,1.8136591315236952,-1.214342336007491,0.2112500371623695,0.28033809963056583
