,Upstream Regulator,Expr Log Ratio,Molecule Type,Predicted Activation State,Activation z-score,p-value of overlap,Target Molecules in Dataset,Mechanistic Network,sample,sig
40,HSF1, ,transcription regulator,Inhibited,-2.276,4.38e-06,"ABCB1,BAG3,BAX,CBX3,DNMT1,EFEMP1,FBLN1,HMOX1,HSPB1,HSPE1,ITGB5,MBOAT7,MRPL18,NASP,NCOR1,NFATC2,RAB5C,RANBP1,RRAD,SERPINH1,SMC1A,SSBP1,ST13,STAT6,STIP1", ,24hr_PROT_unique,True
41,CGAS,-0.750,enzyme,Activated,2.810,5.25e-06,"DDX60,HERC5,IFI44L,IFIT1,IFIT2,IFIT3,OAS1,RSAD2",54 (5),24hr_PROT_unique,True
43,SOCS1, ,other,Inhibited,-3.060,6.02e-06,"BAX,DDX58,IFIH1,IFIT1,IFIT2,ISG15,MX1,OAS1,OAS2,RELA,RSAD2,STAT6,TGM2",36 (3),24hr_PROT_unique,True
45,IFNB1, ,cytokine,Activated,2.861,8.3e-06,"CASP1,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,MMP9,MX1,OAS2,PML,STAT1,STAT2",56 (5),24hr_PROT_unique,True
46,IFNA1/IFNA13, ,cytokine,Activated,2.376,9.37e-06,"IFIT2,ISG15,MX1,OAS2,RSAD2,STAT1",31 (3),24hr_PROT_unique,True
49,IRF1, ,transcription regulator,Activated,2.596,1.91e-05,"B2M,CASP1,CMPK2,ERAP1,HELZ2,IFIT1,IFIT3,MX1,PSME1,PSME2,STAT2,TAP1,TAP2,TAPBP", ,24hr_PROT_unique,True
52,SGPL1,0.190,enzyme,Activated,2.412,2.2e-05,"BAX,DDX58,IFIT1,ISG15,MX1,OAS1",54 (5),24hr_PROT_unique,True
56,SPI1,0.098,transcription regulator,Activated,2.243,3.229999999999999e-05,"CCL4,CHI3L1,CMPK2,CTSS,HELZ2,HK3,IFI44L,IFIT1,IFIT2,IFIT3,IL1RN,ISG15,MT1G,MX1,OASL,PARP12,PRTN3,PTPN6,RSAD2,VIM", ,24hr_PROT_unique,True
60,IRF3, ,transcription regulator,Activated,2.057,4.3200000000000007e-05,"DDX58,FN1,IFI44L,IFIH1,IFIT1,IFIT2,IRF5,ISG15,MMP9,OAS1,RSAD2,VIM",173 (12),24hr_PROT_unique,True
62,PRKCA,-0.014,kinase,Activated,2.208,5.2300000000000004e-05,"APOBEC3G,ARHGDIB,ARPC2,FN1,IFIT1,IFIT3,IGFBP3,JUN,MMP9,OASL,PML,RSAD2,RUNX1,SEC23IP,UBAP2L",209 (15),24hr_PROT_unique,True
80,RACK1,0.626,enzyme,Inhibited,-2.433,0.000149,"DDX60,HERC5,IFIT2,IFIT3,ISG15,RSAD2",34 (3),24hr_PROT_unique,True
96,TLR7, ,transmembrane receptor,Activated,2.500,0.000362,"CCL4,CD44,IFI35,IFI44L,IFIT1,IFIT3,IL4I1,IRAK4,ISG15,MX1,MX2,NFKB1,OAS2,OAS3,PLAU,STAT1",174 (14),24hr_PROT_unique,True
99,GAPDH,-0.126,enzyme,Inhibited,-2.359,0.00039,"CCL4,FCER1G,HLA-C,IFIT2,OAS1,OAS2,OAS3,STAT1,UBE2L6",38 (4),24hr_PROT_unique,True
100,IFN Beta, ,group,Activated,2.425,0.000405,"EIF2AK2,FN1,HLA-B,IFIH1,IFIT1,MX1,OAS1,OAS2,SPRY2,STAT1",81 (7),24hr_PROT_unique,True
107,TLR9, ,transmembrane receptor,Activated,3.051,0.0005269999999999999,"CCL4,IFI35,IFI44L,IFIT1,IFIT3,IL4I1,ISG15,MX1,MX2,NAMPT,OAS2,OAS3,STAT1",130 (10),24hr_PROT_unique,True
116,NR3C1,0.042,ligand-dependent nuclear receptor,Inhibited,-2.207,0.000719,"A2M,APOE,ARRB1,BABAM2,BAG1,BAG2,BAG3,BCOR,CEBPB,COL1A1,CORO1C,CTNNBL1,DAD1,DYNLL1,DYNLL2,ELMOD2,FN1,GLUL,HSD11B1,IFIH1,JUND,NAMPT,NFKB1,NFKB2,NLRP3,PDCD4,PEA15,PPP3CA,PRKCI,PSEN1,PTRH2,RELA,ROCK1,RRAGC,RTN4,SAP30BP,SERPINB9,STAT6,SUMO2,TADA3,THBD,TRAF1,UBE2K,WDR26,YWHAG,YWHAH,YWHAZ", ,24hr_PROT_unique,True
120,STING1,0.100,other,Activated,2.429,0.000837,"IFI44L,IFIT1,IFIT2,ISG15,OAS1,RSAD2",31 (3),24hr_PROT_unique,True
127,NEUROG1, ,transcription regulator,Inhibited,-2.309,0.000986,"ASS1,C3,CD82,CFH,FN1,LCP1,MMP9,PPIC,S100A4,SERPINF1,SQOR,THBS1", ,24hr_PROT_unique,True
128,EIF2AK2,1.561,kinase,Activated,2.644,0.000986,"DDX58,EIF2AK2,IFI35,IFIT1,ISG15,JUN,OAS1,OAS3,PARP12,PARP9,STAT1,UBE2L6",56 (5),24hr_PROT_unique,True
142,PAF1,0.001,other,Activated,3.162,0.00185,"DDX58,HELZ2,HERC5,IFI44L,IFIT3,ISG15,OAS2,OAS3,OASL,ZNFX1", ,24hr_PROT_unique,True
143,JAK1,-0.410,kinase,Activated,2.646,0.0018800000000000002,"HLA-A,HLA-C,HLA-F,IFIT2,MMP2,MX1,STAT1",35 (3),24hr_PROT_unique,True
144,RARA, ,ligand-dependent nuclear receptor,Inhibited,-2.982,0.0018899999999999998,"ANO10,APOC3,ARPC5L,CD14,CD44,CDK1,CP,CTSS,DNAJC21,ENY2,GDF15,HLA-B,HLA-C,HNRNPD,IFI44L,INIP,LGALS1,NCOA5,PGLS,RAP1A,RSAD2,SAMD9,SFPQ,SLC7A11,TAPBP,THBD", ,24hr_PROT_unique,True
156,WWTR1, ,transcription regulator,Inhibited,-2.184,0.00282,"CD44,DDX58,FN1,IFIH1,MX1,OAS1,STAT1,TK1",35 (3),24hr_PROT_unique,True
172,ZEB1, ,transcription regulator,Activated,2.959,0.00412,"COL1A1,COL1A2,EHD1,FN1,NRP1,PLAU,TGFBI,THBS1,VIM", ,24hr_PROT_unique,True
175,CUL4B,0.351,other,Activated,2.236,0.004220000000000001,"GLO1,NDUFB1,SOD1,TPI1,TPM3", ,24hr_PROT_unique,True
209,COL18A1,0.392,other,Inhibited,-2.137,0.0069099999999999995,"CDKN2C,F10,FN1,JUN,MMP2,NRP1,PDCD5,PLAU,RELA,STAT1,THBS1",92 (5),24hr_PROT_unique,True
210,RARB, ,ligand-dependent nuclear receptor,Activated,2.236,0.0073,"DDX58,IFIT1,SLC2A1,SSR4,STAT1,THBD", ,24hr_PROT_unique,True
214,STAT3,0.436,transcription regulator,Activated,2.113,0.0074,"ATP6AP2,CD44,CHI3L1,COL1A1,COL1A2,DNMT1,FN1,HK2,HMOX1,HNRNPD,IFI16,IL1RN,KAT2B,LILRB4,MMP2,MMP9,NAMPT,NDRG1,NFATC2,NFKB2,NPM1,PSIP1,PTPN2,SLC2A1,STAT1,VIM",179 (11),24hr_PROT_unique,True
224,SNAI1, ,transcription regulator,Activated,2.178,0.00905,"CD55,COL1A1,COL1A2,FN1,MMP9,PEBP1,PFKP,VIM",63 (5),24hr_PROT_unique,True
228,IL6, ,cytokine,Activated,2.061,0.009859999999999999,"ABCC1,ALB,APOB,BAX,C3,CD82,FGA,IL1RN,ITGB5,LYZ,MMP2,NFKB1,PLAU,PLG,SRC,TGFB1,TGM2,THBS1",225 (16),24hr_PROT_unique,True
236,miR-483-3p (miRNAs w/seed CACUCCU), ,mature microRNA,Activated,2.013,0.0104,"ERP29,HMGB3,HNRNPA0,MAPKAPK2,MDC1,MKI67,PGAM1,TACC1", ,24hr_PROT_unique,True
238,TGFB1,1.369,growth factor,Activated,2.411,0.0111,"ALB,BAX,BUB1B,CD44,CDK1,CDKN2C,CHI3L1,COL1A1,COL1A2,COL6A3,CSF1R,ENG,FN1,HMOX1,IGFBP3,JUN,JUND,LASP1,MAPK3,MAPKAPK2,MKI67,MMP2,MMP9,NRP1,PFDN1,PLAU,POSTN,PXN,RELA,S100A4,SERPINH1,SLC3A2,TGFB1,TGFBI,TGM2,THBS1,TPM1,VIM,ZYX", ,24hr_PROT_unique,True
242,PTPN3, ,phosphatase,Activated,2.236,0.0118,"COL1A1,FN1,MMP9,TGFBI,TGM2", ,24hr_PROT_unique,True
244,MAP2K1/2, ,group,Activated,2.765,0.0123,"C3,CDK1,CHI3L1,FOSL1,H2AX,HK2,HSPB1,MMP9,VIM", ,24hr_PROT_unique,True
269,MET, ,kinase,Activated,2.008,0.017,"CD44,FN1,HMOX1,HSPB1,MMP2,PTPN1,VIM", ,24hr_PROT_unique,True
322,PI3K (family), ,group,Activated,2.156,0.0283,"CTSD,FDPS,HMOX1,IFIT1,ISG15,MMP2,MMP9,PREX1,PXN,SLC2A1,TGM2,THBS1,WTAP", ,24hr_PROT_unique,True
346,IL12 (complex), ,complex,Inhibited,-2.573,0.0357,"CCL4,CD44,JUN,MMP2,MMP9,PLAU,STAT4", ,24hr_PROT_unique,True
