,Upstream Regulator,Expr Log Ratio,Molecule Type,Predicted Activation State,Activation z-score,p-value of overlap,Target Molecules in Dataset,Mechanistic Network,sample,sig
0,IRGM, ,enzyme,Inhibited,-4.515,1.67e-20,"APOBEC3F,APOBEC3G,B2M,CGAS,DDX58,DDX60,DDX60L,DHX58,GBP1,GBP4,HERC5,HLA-B,HLA-F,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,MX1,MX2,OAS1,OAS2,OASL,RSAD2,UBA7,UBE2L6", ,24hr_PROT_unique,True
1,Interferon alpha, ,group,Activated,4.096,6.890000000000001e-17,"APOBEC3F,APOBEC3G,BCL2L13,CASP1,CGAS,CHMP5,CLTCL1,CMTR1,DDX58,DHX58,EIF1,EIF2AK2,GBP1,HELZ2,HERC5,HLA-F,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGLL1/IGLL5,IRF8,ISG15,LAP3,LGALS9,MX1,MX2,NT5C3A,OAS1,OAS2,OAS3,PARP10,PARP12,PARP14,PARP9,PARVG,PML,RABGAP1L,RBCK1,RNF213,RSAD2,SAMD9,SERPINB9,SLC1A5,SLFN5,SPRY2,STAT1,STAT2,STAT4,TAP1,TAP2,TGFB1,UBA7,UBE2L6,UNC93B1",101 (7),24hr_PROT_unique,True
2,RC3H1, ,enzyme,Inhibited,-3.962,1.88e-15,"APOBEC3C,CD44,DDX58,FOSL1,HLA-F,HSPB1,IFI16,IFI44L,IFIT1,IFIT2,IFIT3,ISG15,MX1,OAS1,OAS2,OAS3,PARP9,RSAD2,STAT1,STAT2,TRIM21,TRIM25,TRIM56", ,24hr_PROT_unique,True
3,IFNL1, ,cytokine,Activated,5.107,1.35e-13,"CMPK2,DDX58,DDX60,DDX60L,EIF2AK2,GBP1,HERC5,HLA-B,HLA-C,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,MX1,OAS1,OAS2,OAS3,OASL,PML,RSAD2,SAMD9,STAT1,STAT2,UBE2L6",43 (3),24hr_PROT_unique,True
4,PRL, ,cytokine,Activated,4.797,4.3700000000000006e-13,"ATP2A2,CMPK2,CTSD,DDX58,DDX60L,DHX58,DTX3L,EIF2AK2,HELZ2,HERC5,IFI35,IFI44L,IFIH1,IFIT1,IFIT3,ISG15,JUN,MX2,OAS1,OAS2,OAS3,PARP10,PARP12,PARP14,PNPT1,RSAD2,SAMD9,STAT2,TRIM25",57 (4),24hr_PROT_unique,True
8,MAPK1,-0.504,kinase,Inhibited,-4.562,7.32e-12,"AURKA,DDX58,EHD1,EIF2AK2,ERAP1,ERP29,FN1,GBP1,HERC5,HLA-B,HLA-C,HLA-E,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,LAP3,MKI67,MVP,MX2,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PML,PSME2,SPRY2,STAT1,STAT2,TAP1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM", ,24hr_PROT_unique,True
9,NONO,-0.365,transcription regulator,Activated,5.698,6.53e-11,"CMPK2,DDX58,DDX60,DDX60L,EIF2AK2,GBP1,GBP4,HERC5,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,MX1,MX2,NT5C3A,OAS1,OAS2,OAS3,OASL,PARP14,PARP9,PML,PNPT1,RNF213,RSAD2,SAMD9,SLFN5,STAT1,STAT2,TRIM25,UBE2L6", ,24hr_PROT_unique,True
10,TGM2,2.017,enzyme,Activated,3.093,8.320000000000001e-11,"C3,CD36,CDK6,CFP,DDX60,DDX60L,EHD1,FCER1G,GTPBP10,HK3,HLA-B,IFI35,IFIT1,IFIT2,IFIT3,ITGAX,LGALS9,LSP1,MDN1,MMP2,MMP9,NPC2,OAS1,OAS2,OAS3,OASL,OTUD6B,PARP14,PARP9,POR,RNF213,S100A8,SIRPA,SLC25A15,SLC25A20,SLFN5,SLPI,STAT1,TAP1,TGFB1,THBS1,TTC27,UBA7",100 (4),24hr_PROT_unique,True
12,IFNL4, ,cytokine,Activated,3.137,2.02e-10,"DDX58,DHX58,IFIH1,IFIT1,ISG15,MX1,OAS1,OAS2,OASL,STAT1",34 (3),24hr_PROT_unique,True
14,miR-182-5p (and other miRNAs w/seed UUGGCAA), ,mature microRNA,Inhibited,-3.719,3.8199999999999997e-10,"CMPK2,DDX58,DDX60,DDX60L,FN1,IFI44L,IFIT1,ISG15,OAS2,RSAD2,SAMD9,SERPINE2,SLFN5,STAT1", ,24hr_PROT_unique,True
26,RNY3, ,other,Activated,3.464,1.12e-07,"DDX60,HERC5,IFI44L,IFIT1,IFIT3,ISG15,MX1,OAS1,OAS2,OAS3,OASL,RSAD2",119 (7),24hr_PROT_unique,True
28,STAT1,2.046,transcription regulator,Activated,3.330,1.35e-07,"APOBEC3G,C4A/C4B,CD14,CTSS,DDX60,FCER1G,GBP1,GBP2,GBP4,HLA-E,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IRF8,ISG15,MMP9,MX1,OAS1,OAS2,OAS3,PARP9,STAT1,TAP1,TRIM21",31 (2),24hr_PROT_unique,True
31,BTK,0.046,kinase,Inhibited,-2.500,2.15e-07,"BAG1,CCL4,IFI35,IFI44L,IFIT1,IFIT3,IL4I1,ISG15,ITGAX,JUN,MX1,MX2,OAS2,OAS3,RELA,STAT1",140 (9),24hr_PROT_unique,True
33,JAK, ,group,Activated,3.148,1.02e-06,"DDX58,EIF2AK2,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,RSAD2,STAT1,VIM",34 (3),24hr_PROT_unique,True
34,IL1RN,1.373,cytokine,Inhibited,-3.748,1.19e-06,"CD44,CTSS,DDX58,GBP1,IFI44L,IFIH1,IFIT3,LGALS9,MX1,MX2,OAS1,OAS2,OAS3,OASL,PML,RSAD2,SAMD9,STAT2,THEMIS2",80 (7),24hr_PROT_unique,True
36,FOXC1, ,transcription regulator,Activated,3.411,1.53e-06,"B2M,CSTA,ECM1,GBP1,GBP4,HLA-B,HLA-C,HLA-F,IFI35,IFIT1,IFIT2,IFIT3,IGFBP3,ISG15,KRT10,MX1,OAS1,OAS2,OAS3,OASL,STAT1,STAT2", ,24hr_PROT_unique,True
38,IRF9, ,transcription regulator,Activated,2.236,2.8e-06,"GBP1,IFIT1,IFIT2,IFIT3,MX1,OAS2,STAT1,STAT2", ,24hr_PROT_unique,True
