,Upstream Regulator,Expr Log Ratio,Molecule Type,Predicted Activation State,Activation z-score,Flags,p-value of overlap,Target Molecules in Dataset,Mechanistic Network,sample,sig
0,mir-122, ,microRNA,Activated,3.865,bias,4.06e-10,"CACYBP,GNPDA1,MAPRE1,NPEPPS,NUTF2,PLIN3,SERPINB6,SF3B4,SH3BGRL3,SH3GL1,TGM2,TPD52L2,VAV3,VIM,YARS1", ,1hr_PROT,True
1,CSF, ,group,Inhibited,-3.162,bias,3.11e-07,"CSTA,CSTB,IL1B,NFKB1,PTPN2,SERPINB8,SERPINB9,TGM2,TNFAIP3,TRAF1", ,1hr_PROT,True
9,MYC, ,transcription regulator,Inhibited,-2.747,bias,1.7199999999999998e-05,"AKT1,BAG1,CNTRL,EIF4E,ENO1,GCLM,IFIT2,IQGAP2,JUN,MYD88,PLAU,PREP,RSAD2,SAE1,SERPINE2,SHMT1,SUMO2,SUMO3,TMSB10/TMSB4X,XPO1", ,1hr_PROT,True
11,CD40LG, ,cytokine,Inhibited,-2.440,bias,4.15e-05,"CDK6,ICAM1,IL1B,MARCKS,NAMPT,NFKB1,PLEK,TANK,TNFAIP3,TRAF1",52 (5),1hr_PROT,True
14,miR-145-5p (and other miRNAs w/seed UCCAGUU), ,mature microRNA,Activated,2.406,bias,8.190000000000001e-05,"ABRACL,EIF4E,FLI1,FSCN1,SWAP70,TPM3", ,1hr_PROT,True
28,NFkB (complex), ,complex,Inhibited,-2.157,bias,0.0009609999999999999,"BLVRA,FABP5,ICAM1,IL1B,KYNU,LSP1,NAMPT,NFKB1,PLAU,PSMB9,SAR1A,TGM2,TNFAIP3,TRAF1",48 (4),1hr_PROT,True
30,RELA,-0.215,transcription regulator,Inhibited,-2.396,bias,0.00106,"FN1,FSCN1,ICAM1,IL1B,NAMPT,PLAU,PSMB9,PTPN6,TGM2,TMSB10/TMSB4X,TNFAIP3,TRAF1,VIM",48 (4),1hr_PROT,True
32,NSUN6, ,enzyme,Inhibited,-2.236,bias,0.00117,"CDKN2C,DAB2,FSCN1,MARCKS,TGM2", ,1hr_PROT,True
33,TNF, ,cytokine,Inhibited,-2.167,bias,0.00139,"BID,CYP27A1,DBI,EHD1,FN1,GCLM,GPX4,ICAM1,IL1B,JAK1,JUN,KYNU,NFKB1,PLAU,PSMB9,S100A8,S100A9,SERPINB1,SERPINB8,SERPINB9,TNFAIP3,TRAF1",48 (4),1hr_PROT,True
41,mir-21, ,microRNA,Activated,2.216,bias,0.0020800000000000003,"ARF4,CDK6,FN1,MYD88,TPM1", ,1hr_PROT,True
44,ATG5, ,other,Inhibited,-2.219,bias,0.00232,"C1QBP,EIF5A,GABARAP,PDCD5,TGM2", ,1hr_PROT,True
57,IKBKE, ,kinase,Inhibited,-2.229,bias,0.0028399999999999996,"PGM1,PGM2,PSAT1,PYGL,RPE", ,1hr_PROT,True
60,GLI1, ,transcription regulator,Inhibited,-2.189, ,0.00394,"ADK,AKT1,ATAD2,BID,CDK6,CNTRL,EFHD2,FHL1,IQGAP2,MSI2,NPEPL1,OGFRL1,PLAU,PSMB9,PTPN2,RBM8A,S100A4,S100A9,SCD", ,1hr_PROT,True
70,SMARCA4,0.089,transcription regulator,Inhibited,-2.840,bias,0.00536,"ABRACL,ATG9A,CFP,CLDND1,CP,FN1,GSTO1,GSTP1,ICAM1,IL1B,JUN,LPXN,MTRES1,PSMB9,SERPINB8,SERPINE2,TPM1,TREM2,VIM", ,1hr_PROT,True
73,LDL, ,complex,Inhibited,-2.203,bias,0.00579,"FABP4,IL1B,IRAK4,NAMPT,SREBF2", ,1hr_PROT,True
97,NFE2L2, ,transcription regulator,Inhibited,-2.215,bias,0.0111,"GCLM,PRDX1,PSAT1,PSMD4,SOD1", ,1hr_PROT,True
143,ASPSCR1-TFE3, ,fusion gene/product,Inhibited,-2.449,bias,0.021,"ATP6V1D,CAST,EPS15L1,GPNMB,PACSIN2,PEPD", ,1hr_PROT,True
231,CSF2, ,cytokine,Inhibited,-2.433,bias,0.0356,"CDC123,GCLM,ICAM1,IL1B,NACA,TPM4", ,1hr_PROT,True
232,ETV6-RUNX1, ,fusion gene/product,Activated,2.828,bias,0.0358,"ARHGAP18,BID,ICAM1,MAP2K1,PAK1,S100A4,SWAP70,TNFAIP8L2,TPM1", ,1hr_PROT,True
