,Upstream Regulator,Expr Log Ratio,Molecule Type,Predicted Activation State,Activation z-score,p-value of overlap,Target Molecules in Dataset,Mechanistic Network,sample,sig
21,PLA2R1, ,transmembrane receptor,Activated,2.065,1.05e-06,"ACSL3,AK3,ALDH2,CYB5R3,DPYSL2,LAP3,MGST1,PEBP1,SDHA,SDHB,SQOR,TFAM,UQCRFS1", ,47hr_PROT,True
24,PSME3,-1.075,peptidase,Inhibited,-2.121,2.01e-06,"ALDOA,ENO1,GAPDH,LDHA,PGM1,PKM,SLC2A1,TPI1", ,47hr_PROT,True
32,miR-122-5p (miRNAs w/seed GGAGUGU), ,mature microRNA,Activated,2.244,1.57e-05,"AACS,ALDOA,CS,EEF1A1,FUBP1,FUNDC2,HMGB1,MECP2,NFATC2IP,PKM,PRDX2,PSME1,PSME3,SLC7A11,TPD52L2,UBAP2,VIM", ,47hr_PROT,True
33,IRF2,-0.911,transcription regulator,Inhibited,-2.673,1.95e-05,"ARCN1,CD14,CES1,CLIC1,ERAP1,FGA,IDH1,NAMPT,PSMB10,PSMB9,PSME1,PSME2,PTGR1,RRBP1,SRGN,SUPT16H,TAP2,TAPBP,TPM1,TXNRD1,UBE2L6", ,47hr_PROT,True
34,CEBPA,-0.044,transcription regulator,Inhibited,-2.165,2.46e-05,"A2M,AKR1B1,ALB,ANPEP,ASNS,C3,CA2,CCL4,CHI3L1,CTNNA1,EEF1A2,EPHX1,GBP1,GGH,H1-10,HLA-B,HMOX1,IL1RN,ITGB5,LGALS1,LTF,OAS2,PRTN3,S100A9,SERPINB1,SERPINF1,TANK,TUBB2A,UBE2I,VCL", ,47hr_PROT,True
36,DDX5,-0.214,enzyme,Activated,2.458,4.26e-05,"ATP5F1C,ATP5MG,ATP5PB,BAX,COX6C,COX7A2,FH,FOSL1,IDH3A,MDH1,NDUFA12,NDUFA6,NDUFS5,S100A4,SDHB,TGFB1,UQCR10,UQCRQ", ,47hr_PROT,True
40,SLC2A3, ,transporter,Inhibited,-2.646,7.53e-05,"ALDOA,GAPDH,LDHA,PGAM1,PHGDH,PKM,TPI1", ,47hr_PROT,True
43,CA9, ,enzyme,Inhibited,-2.728,0.000109,"ALDOA,ATP5F1A,ATP5F1C,ATP5MG,ATP5PO,CYC1,ENO1,LDHA,PGK1,SLC1A4,UQCRC2", ,47hr_PROT,True
54,PGR, ,ligand-dependent nuclear receptor,Inhibited,-2.372,0.00033999999999999997,"CAPN2,CDK1,CKAP4,CPT2,DDX60,DPYSL2,DYNLL1,EIF1AX,EZR,FKBP5,FN1,GBP1,GLUL,GOT1,GSTM3,IFI16,IFI35,IFIT3,MATK,MX2,NDRG1,OAS2,OASL,PCNA,PDLIM1,PFKP,PLAU,RSAD2,S100A8,SERPINB8,SLC9A3R1,VASP,VCL",79 (3),47hr_PROT,True
95,GNA12, ,enzyme,Inhibited,-2.358,0.00374,"ARPC5,EZR,IQGAP1,MYH11,PAK2,PPP1CA,PPP1CC,PXN,RDX,VAV3,VCL,VIM", ,47hr_PROT,True
100,IFNG, ,cytokine,Inhibited,-2.387,0.00442,"AIF1,ARFGAP3,BAX,C3,CASP1,CASP8,CCL4,CP,DDX60,DDX60L,DRG1,ELAVL1,GART,GBP1,GBP2,GRK2,H6PD,HLA-A,HLA-B,HLA-C,HSPA1A/HSPA1B,HSPG2,IFI35,IFIT3,IL1B,IL1RN,IRF2,IRF8,JUNB,LPL,MED15,MMP2,MMP9,MORC2,MX2,MYD88,NCF2,NMI,OAS2,OASL,PRDX2,PSMB9,RIPK2,RSAD2,SAMD9,SERPINB9,SOAT1,SREBF2,ST13,STAT1,TAP2,TCIRG1,THBS1,TYMP,VIM",240 (8),47hr_PROT,True
134,TGFB2, ,growth factor,Activated,2.599,0.009059999999999999,"COL1A1,FN1,HSPG2,LTC4S,MMP2,SCD,TGFB1,TIMP2", ,47hr_PROT,True
163,IL5, ,cytokine,Inhibited,-2.111,0.0125,"CDC123,EGR2,GCLM,HSPH1,MAT2A,MKNK1,NACA,QSOX1,RBM3,SNTB1,TPM4", ,47hr_PROT,True
168,IFNA2, ,cytokine,Inhibited,-2.004,0.015,"BAX,DDX60,GBP1,GBP2,GOT1,HMGCS1,IFI16,IFI35,IFIT3,LILRB4,MMP9,MX2,OAS2,OASL,RSAD2,STAT1,UBE2L6", ,47hr_PROT,True
177,CAB39L, ,kinase,Activated,3.000,0.0163,"ATP5F1E,ATP5MG,COX6C,NDUFA12,NDUFB10,NDUFB9,NDUFS5,UQCR10,UQCRQ", ,47hr_PROT,True
180,YARS2,0.759,enzyme,Activated,2.236,0.0165,"LONP1,NDUFA9,NDUFS1,SDHB,UQCRC2", ,47hr_PROT,True
184,ETV6-RUNX1, ,fusion gene/product,Activated,2.556,0.0177,"ABR,ALOX5,ARHGAP18,ARHGAP25,ARHGAP4,AURKA,BID,CLIC1,CORO1A,CSK,ENG,IFI35,ITGB2,JUND,LCP2,LGALS1,MAP2K1,NAA10,PAK1,PECAM1,POU2F2,PPM1F,RAB24,RAB29,RAB4B,RASGRP2,RFX1,S100A4,SIPA1,SWAP70,TGFB1,TPM1", ,47hr_PROT,True
208,miR-145-5p (and other miRNAs w/seed UCCAGUU), ,mature microRNA,Activated,2.107,0.0238,"ABRACL,AHNAK,CES1,EIF4E,FLI1,FSCN1,SWAP70,TPM3", ,47hr_PROT,True
215,CSF2, ,cytokine,Inhibited,-2.080,0.0274,"BAX,CD14,CDC123,EGR2,GCLM,HSPH1,IL1B,IRF5,ITGAX,MAT2A,MKNK1,MMP9,NACA,QSOX1,RBM3,SF1,SNTB1,TGFB1,TPM4", ,47hr_PROT,True
218,IFNAR2, ,transmembrane receptor,Inhibited,-2.236,0.0283,"PSMB10,PSMB9,PSME2,UBA7,UBE2L6", ,47hr_PROT,True
262,XBP1, ,transcription regulator,Activated,2.236,0.0359,"ADAM10,DNAJB11,DNAJC3,ERLEC1,HSP90B1,PDIA4,S100A6,TOP1,UFM1,XRCC6", ,47hr_PROT,True
264,ACLY,-0.623,enzyme,Activated,2.159,0.0359,"GDF15,IDH3A,NDUFA8,SDHB,TFAM", ,47hr_PROT,True
