,Upstream Regulator,Expr Log Ratio,Molecule Type,Predicted Activation State,Activation z-score,p-value of overlap,Target Molecules in Dataset,Mechanistic Network,sample,sig
2,mir-122, ,microRNA,Activated,3.869,4.84e-14,"ADAM10,ALDOA,ARHGAP1,BCAT2,CACYBP,CLIC4,CS,CSRP1,CTCF,G6PD,GNPDA1,H1-0,IQGAP1,LETM1,MAP4,MAPRE1,NPEPPS,NUDC,NUTF2,PKM,PLIN3,PPP2CA,PXN,RBM3,RCC2,SEPTIN2,SEPTIN9,SERPINB6,SH3BGRL3,SH3GL1,TPD52L2,VAV3,VIM,VPS4B,WARS1,YARS1", ,47hr_PROT,True
3,MYC, ,transcription regulator,Inhibited,-2.843,9.070000000000001e-13,"ABCC1,AKT1,ALCAM,ALDH18A1,APEX1,BAG1,BAX,BCAT1,CD151,CNTRL,COL1A1,CSDE1,DNMT1,EIF4E,EIF4G1,ENO1,EZH2,EZR,FADS2,FKBP5,FOSL1,G6PD,GAPDH,GCLC,GCLM,GIGYF2,GLS,GSR,HNRNPA1,HSP90AA1,HSPB1,HSPH1,IDH1,IDH2,IFI35,IFIT3,LDHA,LGALS1,MAT2A,MTHFD1,MX2,MYD88,NAP1L1,NCL,NOLC1,NPM1,OASL,PCNA,PDCD4,PHB,PLAU,PLAUR,POLDIP3,POLR2D,PREP,PYCR1,RPL11,RPL5,RSAD2,SAE1,SHMT1,SHMT2,SLC25A19,SLC2A1,SRSF1,STAT1,STAT3,SUMO1,SUMO2,SUMO3,TMSB10/TMSB4X,TPI1,UBA2,UBE2I,UQCRQ,WRN,XPO1", ,47hr_PROT,True
5,Lh, ,complex,Activated,2.860,1.3699999999999999e-11,"ACTB,ACTN1,ACTR2,ARHGAP1,ARL6IP5,ARPC4,ATP2A2,ATP2B1,ATP5IF1,BAG1,CAPZA1,CASP4,CD55,CTNND1,DAB2,DHCR7,DUSP3,EZR,FDXR,FKBP5,GBP1,HSD11B1,ILK,ITGB5,ITPR1,JMJD6,KIDINS220,MAP2K1,MAPK14,MAPRE2,MMP2,MMP9,MSMO1,PDXK,PGK1,PI4K2A,PLIN3,PPIH,PPP2R1A,PRKACA,PRKAR1A,PTGS1,PTPRE,RAB27A,RAB2A,RAB4A,RAB5A,RANGAP1,SNAP23,STAT1,STIP1,STK25,THBS1,TK1,TLN1,TPM1,VCL", ,47hr_PROT,True
9,ESRRG, ,ligand-dependent nuclear receptor,Inhibited,-3.448,3.04e-10,"ACADM,ACO1,ACO2,ALDOC,CS,DLAT,DLST,ENO1,FH,GAPDH,IDH2,IDH3A,LDHA,MDH1,MDH2,PDHA1,PKM,SDHB,SUCLG2,TPI1", ,47hr_PROT,True
10,NFE2L2, ,transcription regulator,Inhibited,-3.354,1.23e-09,"CS,G6PD,GCLC,GCLM,GLS,GOT1,HMOX1,IDH1,IL1RN,ME1,NQO1,PGD,PHGDH,PRDX1,PSAT1,PSMA5,PSMD4,SHC1,SHMT2,SLC7A11,SOD1,SRGN,TALDO1,TFAM,TKT", ,47hr_PROT,True
11,IL15, ,cytokine,Inhibited,-2.967,1.36e-09,"AKT1,AKT2,ALDOA,ALDOC,CCL4,CREBBP,EGLN1,EIF4E,ENO1,ENO3,FBP1,G6PD,GALM,GAPDH,GPD2,HMOX1,LDHA,MAP2K1,MKNK1,MYD88,PFKP,PGD,PGK1,PGM1,PGM2,PKM,PLCG2,PSMB10,PSMB9,RPE,RPIA,SLC16A3,TALDO1,TFRC,TKT,TPI1",108 (4),47hr_PROT,True
12,TXNIP, ,other,Activated,2.601,5.27e-09,"ALDOA,CS,ENO1,G6PD,GAPDH,IDH1,LDHA,MDH2,PDP1,PGK1,TPI1", ,47hr_PROT,True
13,FSH, ,complex,Activated,2.870,8.120000000000001e-09,"ACTB,ACTN1,ACTR2,ACVR2A,ALDH3A2,ARHGAP1,ARL6IP5,ARPC4,ATP2A2,ATP2B1,ATP5IF1,BAG1,CAPZA1,CASP4,CD55,CTNND1,DAB2,DHCR7,DUSP3,EZR,FDXR,FKBP5,GBP1,GCLC,GOT1,HSD11B1,ILK,ITGB5,ITPR1,JMJD6,KIDINS220,MAP2K1,MAPK14,MAPRE2,MMP2,MMP9,MSMO1,PDXK,PGK1,PI4K2A,PLIN3,PPIH,PPP2R1A,PRKAR1A,PTGS1,PTPRE,RAB27A,RAB2A,RAB4A,RAB5A,RANGAP1,SNAP23,STAT1,STIP1,STK25,TFRC,THBS1,TK1,TLN1,TPM1,VCL", ,47hr_PROT,True
17,LARP1,-0.508,translation regulator,Activated,3.400,3.29e-07,"EEF1A1,EEF1B2,EEF1D,EEF2,EIF4B,HNRNPA1,PABPC1,RPL11,RPL13,RPL15,RPL19,RPL26,RPL29,RPL35,RPL36,RPL37,RPL5,RPS12,RPS21,RPS27A,RPS28,RPS3,RPS7,RPS9,TPT1,VIM", ,47hr_PROT,True
18,SPP1, ,cytokine,Activated,2.320,6.3e-07,"AURKA,BAX,CCL4,DHCR7,FN1,FOXRED1,ILK,MMP2,MMP9,NDUFA9,NDUFB9,NDUFS7,NDUFV1,PGD,PLAU,PLOD1,POR,SAMM50,SSB,TGFB1,UQCRC2,VAT1,VIM",199 (6),47hr_PROT,True
