,Upstream Regulator,Expr Log Ratio,Molecule Type,Predicted Activation State,Activation z-score,p-value of overlap,Target Molecules in Dataset,Mechanistic Network,sample,sig
0,CST5, ,other,Inhibited,-2.294,3.02e-19,"ACAT2,ADRM1,ADSL,AHCTF1,ARF6,BCAP31,CEBPZ,CEP170,CHD3,CNBP,COPS7A,COPS8,CORO1A,DCP1A,DDT,DDX21,DECR1,DKC1,DNAJA3,DR1,DRAP1,EBNA1BP2,EEF1B2,EIF2B1,EIF5B,EZR,FHL1,GNL3,HNRNPA2B1,HNRNPA3,HNRNPDL,HNRNPH1,IQGAP2,KRR1,MRM3,MSN,NCBP1,NDUFB1,NDUFB7,NIFK,NOC3L,NOL9,NOM1,NOP2,NOP53,NUMA1,PCBP1,PDLIM5,PITRM1,PPP2R2A,PPP2R5A,PRDX1,PRDX2,PRKACB,PRPF6,PYGB,RBM28,RBM3,RNASEH2B,RPF2,RRP1,RRS1,RSL1D1,S100A11,SCAF11,SLC4A1AP,SRSF1,SUPV3L1,SURF6,TOMM40,TXN,UCHL5,UTP18,VASP,VIM,VPS36,VTI1B", ,2hr_PROT_unique,True
17,PKM,-1.539,kinase,Inhibited,-2.733,5.57e-08,"ALDOA,ENO1,ENO3,FBP1,GAPDH,GGT1,GSR,IL1B,LDHA,LSS,MMP2,NDUFB8,PGLS,PKM,PRPS1,RPE,SDHB,STAT3,TALDO1,TFAM,UQCRC2",57 (2),2hr_PROT_unique,True
24,BACH1, ,transcription regulator,Inhibited,-2.704,8.37e-06,"ATP5F1B,ATP5F1D,ATP5PO,DNAJC7,GCLM,HCCS,IMMT,ME1,NDUFA2,NDUFA6,NDUFS7,NQO1,OPA1,PHB2,UQCRB,UQCRC1", ,2hr_PROT_unique,True
38,EGFR, ,kinase,Inhibited,-2.647,7.509999999999998e-05,"AGO2,AKT1,GBP1,HNRNPA1,HNRNPA2B1,HNRNPH1,IGFBP3,JUN,MARCKS,MTA2,NDUFB8,PKM,POSTN,PPIA,PRKAR1A,PSMB3,PSMB5,PTPRE,SDHB,SRSF1,TGM2,UQCRC2,VIM,ZEB2",76 (3),2hr_PROT_unique,True
45,PPARA, ,ligand-dependent nuclear receptor,Activated,2.183,0.000153,"ACAA1,ACADM,APOA1,APOA4,APOC3,C3,COX4I1,CPT1A,CPT2,DR1,IGFBP2,IGFBP3,LPL,RBP4,UQCRC1", ,2hr_PROT_unique,True
60,MAP3K12, ,kinase,Inhibited,-2.121,0.000727,"ACTB,JUN,RPL27A,RPL37,STMN1,TUBB,TUBB2A,TUBB4B", ,2hr_PROT_unique,True
70,PTCD1, ,other,Activated,2.236,0.00114,"NDUFB8,NDUFB9,SDHB,UQCRB,UQCRC2", ,2hr_PROT_unique,True
169,SP1,0.620,transcription regulator,Inhibited,-2.137,0.0201,"ADH5,ALOX5,ASNS,ATP2A3,BAX,CBS/CBSL,CDK1,CDK6,COL1A1,CYP51A1,EZR,FN1,GDF15,HADHA,HADHB,HINT1,IGF2,IGFBP3,JUN,LPL,MAT2A,MAT2B,MMP2,NCF2,NFKB1,PLAA,PREX1,SF1,SP1,STAT1,STAT3,TIMP2,TXNRD1,UFD1,UGDH,VIM,ZEB2", ,2hr_PROT_unique,True
199,EGLN, ,group,Activated,2.360,0.0277,"ALDOC,BPNT1,EGLN1,GAPDH,HMGCL,LDHA,MPI,PFKP,PGAM1,PGM1,PPME1,PYGL,RLF,SLC27A1,TPI1", ,2hr_PROT_unique,True
