,Upstream Regulator,Expr Log Ratio,Molecule Type,Predicted Activation State,Activation z-score,p-value of overlap,Target Molecules in Dataset,Mechanistic Network,sample,sig
18,SPP1, ,cytokine,Activated,2.320,6.3e-07,"AURKA,BAX,CCL4,DHCR7,FN1,FOXRED1,ILK,MMP2,MMP9,NDUFA9,NDUFB9,NDUFS7,NDUFV1,PGD,PLAU,PLOD1,POR,SAMM50,SSB,TGFB1,UQCRC2,VAT1,VIM",199 (6),47hr_PROT_unique,True
21,PLA2R1, ,transmembrane receptor,Activated,2.065,1.05e-06,"ACSL3,AK3,ALDH2,CYB5R3,DPYSL2,LAP3,MGST1,PEBP1,SDHA,SDHB,SQOR,TFAM,UQCRFS1", ,47hr_PROT_unique,True
34,CEBPA,-0.044,transcription regulator,Inhibited,-2.165,2.46e-05,"A2M,AKR1B1,ALB,ANPEP,ASNS,C3,CA2,CCL4,CHI3L1,CTNNA1,EEF1A2,EPHX1,GBP1,GGH,H1-10,HLA-B,HMOX1,IL1RN,ITGB5,LGALS1,LTF,OAS2,PRTN3,S100A9,SERPINB1,SERPINF1,TANK,TUBB2A,UBE2I,VCL", ,47hr_PROT_unique,True
163,IL5, ,cytokine,Inhibited,-2.111,0.0125,"CDC123,EGR2,GCLM,HSPH1,MAT2A,MKNK1,NACA,QSOX1,RBM3,SNTB1,TPM4", ,47hr_PROT_unique,True
218,IFNAR2, ,transmembrane receptor,Inhibited,-2.236,0.0283,"PSMB10,PSMB9,PSME2,UBA7,UBE2L6", ,47hr_PROT_unique,True
262,XBP1, ,transcription regulator,Activated,2.236,0.0359,"ADAM10,DNAJB11,DNAJC3,ERLEC1,HSP90B1,PDIA4,S100A6,TOP1,UFM1,XRCC6", ,47hr_PROT_unique,True
