,1hr_STAT,1hr_LOG2FC,1hr_PVAL,1hr_ADJPVAL
Q92922,-6.581878068020344,1.3465288068800507,0.011206252791479139,0.0381378196648075
Q6ZRS2,0.8561927018707383,-0.1518738429344717,0.40561455464830676,0.508423788301739
Q8WU79,1.1728032507156652,-0.5842120397039552,0.31427678940721765,0.4135908683882927
Q13137,-0.9347667831460476,0.1542839957526838,0.36782110297067105,0.47131732425189227
Q9Y2X7,-4.57839430466771,1.3139770480615973,0.038644455919299166,0.09408438691121682
Q92619,2.1252805158712147,-0.3743541065114999,0.04864047084750638,0.1076553078547956
Q01105,2.6391085476886276,-0.9045153145270826,0.06167637632087601,0.12716985736519387
Q86UE4,-0.5539464226320885,0.28988068244032883,0.6304646904694251,0.7075960089843016
Q13136,2.580020862357931,-1.054024787165763,0.020592035578370072,0.05951944530186418
I3L0A0,-0.1711143889582114,0.13235296536169772,0.8783604895009576,0.9099872174371623
Q86YP4,-0.658799136251935,0.26026680668467295,0.561402923096661,0.6520514684774062
F2Z2W7,4.628961430302236,-1.4868563339108143,0.0002662021508555949,0.003438897173297787
P23634,1.5585835666377497,-0.5680292145991666,0.21486568147858262,0.30495510398193454
A6NFI3,5.762405976217107,-0.9235511759616633,2.5174673269664263e-05,0.0008731708469428805
P04792,-9.507825263413498,3.836949775121419,0.008977563855456245,0.03192583101406631
Q9HD20,-3.9108715686264457,1.179990745335087,0.04654169426321275,0.1053131942900877
Q9Y6M5,-5.286696172612073,0.3109904270399606,0.0023358632253878304,0.012119683784184399
Q7Z3K3,4.134591525773299,-1.303442428705964,0.014369935925601313,0.04542141763308902
A0A1B0GTU4,5.021266052748901,-2.3373257937661345,0.00010581980162417803,0.0020826440065166213
F8W930,2.296489446033599,-0.5062211042007556,0.038028514178073944,0.09303098957345879
P09874,2.140334525933668,-0.8947661952651358,0.051785558226974435,0.11303537364715455
P49756,4.324187229626105,-1.4428110345681793,0.0031089331624798602,0.014364632787224463
Q92610,1.7809193712460274,-0.4548873411373351,0.17132087692557754,0.2600626261244378
Q68E01,4.786040070425357,-3.178350084419357,0.00021349228411977002,0.002875332252081158
Q9Y5K6,-0.6076514873498163,0.10569870535780734,0.5628592387250301,0.6523092598422633
Q6P4E1,0.9022029990399087,-0.3293446704334979,0.38327746463388357,0.48329608588296474
P86790,1.6826281139984363,-0.6054467970649016,0.16015009058248383,0.24843982484068122
Q9NTZ6,-0.6301623535351683,0.17116076224631227,0.5636858848873902,0.6523092598422633
Q9UK61,0.04605628991945457,-0.01626781089491125,0.9649542763176461,0.9710907105072655
Q6PCB8,0.8963660311509903,-0.1641176236248434,0.3933136003894526,0.49496522673265114
Q15648,0.4218903282169177,-0.12611712090157168,0.6982527956828806,0.7633748180781751
P05114,-1.6343227223059045,0.7561228303866947,0.21203197738363547,0.30228883262126405
P85037,-7.0890573585501455,1.0657277493963078,0.004319835404307605,0.018601740210385808
Q9UIG0,-4.747056191797202,1.7259944892567938,0.03164872493948848,0.08078081809151698
Q99567,4.9475459650381595,-1.484706724650532,0.00012235673733201226,0.002093292290031453
O95466,5.015093564839688,-1.143736194824538,0.0013429749902624947,0.008498178496527963
P54727,0.2812174563562024,-0.19863245978753596,0.8025143101265227,0.8489134440178919
A0A087WUT6,-2.3632046180113524,0.5721775340891122,0.11717996842247207,0.2054706925524233
Q9Y2D5,1.4097215508922654,-0.5568837585640272,0.23560184102958345,0.33099970737304657
P09601,3.060105912113859,-2.214737539099421,0.024260039716843314,0.06562651769556332
O43159,-1.718086639493373,0.4070439029346602,0.19606123874087963,0.2917823091446315
Q8N1F8,6.590441125603768,-1.268715594456081,4.887665982146983e-06,0.00035698874935092336
Q7L9L4,4.619586706408644,-1.1390257930348646,0.00032999181967961766,0.003794111939358451
Q6VMQ6,1.0405862753999224,-0.2258230992127146,0.3131571495326949,0.41297599094624143
P13861,-10.95070824547238,1.346064963856477,0.0002012031033067107,0.0027687296607206064
O14974,-12.81800541818015,1.6522479770294995,0.0004810788882153744,0.004478278474122529
Q5VUA4,0.6648510174530584,-0.17760890812483954,0.5538306001652998,0.6456257272645208
P35606,1.7208456361472015,-0.5100151583665364,0.20530108806663247,0.29874847987627207
Q14669,-2.4281461216650064,0.4200653004013637,0.04184836593822455,0.09811116903294867
P04899,4.195946370147173,-3.318462593560522,0.0006730095317667976,0.0056802004481117715
Q96PK6,0.42902362944509836,-0.09635875974340857,0.6735717042938316,0.7436312449556804
O75683,5.378492026557426,-1.3837936063792553,0.001137754713257664,0.007914271796616499
Q14161,1.2779938997406568,-0.31870790102286506,0.2957947852754396,0.3941854717460069
Q9NX40,-0.47008757539398993,0.10517391971625312,0.6462353511513115,0.721458513719189
A0A0A0MT49,1.5435191340510124,-0.2836935259689217,0.14903706209279438,0.23703633242396693
Q5SW79,-1.3326291672918515,0.2576653269677216,0.20255706111980457,0.29680236039082475
O43399,1.5436264798667234,-0.995464705615742,0.19735336193131245,0.2925636489520393
E7EWR4,3.976057664036652,-1.5745519765691764,0.001163581031687849,0.007956090871762498
O43815,1.5360431690533074,-0.49556988064695195,0.17291503568878644,0.2618545875382819
P20020,3.8372322575118716,-1.332842589502377,0.0013693747340376814,0.008498178496527963
Q14157,0.6976201486747263,-0.1860333351963881,0.5428065470737499,0.6339419636488628
