,24hr_STAT,24hr_LOG2FC,24hr_PVAL,24hr_ADJPVAL
G3V180,-3.166646975811347,0.5200757700874163,0.0061889519015223575,0.01345777620734024
P11766,-5.566027425661089,0.879785261982736,5.067438094080066e-05,0.00023800391318982587
Q8NB37,-0.2782677569121202,0.06812402114008798,0.7838202614789074,0.8272433760868635
Q9P0U4,1.604179702812345,-0.3716669959235812,0.12775835486080264,0.17711857116476
Q99732,4.695586900637506,-0.29427910505601673,0.0003284882921212454,0.0011054472518550029
P26038,-2.2088059853716784,0.43925717505355344,0.04297316748325154,0.06949775455560013
B5ME19,-5.390530521825156,0.21014995736091713,4.716459014265753e-05,0.00022430100745925944
Q9H9B1,2.6322475289076266,-0.32802403421877635,0.019099395818155777,0.03476106726886718
Q8WXF1,-3.194559215321917,0.4340769763650769,0.004719076460528704,0.010742990456045126
P32970,5.010625057299732,-0.3925970402872867,6.211625113406999e-05,0.00028250688015778993
O60566,2.6558189880064456,-0.4564089767492021,0.018450596705697795,0.03372759362700176
Q7Z2K6,-4.030072621349598,0.6236814579841479,0.0007004773698051508,0.002110042460309659
P12004,-3.8211292820963196,0.6719551118837614,0.0017980817483194496,0.0047380193317513135
Q9UKA4,3.2747024387915444,-0.8492438872910295,0.004417686356814303,0.010151175599828121
Q9H330,4.4934717733734395,-1.4980700888122955,0.0005047635489587574,0.0015919740687230632
Q8IYI6,-2.411534626532908,0.32134981906555105,0.02610360462859881,0.0453115070344761
O94819,1.3732349557245294,-0.15102097881685062,0.19095731825773166,0.2519088625274573
P28482,-2.199468763368136,0.4302482812172439,0.04473679826159037,0.07184261274047601
Q9HB07,-0.47840721810681186,0.10445574230474186,0.6396673747199648,0.6998041709777766
Q9UKJ3,7.266898138412895,-0.7308055493025591,3.7561667839159374e-06,2.7843755910665114e-05
Q9NZ45,1.265432224972499,-0.22928213350015092,0.2255862939595988,0.2929527745123718
Q92618,4.948943679145886,-0.8592332523221398,0.00015348891370890063,0.0005937184907254225
Q9NVK5,8.702908204062972,-1.7487125605171165,4.386109006894294e-07,4.511735832770773e-06
V9GYM8,-9.681610820057092,0.3006786210225574,3.661848005087321e-09,8.921203970288761e-08
P52888,-4.792433776538698,0.8857753610407482,0.00011376203532440238,0.00046555269072835
Q13510,2.8264003822227806,-0.936530149289144,0.012065533588807431,0.02342265281033167
Q96K17,0.03692172657535562,-0.008515099094141831,0.9710602559652659,0.9764511287355293
Q8TC12,1.4115907441606632,-0.21106195987238863,0.17901144122217827,0.23773084607318926
P55735,-4.483407690600748,0.48562251353270547,0.0002493850052301889,0.0008879811382811685
P61160,-3.556829285520898,0.3784181196283303,0.0027202390672422232,0.006741532393891197
F8W727,-1.312790328552718,0.12200614637711205,0.20908955374927357,0.2733188204955989
J3QS41,-1.3286934036745157,0.11557297849260095,0.20267854167716381,0.26582106113800713
Q16658,-5.011057363917809,0.8492369541954439,0.00018718287617867831,0.0006980273613741039
P50148,-0.3436149501207469,0.033950756137148375,0.7347815701744982,0.7844951361729778
P50213,3.2806875831801814,-0.31720587179926873,0.003907794541607898,0.009161436162261399
P27701,-13.26539796371976,1.8368854390275118,1.7798219819002792e-09,4.940824951803749e-08
A0A087WY31,-5.791681207819,1.0270627197910898,3.154725350479089e-05,0.0001600802169317404
G8JLA2,3.253504980507659,-0.4904880824262552,0.005712271056542386,0.012624573592337178
Q13153,-9.8567310703297,1.2091983871281577,7.495563376127529e-08,1.0917113300473907e-06
Q86X76,-6.051456230408199,0.8873563438941723,9.287465073854691e-06,5.7748626115938274e-05
P34897,2.4349089058400817,-0.30145995711648155,0.026240876511016732,0.045492921991217516
P08571,2.6374878088653078,-0.5613486817010482,0.016477643005724393,0.030631798644287292
P49916,3.9306856326460133,-0.6517620789093233,0.0008732559786585787,0.002552971513748519
Q9NRX4,3.1662886739989693,-1.4987254135257473,0.006825263848693681,0.014604031429716424
A0A0A0MR51,4.58123133457773,-0.8296352884679532,0.00017819719370331153,0.000671220170857139
Q96S59,0.7776226875817995,-0.056597145590675524,0.4454670129682071,0.5193998253639941
A0A087WZM2,10.468420720843458,-1.9574287598981632,7.3523756276550625e-09,1.569868795623464e-07
P28062,-9.194226757286836,0.6417467717434224,8.26333616984804e-09,1.71268947679537e-07
O96019,6.814911510795063,-0.4631997492240689,3.3369953774300323e-06,2.53684721576159e-05
Q15365,-2.3504160023142275,0.4009039421112792,0.03359246838714964,0.05606819843784672
P30533,8.807650374575058,-1.1557921335574886,1.7047791139436934e-08,3.1717737686203707e-07
Q9UER7,2.5345161082757923,-0.7297490531531885,0.019955869927752213,0.036114749834498576
O15305,-3.1024678669680936,0.9753702205837911,0.011537381773474872,0.022470655665402673
Q32P28,1.8609886747043025,-0.1781327446697638,0.08086965502841745,0.12057904609448088
Q8NDH3,0.23866933269783394,-0.04892442191820123,0.8147512621715808,0.8513302629061463
Q12981,0.35259686819502317,-0.03798533536792448,0.7281169116714642,0.779376940910411
Q9Y6K9,6.131084921980337,-1.2807012245152745,2.5871086431215843e-05,0.00013557100134898767
O60678,-13.781158730637289,0.9829360755308016,1.6249347349989623e-11,1.253607056667718e-09
H0YM31,11.946440292451449,-1.3354947580630414,4.016114005824649e-09,9.452616354952252e-08
Q7Z4W1,-2.840650807261766,0.150245791678163,0.00979344063456774,0.019596288993087997
P12235,-2.1962712071306787,0.39975710123764685,0.04343582098953762,0.07013706598543168
Q8NBS9,8.591329938751997,-0.9511314935229755,3.4016404009955865e-07,3.6713041219035266e-06
Q9Y6D9,4.823236776335285,-0.8053982130071109,0.0002189289295276975,0.0007937840908724002
Q9Y5B6,3.625055950208901,-0.8815404639013398,0.0024689275761028075,0.006196115832556805
Q7Z460,-2.382462560315545,0.7125200951712074,0.033952383029028636,0.05660089143614778
P48147,-8.080080049600529,1.0118684714968165,8.324452344210601e-08,1.1795805600673932e-06
Q6PCB8,7.162147619314129,-0.43182478334186847,6.648020415972452e-07,6.4259055807288245e-06
Q15286,-6.376744414690989,0.6765127721618409,5.895981950521964e-06,4.0069593484297716e-05
Q96QC0,2.119505331930611,-0.4494871046667228,0.052259670062752006,0.08268658772556964
P00505,0.2720661002586244,-0.025764049025807978,0.7891323623862119,0.8314429493426805
O95613,3.7292763845254906,-0.8299562008767403,0.00140997840125321,0.003849259514823639
P46782,1.9466410318649423,-0.1654452808925555,0.06566572842536181,0.10094591314393259
Q12792,-1.5964206963126726,0.3220191785047124,0.1259750487001585,0.17499568285590542
Q9BWD1,2.115557460920871,-0.7689711754457278,0.05244965913881119,0.0829556871572845
Q9NVS2,2.810226498220616,-0.47969708173224923,0.01120351744349415,0.021964166432751356
Q9NZI7,-8.973532198831167,0.5869359053001038,1.6748603034041638e-08,3.1572253502179845e-07
O75937,1.18094187653765,-0.43283166580010146,0.2572507362377846,0.327739011365936
