,"('2hr', '4hr', '7hr')_STAT","('2hr', '4hr', '7hr')_LOG2FC","('2hr', '4hr', '7hr')_PVAL","('2hr', '4hr', '7hr')_ADJPVAL"
Q92922,0.21332208390248075,-0.07385372905261933,0.8352079618151835,0.9178587497031444
Q6ZRS2,-3.403398051897393,0.6989458917774973,0.005823267677283969,0.0560322214924207
Q8WU79,2.1049113008644844,-0.7514285315740348,0.05496248005061676,0.19147259499610772
Q13137,-2.0491718220930033,0.4584079899130282,0.05779209048758539,0.1946224363776454
Q9Y2X7,3.421628741495769,-0.9352768975856165,0.005913749847842155,0.0560322214924207
Q92619,2.211605528838293,-0.5247046545222218,0.04714722358510864,0.17452744169224424
Q01105,-1.271635133098067,0.3542682266780879,0.22327243602978641,0.43592276669306895
Q86UE4,2.079146290643276,-0.5023311726690443,0.05330911404907928,0.18851770498920215
Q13136,4.099610595975947,-1.8621025053069555,0.001639076066571134,0.022147824113639917
I3L0A0,0.13701250203422205,-0.054077224856308614,0.892883172639064,0.9464671398373155
Q86YP4,-1.7798767830920725,0.4938048119339251,0.09436232352682862,0.2574627189331143
F2Z2W7,-0.4577298489071976,0.17899713990158972,0.653036349059743,0.8042256983556757
P23634,-0.46517513814516215,0.12069960878912633,0.6489828844361842,0.8007917462926015
A6NFI3,-1.1662657403840442,0.2742982355441659,0.2628400807957166,0.4822544091121409
P04792,1.5665231487196352,-1.8327908843960206,0.1500449006455141,0.3380015021658734
Q9HD20,1.2269662585310832,-0.39187703916871097,0.24201712346930865,0.45459002716935426
Q9Y6M5,0.5779328097107176,-0.05145640181967481,0.5735645707611867,0.7627444817055278
Q7Z3K3,-1.6979643473227557,0.4272081610846554,0.11160421843557472,0.28199862615365806
A0A1B0GTU4,0.18564471069524469,-0.08897755320909995,0.8552808085497283,0.9232177196691137
F8W930,0.42436704479532894,-0.1222052154158546,0.6779718425342149,0.8174403358555391
P09874,-0.38340921055577876,0.1982256790501613,0.7078706816336495,0.8364473187523975
P49756,2.1735826399605815,-0.6610309760762334,0.048799940800564795,0.1780409942613115
Q92610,-0.5461472862050267,0.10622351386778162,0.5921427732950083,0.7808882822827923
Q68E01,0.19437039080375695,-0.11225392638407494,0.8486423049123655,0.9226171518673154
Q9Y5K6,-0.2968780218157145,0.06622525743711472,0.770852332299234,0.8776070617723294
Q6P4E1,-3.3085612230121666,1.3765153296807073,0.008513539357717672,0.06571672857649961
P86790,-0.47485520440756024,0.1592112540712205,0.6414661620180772,0.796806388629763
Q9NTZ6,0.9896724845035935,-0.26971400994988626,0.3389570458629012,0.5658162140961108
Q9UK61,-1.5335688359913207,0.5815106068024392,0.15111851740192855,0.33921284225326515
Q6PCB8,-0.804543602524082,0.18629670340154791,0.432658889044403,0.6444072394473108
Q15648,2.722787202977601,-0.5749413596813304,0.0209729384725898,0.11063225044291121
P05114,0.7143484596515447,-0.2779662160711407,0.48823241077672386,0.6964106047330548
P85037,4.047459860643811,-0.8489098228278231,0.001644467193271842,0.022147824113639917
Q9UIG0,1.2223736404706786,-0.5849343342198414,0.2466694075997387,0.46059508852694575
