,"('2hr', '4hr', '7hr')_STAT","('2hr', '4hr', '7hr')_LOG2FC","('2hr', '4hr', '7hr')_PVAL","('2hr', '4hr', '7hr')_ADJPVAL"
G3V180,11.758731148397198,-1.3078716023552186,2.610325158343307e-09,3.1984160616641814e-07
P11766,9.1767098593595,-1.4840865088503135,1.3561123252188457e-06,2.0618846521393105e-05
Q8NB37,3.077769663277922,-0.7836210817745535,0.0071237428783154965,0.014950888076101943
Q9P0U4,-1.5694829192185407,0.37876478810252046,0.1403828493349347,0.1858979498821799
Q99732,-0.495391652428624,0.054154639134429416,0.6269444199277796,0.6833726984351465
P26038,9.941065493336664,-1.499361469664792,2.738484097806149e-06,3.534114146890011e-05
B5ME19,5.047243054372976,-0.2457558427641544,0.0001497660749215032,0.000659406169629174
Q9H9B1,-5.483242125086328,0.6529933098754164,8.240906802871357e-05,0.00041208734658632003
Q8WXF1,7.797976247400753,-0.9140716763700709,8.280257210094042e-06,7.454123128802059e-05
P32970,-4.8191750339472055,0.39191829566529,0.00017490266107382567,0.0007384907905953608
O60566,2.642666761860051,-0.5792546452735845,0.025006039421280168,0.04252047356287885
Q7Z2K6,-1.4152148148272599,0.38590650781080527,0.1752234405889847,0.2255812279028771
P12004,12.69203822385465,-1.5511938643848229,1.1718933447282502e-08,8.581720601517478e-07
Q9UKA4,1.465925968808416,-0.4976776636270195,0.1623418193308664,0.2110190387932572
Q9H330,-1.541706655797925,0.6622226497493813,0.15066506580376843,0.19825352625979129
Q8IYI6,-2.291831363631376,0.43642172451860617,0.035322196323864005,0.057115986580404114
O94819,3.335388823626228,-0.4587341291064124,0.003957006974592215,0.009287262566845728
P28482,11.351366255900023,-1.52504781156233,2.3615237372991284e-07,6.399700731165304e-06
Q9HB07,6.900640941089922,-1.3850060886486242,2.38488792897369e-05,0.00015720637835608215
Q9UKJ3,-3.176109099481853,0.47028197436902275,0.005887880024154897,0.012795465926254199
Q9NZ45,-8.438884987871171,1.0597820364617387,2.7382728582854964e-07,7.085493619638123e-06
Q92618,-3.192699648384295,0.697827629690023,0.009406675687024992,0.018759315898585982
Q9NVK5,-2.30739755361138,0.6510450507881593,0.03397582858524494,0.05524719043174489
V9GYM8,0.3826211624532801,-0.02790192128889757,0.7096785651706683,0.7567240600207331
P52888,9.116138384419983,-1.579141533362714,2.134724379049881e-06,2.915823528892395e-05
Q13510,-0.26120635546797233,0.08862483850701253,0.7970863507032585,0.8330812185222717
Q96K17,5.624781780880499,-1.3287256853589202,0.00010386213245165453,0.0004900222466518604
Q8TC12,-4.67301159232344,0.7363861034514319,0.0006951438126439486,0.0022225396189368305
P55735,-0.04918148794565304,0.008741388897783864,0.9613670481124976,0.9692776191763468
P61160,10.110563820233388,-0.7821956641286842,1.3198042755501533e-08,9.124067996682904e-07
F8W727,-2.723858966413889,0.3493309191432914,0.014704939260538612,0.027288246711393856
J3QS41,2.770839875745394,-0.23570395014476908,0.013085920906596892,0.024701380379194678
Q16658,10.334150374248594,-1.6071440323144177,1.290766085048723e-06,1.9916042630788812e-05
P50148,-3.5724628334223465,0.3316804532890121,0.0029316639465899355,0.007256869876110322
P50213,-7.939351912485176,0.5395157882576118,3.2189249603264195e-06,3.958081828608186e-05
P27701,0.5962706142826933,-0.32123489045991604,0.5613522499127315,0.6227945334584393
A0A087WY31,7.062149083226582,-1.2927997853660038,3.272002156217869e-05,0.00020254325383066332
G8JLA2,0.3811960595131097,-0.09061228445249547,0.7081209234244817,0.7552564687625168
Q13153,6.178780351990668,-1.4206842626371223,5.0979225554806136e-05,0.0002869992617044897
Q86X76,5.368632862882984,-1.1424905643258487,0.0001304238677741615,0.0005882361190726248
P34897,-10.458875137620186,0.7267727631570899,1.1741672450467985e-08,8.581720601517478e-07
P08571,2.5731410780031503,-0.6543624325333042,0.024730241494277147,0.04217199593334367
P49916,-2.7976568817418275,0.5745765940246681,0.018813724887369293,0.03348055441297756
